Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
ken,k_e,11_5,11,5,0.08774471282958984,0.11067676544189453,0.19842147827148438,0.22707557678222656,0.3148202896118164,0.11639881134033203
ken,e_n,5_14,5,14,0.11639881134033203,0.0657188892364502,0.18211770057678223,0.15617108345031738,0.2725698947906494,0.09045219421386719
ken,n_n,14_14,14,14,0.09045219421386719,0.0543668270111084,0.14481902122497559,0.1407613754272461,0.23121356964111328,0.0863945484161377
ken,n_t,14_20,14,20,0.0863945484161377,-0.01565694808959961,0.07073760032653809,0.09201264381408691,0.1784071922302246,0.10766959190368652
ken,t_h,20_8,20,8,0.10766959190368652,0.024201631546020508,0.13187122344970703,0.11200189590454102,0.21967148780822754,0.08780026435852051
ken,h_1,8_91,8,91,0.08780026435852051,0.1586143970489502,0.2464146614074707,0.3681631088256836,0.4559633731842041,0.2095487117767334
ken,1_2,91_92,91,92,0.2095487117767334,0.0426483154296875,0.2521970272064209,0.08798050880432129,0.2975292205810547,0.04533219337463379
ken,k_e,11_5,11,5,0.09841799736022949,0.15411043167114258,0.25252842903137207,0.27021288871765137,0.36863088607788086,0.11610245704650879
ken,e_n,5_14,5,14,0.11610245704650879,0.08501219749450684,0.20111465454101562,0.20110058784484863,0.3172030448913574,0.1160883903503418
ken,n_n,14_14,14,14,0.1160883903503418,0.05356931686401367,0.16965770721435547,0.1659562587738037,0.2820446491241455,0.11238694190979004
ken,n_t,14_20,14,20,0.11238694190979004,0.08224248886108398,0.19462943077087402,0.2043306827545166,0.31671762466430664,0.12208819389343262
ken,t_h,20_8,20,8,0.12208819389343262,0.01569342613220215,0.13778162002563477,0.08482694625854492,0.20691514015197754,0.06913352012634277
ken,h_1,8_91,8,91,0.06913352012634277,0.07819223403930664,0.14732575416564941,0.2322371006011963,0.30137062072753906,0.15404486656188965
ken,1_2,91_92,91,92,0.15404486656188965,-0.0691671371459961,0.08487772941589355,0.06243634223937988,0.21648120880126953,0.13160347938537598
ken,k_e,11_5,11,5,0.0692448616027832,0.1786785125732422,0.2479233741760254,0.3329641819000244,0.4022090435028076,0.15428566932678223
ken,e_n,5_14,5,14,0.15428566932678223,-0.015625,0.13866066932678223,0.03125119209289551,0.18553686141967773,0.04687619209289551
ken,n_n,14_14,14,14,0.04687619209289551,0.06927061080932617,0.11614680290222168,0.1697235107421875,0.216599702835083,0.10045289993286133
ken,n_t,14_20,14,20,0.10045289993286133,0.015628576278686523,0.11608147621154785,0.12433648109436035,0.22478938102722168,0.10870790481567383
ken,t_h,20_8,20,8,0.10870790481567383,-0.02407693862915039,0.08463096618652344,0.06213235855102539,0.17084026336669922,0.08620929718017578
ken,h_1,8_91,8,91,0.08620929718017578,0.06261181831359863,0.14882111549377441,0.2106788158416748,0.2968881130218506,0.14806699752807617
ken,1_2,91_92,91,92,0.14806699752807617,-0.061078548431396484,0.08698844909667969,0.05747866630554199,0.20554566383361816,0.11855721473693848
ken,k_e,11_5,11,5,0.06913900375366211,0.1504197120666504,0.2195587158203125,0.279066801071167,0.3482058048248291,0.1286470890045166
ken,e_n,5_14,5,14,0.1286470890045166,0.16957378387451172,0.2982208728790283,0.2543976306915283,0.3830447196960449,0.0848238468170166
ken,n_n,14_14,14,14,0.0848238468170166,0.1474010944366455,0.2322249412536621,0.2479267120361328,0.3327505588531494,0.1005256175994873
ken,n_t,14_20,14,20,0.1005256175994873,0.03796815872192383,0.13849377632141113,0.15411758422851562,0.25464320182800293,0.1161494255065918
ken,t_h,20_8,20,8,0.1161494255065918,0.031141281127929688,0.14729070663452148,0.10052752494812012,0.21667695045471191,0.06938624382019043
