Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
ys,t_w,20_23,20,23,0.14699173,-0.036999941,0.109991789,0.097003937,0.243995667,0.134003878
ys,w_1,23_91,23,91,0.134003878,0.657005787,0.791009665,0.741006374,0.875010252,0.084000587
ys,1_n,91_14,91,14,0.084000587,0.615987301,0.699987888,0.775998592,0.85999918,0.160011292
ys,n_k,14_11,14,11,0.160011292,-0.048999786,0.111011505,0.072973967,0.232985258,0.121973753
ys,k_l,11_12,11,12,0.121973753,0.412026405,0.534000158,0.497020483,0.618994236,0.084994078
ys,l_e,12_5,12,5,0.084994078,0.055012465,0.140006542,0.177998781,0.262992859,0.122986317
ys,e_6,5_96,5,96,0.122986317,0.593997478,0.716983795,0.689995766,0.812982082,0.095998287
ys,t_w,20_23,20,23,0.146850348,-0.02485013,0.122000217,0.109155416,0.256005764,0.134005547
ys,w_1,23_91,23,91,0.134005547,0.528845549,0.662851095,0.625017881,0.759023428,0.096172333
ys,1_n,91_14,91,14,0.096172333,0.400974751,0.497147083,0.523827553,0.619999886,0.122852802
ys,n_k,14_11,14,11,0.122852802,-0.048851013,0.074001789,0.073153496,0.196006298,0.122004509
ys,k_l,11_12,11,12,0.122004509,0.465019941,0.58702445,0.562008381,0.68401289,0.09698844
ys,l_e,12_5,12,5,0.09698844,0.045009851,0.141998291,0.143989801,0.240978241,0.09897995
ys,e_6,5_96,5,96,0.09897995,0.508034945,0.607014894,0.59205389,0.69103384,0.084018946
ys,t_w,20_23,20,23,0.108994722,0.358001471,0.466996193,0.417970657,0.52696538,0.059969187
ys,w_1,23_91,23,91,0.059969187,0.35703063,0.416999817,0.45403409,0.514003277,0.09700346
ys,1_n,91_14,91,14,0.09700346,0.247866631,0.34487009,0.384999514,0.482002974,0.137132883
ys,n_k,14_11,14,11,0.137132883,-0.063004494,0.074128389,0.048000574,0.185133457,0.111005068
ys,k_l,11_12,11,12,0.111005068,0.151998997,0.263004065,0.260972023,0.371977091,0.108973026
ys,l_e,12_5,12,5,0.108973026,0.066015244,0.17498827,0.162036419,0.271009445,0.096021175
ys,e_6,5_96,5,96,0.096021175,0.376995325,0.4730165,0.448966026,0.544987202,0.071970701
ys,t_w,20_23,20,23,0.084000349,0.269971132,0.353971481,0.354990005,0.438990355,0.085018873
ys,w_1,23_91,23,91,0.085018873,0.409008026,0.494026899,0.507006407,0.59202528,0.097998381
ys,1_n,91_14,91,14,0.097998381,0.47500205,0.573000431,0.597862959,0.69586134,0.122860909
ys,n_k,14_11,14,11,0.122860909,-0.060865164,0.061995745,0.059999943,0.182860851,0.120865107
ys,k_l,11_12,11,12,0.120865107,0.182138443,0.30300355,0.269098759,0.389963865,0.086960316
ys,l_e,12_5,12,5,0.086960316,0.077018023,0.163978338,0.173042059,0.260002375,0.096024036
ys,e_6,5_96,5,96,0.096024036,0.431994915,0.528018951,0.516994238,0.613018274,0.084999323
ys,t_w,20_23,20,23,0.084032297,0.195865631,0.279897928,0.304929733,0.38896203,0.109064102
ys,w_1,23_91,23,91,0.109064102,0.527099609,0.636163712,0.623076677,0.732140779,0.095977068
ys,1_n,91_14,91,14,0.095977068,0.473995686,0.569972754,0.596992493,0.692969561,0.122996807
ys,n_k,14_11,14,11,0.122996807,-0.049000978,0.073995829,0.046999931,0.169996738,0.09600091
ys,k_l,11_12,11,12,0.09600091,0.219002247,0.315003157,0.328999996,0.425000906,0.109997749
