,Actual,Prediction,Accuracy,18/55 (32.72727272727273%)
0,andy,gerald,0.2903508245944977,nope
1,andy,cy,0.3162083029747009,nope
2,andy,cy,0.2963527739048004,nope
3,andy,qk,0.18344588577747345,nope
4,andy,sz,0.1936972290277481,nope
5,azfar,azfar,0.3140873908996582,match
6,azfar,azfar,0.2847607135772705,match
7,azfar,azfar,0.30195292830467224,match
8,azfar,azfar,0.28678610920906067,match
9,azfar,azfar,0.258349746465683,match
10,chris,gerald,0.28511103987693787,nope
11,chris,gerald,0.29316163063049316,nope
12,chris,gerald,0.2887587547302246,nope
13,chris,chris,0.23159046471118927,match
14,chris,gerald,0.2893749177455902,nope
15,cy,cy,0.32420113682746887,match
16,cy,cy,0.3245599865913391,match
17,cy,cy,0.3248753249645233,match
18,cy,cy,0.32431837916374207,match
19,cy,cy,0.32406648993492126,match
20,gerald,gerald,0.29674476385116577,match
21,gerald,gerald,0.29674193263053894,match
22,gerald,gerald,0.29550549387931824,match
23,gerald,gerald,0.2961002290248871,match
24,gerald,gerald,0.29674816131591797,match
25,ken,gerald,0.2550709545612335,nope
26,ken,gerald,0.24514244496822357,nope
27,ken,gerald,0.2966882288455963,nope
28,ken,gerald,0.29437533020973206,nope
29,ken,gerald,0.2699885666370392,nope
30,qk,gerald,0.2949135899543762,nope
31,qk,gerald,0.2716081142425537,nope
32,qk,gerald,0.28987640142440796,nope
33,qk,gerald,0.29649123549461365,nope
34,qk,gerald,0.2629850208759308,nope
35,sz,gerald,0.25978055596351624,nope
36,sz,gerald,0.25490692257881165,nope
37,sz,gerald,0.23758862912654877,nope
38,sz,gerald,0.23787687718868256,nope
39,sz,azfar,0.31050437688827515,nope
40,vale,gerald,0.296785444021225,nope
41,vale,chris,0.24263735115528107,nope
42,vale,gerald,0.24242377281188965,nope
43,vale,gerald,0.26013100147247314,nope
44,vale,chris,0.24841290712356567,nope
45,ye,chris,0.2510718107223511,nope
46,ye,chris,0.24209004640579224,nope
47,ye,chris,0.24881421029567719,nope
48,ye,ye,0.26148685812950134,match
49,ye,ye,0.2890361249446869,match
50,ys,gerald,0.2401106059551239,nope
51,ys,gerald,0.25793927907943726,nope
52,ys,chris,0.231986865401268,nope
53,ys,gerald,0.2647979259490967,nope
54,ys,chris,0.23408269882202148,nope
