,Actual,Prediction,Accuracy,240/240 (100.0%)
0,andy,andy,0.9999476671218872,match
1,andy,andy,0.9999260902404785,match
2,andy,andy,0.9999324083328247,match
3,andy,andy,0.9999473094940186,match
4,andy,andy,0.9999468326568604,match
5,andy,andy,0.9999407529830933,match
6,andy,andy,0.9999457597732544,match
7,andy,andy,0.9999595880508423,match
8,andy,andy,0.999925971031189,match
9,andy,andy,0.9999415874481201,match
10,andy,andy,0.9999324083328247,match
11,andy,andy,0.9999393224716187,match
12,andy,andy,0.9999333620071411,match
13,andy,andy,0.9999454021453857,match
14,andy,andy,0.9999316930770874,match
15,andy,andy,0.9999450445175171,match
16,andy,andy,0.9999463558197021,match
17,andy,andy,0.9999605417251587,match
18,andy,andy,0.999937891960144,match
19,andy,andy,0.9999450445175171,match
20,azfar,azfar,0.9999514818191528,match
21,azfar,azfar,0.9999352693557739,match
22,azfar,azfar,0.9999494552612305,match
23,azfar,azfar,0.9999513626098633,match
24,azfar,azfar,0.9999514818191528,match
25,azfar,azfar,0.999937891960144,match
26,azfar,azfar,0.999950647354126,match
27,azfar,azfar,0.9999512434005737,match
28,azfar,azfar,0.9994169473648071,match
29,azfar,azfar,0.999921441078186,match
30,azfar,azfar,0.9997246861457825,match
31,azfar,azfar,0.9946458339691162,match
32,azfar,azfar,0.9999498128890991,match
33,azfar,azfar,0.9999510049819946,match
34,azfar,azfar,0.9999345541000366,match
35,azfar,azfar,0.9999524354934692,match
36,azfar,azfar,0.9999512434005737,match
37,azfar,azfar,0.9999513626098633,match
38,azfar,azfar,0.9999366998672485,match
39,azfar,azfar,0.9999520778656006,match
40,bryce,bryce,0.9993407130241394,match
41,bryce,bryce,0.9992831349372864,match
42,bryce,bryce,0.9993382096290588,match
43,bryce,bryce,0.9992824196815491,match
44,bryce,bryce,0.999340832233429,match
45,bryce,bryce,0.9993405938148499,match
46,bryce,bryce,0.9993403553962708,match
47,bryce,bryce,0.9993377327919006,match
48,bryce,bryce,0.9992765784263611,match
49,bryce,bryce,0.9993405938148499,match
50,bryce,bryce,0.9992730021476746,match
51,bryce,bryce,0.9989118576049805,match
52,bryce,bryce,0.9992910623550415,match
53,bryce,bryce,0.9993404746055603,match
54,bryce,bryce,0.9992595314979553,match
55,bryce,bryce,0.9988683462142944,match
56,bryce,bryce,0.9992765784263611,match
57,bryce,bryce,0.999338686466217,match
58,bryce,bryce,0.998831570148468,match
59,bryce,bryce,0.9990485310554504,match
60,chris,chris,0.9990487694740295,match
61,chris,chris,0.99810791015625,match
62,chris,chris,0.9992954730987549,match
63,chris,chris,0.9984362721443176,match
64,chris,chris,0.9990432858467102,match
65,chris,chris,0.9990435242652893,match
66,chris,chris,0.9989282488822937,match
67,chris,chris,0.9991610050201416,match
68,chris,chris,0.9980798959732056,match
69,chris,chris,0.9989959597587585,match
70,chris,chris,0.9992511868476868,match
71,chris,chris,0.9984342455863953,match
72,chris,chris,0.9991127848625183,match
73,chris,chris,0.9984326958656311,match
74,chris,chris,0.999136745929718,match
75,chris,chris,0.9992187023162842,match
