,Actual,Prediction,Accuracy,209/240 (87.08333333333333%)
0,andy,andy,0.9999998807907104,match
1,andy,andy,0.9999998807907104,match
2,andy,andy,1.0,match
3,andy,andy,0.9999998807907104,match
4,andy,andy,0.9999998807907104,match
5,andy,andy,0.9999998807907104,match
6,andy,andy,0.9999998807907104,match
7,andy,andy,0.9999998807907104,match
8,andy,andy,0.9999998807907104,match
9,andy,andy,1.0,match
10,andy,andy,0.9999998807907104,match
11,andy,andy,0.9999998807907104,match
12,andy,andy,1.0,match
13,andy,andy,0.9999998807907104,match
14,andy,andy,0.9999998807907104,match
15,andy,andy,0.9999998807907104,match
16,andy,andy,0.9999998807907104,match
17,andy,andy,0.9999998807907104,match
18,andy,andy,0.9999998807907104,match
19,andy,andy,0.9999998807907104,match
20,azfar,azfar,0.9999992847442627,match
21,azfar,azfar,0.9999991655349731,match
22,azfar,azfar,0.9999992847442627,match
23,azfar,azfar,0.9999991655349731,match
24,azfar,azfar,0.9999992847442627,match
25,azfar,azfar,0.9999991655349731,match
26,azfar,azfar,0.9999992847442627,match
27,azfar,azfar,0.9999991655349731,match
28,azfar,azfar,0.999998927116394,match
29,azfar,azfar,0.999998927116394,match
30,azfar,azfar,0.9999986886978149,match
31,azfar,azfar,0.9999991655349731,match
32,azfar,azfar,0.9999992847442627,match
33,azfar,azfar,0.9999992847442627,match
34,azfar,azfar,0.9999991655349731,match
35,azfar,azfar,0.9999967813491821,match
36,azfar,azfar,0.9999986886978149,match
37,azfar,azfar,0.9999988079071045,match
38,azfar,azfar,0.9999992847442627,match
39,azfar,azfar,0.9999964237213135,match
40,bryce,bryce,0.9999140501022339,match
41,bryce,bryce,0.9146373271942139,match
42,bryce,bryce,0.9426483511924744,match
43,bryce,bryce,0.9121294021606445,match
44,bryce,bryce,0.9999343156814575,match
45,bryce,bryce,0.9998948574066162,match
46,bryce,bryce,0.9999411106109619,match
47,bryce,bryce,0.9998821020126343,match
48,bryce,bryce,0.9159554839134216,match
49,bryce,bryce,0.9996480941772461,match
50,bryce,bryce,0.9288988709449768,match
51,bryce,bryce,0.8895024657249451,match
52,bryce,bryce,0.9459534287452698,match
53,bryce,bryce,0.9999408721923828,match
54,bryce,bryce,0.9321974515914917,match
55,bryce,bryce,0.9182410836219788,match
56,bryce,bryce,0.949720561504364,match
57,bryce,bryce,0.9999377727508545,match
58,bryce,bryce,0.9214858412742615,match
59,bryce,bryce,0.9531587362289429,match
60,chris,chris,0.9999634027481079,match
61,chris,chris,0.9999634027481079,match
62,chris,chris,0.9999639987945557,match
63,chris,chris,0.9999643564224243,match
64,chris,chris,0.9999632835388184,match
65,chris,chris,0.9999638795852661,match
66,chris,chris,0.9999595880508423,match
67,chris,chris,0.9999598264694214,match
68,chris,chris,0.999963641166687,match
69,chris,chris,0.9999637603759766,match
70,chris,chris,0.9999643564224243,match
71,chris,chris,0.9999644756317139,match
72,chris,chris,0.9999643564224243,match
73,chris,chris,0.99996018409729,match
74,chris,chris,0.9999645948410034,match
75,chris,chris,0.9999620914459229,match
76,chris,chris,0.9999642372131348,match
77,chris,chris,0.9999598264694214,match
78,chris,chris,0.9999644756317139,match
79,chris,chris,0.999961256980896,match
80,cy,cy,1.0,match
81,cy,cy,1.0,match
82,cy,cy,1.0,match
83,cy,cy,1.0,match
84,cy,cy,1.0,match
85,cy,cy,1.0,match
86,cy,cy,1.0,match
87,cy,cy,1.0,match
88,cy,cy,1.0,match
89,cy,cy,1.0,match
90,cy,cy,1.0,match
91,cy,cy,1.0,match
92,cy,cy,1.0,match
93,cy,cy,1.0,match
94,cy,cy,1.0,match
95,cy,cy,1.0,match
96,cy,cy,1.0,match
97,cy,cy,1.0,match
98,cy,cy,1.0,match
99,cy,cy,1.0,match
100,gerald,gerald,0.9999914169311523,match
101,gerald,gerald,0.9999909400939941,match
102,gerald,gerald,0.9999905824661255,match
103,gerald,gerald,0.999982476234436,match
104,gerald,gerald,0.9999912977218628,match
105,gerald,gerald,0.9999933242797852,match
106,gerald,gerald,0.999993085861206,match
107,gerald,gerald,0.9999905824661255,match
108,gerald,gerald,0.9999910593032837,match
109,gerald,gerald,0.9999933242797852,match
110,gerald,gerald,0.9999942779541016,match
111,gerald,gerald,0.9999936819076538,match
112,gerald,gerald,0.9999895095825195,match
113,gerald,gerald,0.9999932050704956,match
114,gerald,gerald,0.9999942779541016,match
115,gerald,gerald,0.9999939203262329,match
116,gerald,gerald,0.9999891519546509,match
117,gerald,gerald,0.9999916553497314,match
118,gerald,gerald,0.9999938011169434,match
119,gerald,gerald,0.9999933242797852,match
120,ken,ken,0.9999998807907104,match
121,ken,ken,0.9999998807907104,match
122,ken,ken,0.9999998807907104,match
123,ken,ken,0.9999998807907104,match
124,ken,ken,0.9999998807907104,match
125,ken,ken,0.9999998807907104,match
126,ken,ken,0.9999998807907104,match
127,ken,ken,0.9999998807907104,match
128,ken,ken,0.9999998807907104,match
129,ken,ken,0.9999998807907104,match
130,ken,ken,0.9999998807907104,match
131,ken,ken,0.9999998807907104,match
132,ken,ken,0.9999998807907104,match
133,ken,ken,0.9999998807907104,match
134,ken,ken,0.9999998807907104,match
135,ken,ken,0.9999998807907104,match
136,ken,ken,0.9999998807907104,match
137,ken,ken,0.9999998807907104,match
138,ken,ken,0.9999998807907104,match
139,ken,ken,0.9999998807907104,match
140,qk,qk,0.9999927282333374,match
141,qk,qk,0.9999927282333374,match
142,qk,qk,0.9999934434890747,match
143,qk,qk,0.9999788999557495,match
144,qk,qk,0.9999923706054688,match
145,qk,qk,0.9999927282333374,match
146,qk,qk,0.9999927282333374,match
147,qk,qk,0.9999886751174927,match
148,qk,qk,0.9999926090240479,match
149,qk,qk,0.9999927282333374,match
150,qk,qk,0.9999927282333374,match
151,qk,qk,0.9999862909317017,match
152,qk,qk,0.9999934434890747,match
153,qk,qk,0.9999927282333374,match
154,qk,qk,0.9999927282333374,match
155,qk,qk,0.9999831914901733,match
156,qk,chris,0.6140193939208984,nope
157,qk,qk,0.8505077362060547,match
158,qk,qk,0.9894595146179199,match
159,qk,chris,0.8989150524139404,nope
160,sz,azfar,0.7158527374267578,nope
161,sz,azfar,0.7751092314720154,nope
162,sz,azfar,0.7968816161155701,nope
163,sz,azfar,0.9999986886978149,nope
164,sz,azfar,0.7122400403022766,nope
165,sz,sz,0.9737653732299805,match
166,sz,sz,0.9915551543235779,match
167,sz,sz,0.9354007244110107,match
168,sz,azfar,0.6680388450622559,nope
169,sz,sz,0.9749165177345276,match
170,sz,cy,0.5189651250839233,nope
171,sz,sz,0.9801656007766724,match
172,sz,azfar,0.7276523113250732,nope
173,sz,sz,0.9936599135398865,match
174,sz,sz,0.5152991414070129,match
175,sz,sz,0.9959793090820312,match
176,sz,azfar,0.9752589464187622,nope
177,sz,sz,0.9348265528678894,match
178,sz,sz,0.9651970863342285,match
179,sz,sz,0.9700029492378235,match
180,vale,vale,0.9999990463256836,match
181,vale,vale,0.9999964237213135,match
182,vale,vale,0.9999985694885254,match
183,vale,vale,0.9999359846115112,match
184,vale,vale,0.9999974966049194,match
185,vale,vale,0.9999996423721313,match
186,vale,vale,0.9999997615814209,match
187,vale,vale,0.9999990463256836,match
188,vale,vale,0.9984036087989807,match
189,vale,vale,0.9999996423721313,match
190,vale,vale,0.9999997615814209,match
191,vale,vale,0.9999986886978149,match
192,vale,vale,0.9998570680618286,match
193,vale,vale,0.9999997615814209,match
194,vale,vale,0.9999997615814209,match
195,vale,vale,0.9999961853027344,match
196,vale,vale,0.9996417760848999,match
197,vale,vale,0.9999991655349731,match
198,vale,vale,0.9999986886978149,match
199,vale,vale,0.9999970197677612,match
200,ye,ye,0.999998927116394,match
201,ye,ye,0.999998927116394,match
202,ye,ye,0.999998927116394,match
203,ye,ye,0.999998927116394,match
204,ye,ye,0.999998927116394,match
205,ye,ye,0.9999988079071045,match
206,ye,ye,0.999998927116394,match
207,ye,ye,0.999998927116394,match
208,ye,ye,0.999998927116394,match
209,ye,ye,0.999998927116394,match
210,ye,ye,0.999998927116394,match
211,ye,ye,0.999998927116394,match
212,ye,ye,0.999998927116394,match
213,ye,ye,0.999998927116394,match
214,ye,ye,0.999998927116394,match
215,ye,ye,0.999998927116394,match
216,ye,ye,0.999998927116394,match
217,ye,ye,0.999998927116394,match
218,ye,ye,0.999998927116394,match
219,ye,ye,0.999998927116394,match
220,ys,chris,0.9997120499610901,nope
221,ys,chris,0.9998086094856262,nope
222,ys,chris,0.9999663829803467,nope
223,ys,chris,0.8748453855514526,nope
224,ys,chris,0.9996757507324219,nope
225,ys,chris,0.9999556541442871,nope
226,ys,chris,0.9999631643295288,nope
227,ys,chris,0.9595492482185364,nope
228,ys,chris,0.9997926354408264,nope
229,ys,chris,0.9999569654464722,nope
230,ys,chris,0.99996018409729,nope
231,ys,chris,0.9991601705551147,nope
232,ys,chris,0.9999653100967407,nope
233,ys,chris,0.999962568283081,nope
234,ys,chris,0.99996018409729,nope
235,ys,chris,0.9997534155845642,nope
236,ys,chris,0.8565524816513062,nope
237,ys,chris,0.9571919441223145,nope
238,ys,chris,0.9986529350280762,nope
239,ys,chris,0.9997031092643738,nope
