,key,press_time,release_time
0,'d',1654791456.8956196,1654791456.9739125
1,'e',1654791457.0971866,1654791457.2094634
2,'c',1654791457.2774107,1654791457.3667781
3,'i',1654791457.411885,1654791457.4588485
4,'s',1654791457.4698584,1654791457.58209
5,'i',1654791457.55898,1654791457.6141303
6,'0',1654791457.8074417,1654791457.8956714
7,'n',1654791457.8638122,1654791457.9634602
0,'d',1654791459.3019636,1654791459.3918355
1,'e',1654791459.527272,1654791459.5957475
2,'c',1654791459.6844044,1654791459.753152
3,'i',1654791459.774127,1654791459.84285
4,'s',1654791459.8645291,1654791459.978158
5,'i',1654791459.920316,1654791460.000589
6,'0',1654791460.1364157,1654791460.2707486
7,'n',1654791460.2483323,1654791460.325793
0,'d',1654791461.6432931,1654791461.7441165
1,'e',1654791461.8443537,1654791461.9454973
2,'c',1654791461.9898515,1654791462.0803308
3,'i',1654791462.0698774,1654791462.1368005
4,'s',1654791462.171883,1654791462.2959344
5,'i',1654791462.2175405,1654791462.2847297
6,'0',1654791462.4066956,1654791462.507584
7,'n',1654791462.486333,1654791462.5528235
0,'d',1654791463.8694477,1654791463.9595895
1,'e',1654791464.072369,1654791464.1516144
2,'c',1654791464.2636013,1654791464.3570385
3,'i',1654791464.38759,1654791464.4427726
4,'s',1654791464.4437788,1654791464.568321
5,'i',1654791464.5213869,1654791464.6005843
6,'0',1654791464.7154434,1654791464.803071
7,'n',1654791464.7929332,1654791464.8598602
0,'d',1654791466.1207483,1654791466.1977832
1,'e',1654791466.322105,1654791466.4117513
2,'c',1654791466.4696214,1654791466.5482082
3,'i',1654791466.5592022,1654791466.6368287
4,'s',1654791466.6593533,1654791466.77154
5,'i',1654791466.7060683,1654791466.7617168
6,'0',1654791466.897761,1654791466.9524748
7,'n',1654791466.9415743,1654791467.0311124
0,'d',1654791468.3255138,1654791468.4137697
1,'e',1654791468.5171425,1654791468.5948367
2,'c',1654791468.6630318,1654791468.7528563
3,'i',1654791468.763863,1654791468.8320663
4,'s',1654791468.8648484,1654791468.9651718
5,'i',1654791468.8996072,1654791468.95433
6,'0',1654791469.0677638,1654791469.1679645
7,'n',1654791469.1477504,1654791469.2131798
0,'d',1654791470.5308247,1654791470.620182
1,'e',1654791470.7437756,1654791470.8103168
2,'c',1654791470.9247587,1654791470.9801376
3,'i',1654791471.01397,1654791471.0689604
4,'s',1654791471.104441,1654791471.217715
5,'i',1654791471.1385133,1654791471.2057252
6,'0',1654791471.328191,1654791471.406263
7,'n',1654791471.3863487,1654791471.4638913
0,'d',1654791472.7921705,1654791472.8814955
1,'e',1654791473.0055182,1654791473.0937123
2,'c',1654791473.161915,1654791473.2535064
3,'i',1654791473.2585013,1654791473.3097308
4,'s',1654791473.3541362,1654791473.4873216
5,'i',1654791473.3862255,1654791473.433196
6,'0',1654791473.5560565,1654791473.6690583
7,'n',1654791473.635531,1654791473.7246308
0,'d',1654791474.9986537,1654791475.06317
1,'e',1654791475.186524,1654791475.2657218
2,'c',1654791475.3560205,1654791475.4351017
3,'i',1654791475.4696214,1654791475.5135972
4,'s',1654791475.5804398,1654791475.6605973
5,'i',1654791475.5913522,1654791475.6499205
6,'0',1654791475.7731369,1654791475.874301
7,'n',1654791475.8391593,1654791475.9300056
0,'d',1654791477.2587059,1654791477.3486936
1,'e',1654791477.4365404,1654791477.5388446
2,'c',1654791477.5937939,1654791477.685201
3,'i',1654791477.6741645,1654791477.7402418
4,'s',1654791477.809247,1654791477.9100924
5,'i',1654791477.814239,1654791477.8772619
6,'0',1654791477.9910142,1654791478.08974
7,'n',1654791478.0449183,1654791478.1362097
0,'d',1654791479.4520242,1654791479.5648282
1,'e',1654791479.6436732,1654791479.7442005
2,'c',1654791479.8117266,1654791479.9230447
3,'i',1654791479.9118252,1654791479.9798515
4,'s',1654791480.069685,1654791480.1813436
5,'i',1654791480.0707195,1654791480.147884
6,'0',1654791480.3165956,1654791480.4411638
7,'n',1654791480.4174654,1654791480.4963238
0,'d',1654791481.8030846,1654791481.8818603
1,'e',1654791481.9838197,1654791482.0716517
2,'c',1654791482.1184845,1654791482.2064955
3,'i',1654791482.2082675,1654791482.2737284
4,'s',1654791482.262741,1654791482.3978734
5,'i',1654791482.3546653,1654791482.4211411
6,'0',1654791482.5235133,1654791482.600846
7,'n',1654791482.5684097,1654791482.6569397
0,'d',1654791484.040703,1654791484.120877
1,'e',1654791484.2328694,1654791484.3098242
2,'c',1654791484.3666513,1654791484.4700696
3,'i',1654791484.4908028,1654791484.5356846
4,'s',1654791484.5691845,1654791484.6834252
5,'i',1654791484.6382973,1654791484.693138
6,'0',1654791484.8514476,1654791484.9652314
7,'n',1654791484.941796,1654791485.0536313
0,'d',1654791486.3705597,1654791486.460944
1,'e',1654791486.539693,1654791486.6520445
2,'c',1654791486.7068279,1654791486.8195233
3,'i',1654791486.7964542,1654791486.8649163
4,'s',1654791486.8974357,1654791486.989179
5,'i',1654791486.9559708,1654791487.0215955
6,'0',1654791487.124723,1654791487.248241
7,'n',1654791487.2145245,1654791487.2931252
0,'d',1654791488.5305066,1654791488.5867903
1,'e',1654791488.665969,1654791488.7782407
2,'c',1654791488.8115952,1654791488.9240813
3,'i',1654791488.9017699,1654791488.9687262
4,'s',1654791488.9900582,1654791489.1145582
5,'i',1654791489.0244017,1654791489.0929737
6,'0',1654791489.2045262,1654791489.329688
7,'n',1654791489.2729895,1654791489.373803
0,'d',1654791490.6798177,1654791490.7692182
1,'e',1654791490.8466632,1654791490.9366887
2,'c',1654791490.970616,1654791491.0620668
3,'i',1654791491.067072,1654791491.1167188
4,'s',1654791491.138719,1654791491.2517192
5,'i',1654791491.195719,1654791491.2627194
6,'0',1654791491.3530116,1654791491.4770455
7,'n',1654791491.4550226,1654791491.5341282
0,'d',1654791492.7488432,1654791492.8395085
1,'e',1654791492.9056876,1654791493.0067718
2,'c',1654791493.0643492,1654791493.1546843
3,'i',1654791493.1434824,1654791493.187882
4,'s',1654791493.2216544,1654791493.3108025
5,'i',1654791493.2895145,1654791493.332786
6,'0',1654791493.4918861,1654791493.582331
7,'n',1654791493.5702674,1654791493.6488676
0,'d',1654791494.8177636,1654791494.9207704
1,'e',1654791494.9981506,1654791495.0898678
2,'c',1654791495.1219835,1654791495.2004123
3,'i',1654791495.2348075,1654791495.2917962
4,'s',1654791495.3486292,1654791495.4494708
5,'i',1654791495.3815165,1654791495.438472
