,key,press_time,release_time
0,'d',1655729760.7153604,1655729760.8578532
1,'e',1655729761.022191,1655729761.1493292
2,'c',1655729761.3484545,1655729761.4928083
3,'i',1655729761.5322134,1655729761.660134
4,'s',1655729761.7743785,1655729761.9165614
5,'i',1655729762.1740468,1655729762.312216
6,'0',1655729762.5295494,1655729762.6268983
7,'n',1655729762.7468252,1655729762.8497467
0,'d',1655729764.534705,1655729764.6795447
1,'e',1655729765.2782729,1655729765.4076185
2,'c',1655729765.5353088,1655729765.6605284
3,'i',1655729765.8660119,1655729766.0529335
4,'s',1655729766.240863,1655729766.388463
5,'i',1655729766.5361414,1655729766.654535
6,'0',1655729766.7793996,1655729766.8780608
7,'n',1655729766.9963648,1655729767.1050875
0,'d',1655729768.5870435,1655729768.7258234
1,'e',1655729768.935711,1655729769.0665717
2,'c',1655729769.207545,1655729769.3379977
3,'i',1655729769.3519604,1655729769.490994
4,'s',1655729769.655662,1655729769.79783
5,'i',1655729769.8317392,1655729769.9410262
6,'0',1655729770.0992715,1655729770.2205322
7,'n',1655729770.3501472,1655729770.456745
0,'d',1655729772.0548995,1655729772.2022917
1,'e',1655729772.4773097,1655729772.5866156
2,'c',1655729772.6984558,1655729772.8180544
3,'i',1655729772.9112127,1655729773.044215
4,'s',1655729773.047206,1655729773.1878977
5,'i',1655729773.2026846,1655729773.3142614
6,'0',1655729773.7392204,1655729773.8500943
7,'n',1655729773.9285681,1655729774.0381427
0,'d',1655729778.9311998,1655729779.0672762
1,'e',1655729779.2916596,1655729779.4027586
2,'c',1655729779.8302562,1655729780.039334
3,'i',1655729781.023594,1655729781.1622045
4,'s',1655729781.3027802,1655729781.4533596
5,'i',1655729781.603574,1655729781.7025096
6,'0',1655729781.8538816,1655729781.9500213
7,'n',1655729782.1027849,1655729782.22314
0,'d',1655729787.2255616,1655729787.3519766
1,'e',1655729787.594273,1655729787.6992552
2,'c',1655729787.9246726,1655729788.069458
3,'i',1655729788.0574644,1655729788.1726506
4,'s',1655729788.2212493,1655729788.3855083
5,'i',1655729788.382513,1655729788.5091283
6,'0',1655729788.7102218,1655729788.8319223
7,'n',1655729788.9067216,1655729789.0273986
0,'d',1655729790.4590561,1655729790.5857227
1,'e',1655729790.8139412,1655729790.9179003
2,'c',1655729791.1341846,1655729791.2729588
3,'i',1655729791.2639077,1655729791.3829286
4,'s',1655729791.4178753,1655729791.5780807
5,'i',1655729791.5645144,1655729791.6718297
6,'0',1655729791.8306608,1655729791.9536088
7,'n',1655729792.0342805,1655729792.1737168
0,'d',1655729793.7176201,1655729793.8695552
1,'e',1655729794.1888325,1655729794.3058858
2,'c',1655729794.4434264,1655729794.5691626
3,'i',1655729794.5650384,1655729794.6786838
4,'s',1655729794.6856914,1655729794.8134146
5,'i',1655729794.786342,1655729794.8811948
6,'0',1655729795.1590872,1655729795.2611866
7,'n',1655729795.3719141,1655729795.4676964
0,'d',1655729796.8840506,1655729797.0278375
1,'e',1655729797.2967856,1655729797.4233503
2,'c',1655729797.5376208,1655729797.6484673
3,'i',1655729797.6721761,1655729797.791605
4,'s',1655729797.7666707,1655729797.8760226
5,'i',1655729797.9019527,1655729798.044836
6,'0',1655729798.2321799,1655729798.355065
7,'n',1655729798.4738111,1655729798.5687695
0,'d',1655729800.031745,1655729800.162438
1,'e',1655729800.384176,1655729800.4953184
2,'c',1655729800.650401,1655729800.7700145
3,'i',1655729800.776996,1655729800.890841
4,'s',1655729800.8898442,1655729800.9931135
5,'i',1655729801.0060513,1655729801.1147819
6,'0',1655729801.2996256,1655729801.4171295
7,'n',1655729801.4889975,1655729801.6016698
0,'d',1655729803.008444,1655729803.1405325
1,'e',1655729803.3418472,1655729803.4639513
2,'c',1655729803.754841,1655729803.9056299
3,'i',1655729803.8956554,1655729804.0173302
4,'s',1655729804.0572248,1655729804.2078214
5,'i',1655729804.358982,1655729804.4746447
6,'0',1655729804.6140838,1655729804.7284164
7,'n',1655729804.8119984,1655729804.9100385
0,'d',1655729806.2571561,1655729806.4091227
1,'e',1655729806.9299958,1655729807.0650702
2,'c',1655729807.210524,1655729807.3381548
3,'i',1655729807.3311734,1655729807.4420915
4,'s',1655729807.4490461,1655729807.5671866
5,'i',1655729807.590731,1655729807.6921654
6,'0',1655729807.8335419,1655729807.9373403
7,'n',1655729808.0252628,1655729808.1410599
0,'d',1655729809.9547098,1655729810.1082125
1,'e',1655729810.632807,1655729810.7521977
2,'c',1655729810.861952,1655729810.9749734
3,'i',1655729810.9719465,1655729811.0927675
4,'s',1655729811.0957596,1655729811.2046208
5,'i',1655729811.2035003,1655729811.306509
6,'0',1655729811.4312177,1655729811.5319204
7,'n',1655729811.607324,1655729811.7179394
0,'d',1655729813.3549917,1655729813.5079849
1,'e',1655729813.7388842,1655729813.8605168
2,'c',1655729814.0441847,1655729814.1906438
3,'i',1655729814.1947753,1655729814.3118443
4,'s',1655729814.3298376,1655729814.4396152
5,'i',1655729814.4216337,1655729814.5093083
6,'0',1655729814.6306577,1655729814.7711124
7,'n',1655729814.778123,1655729814.8870692
0,'d',1655729816.5298076,1655729816.6609638
1,'e',1655729817.3299465,1655729817.4730465
2,'c',1655729817.5858278,1655729817.7124872
3,'i',1655729817.7065032,1655729817.8298259
4,'s',1655729817.8886056,1655729818.0292292
5,'i',1655729818.0382054,1655729818.1400597
6,'0',1655729818.2687006,1655729818.3590121
7,'n',1655729818.457268,1655729818.5849278
0,'d',1655729820.2793195,1655729820.4189463
1,'e',1655729820.5752902,1655729820.6853616
2,'c',1655729820.7916567,1655729820.9131963
3,'i',1655729820.9251642,1655729821.0466015
4,'s',1655729821.0555773,1655729821.1608064
5,'i',1655729821.1687865,1655729821.2596576
6,'0',1655729821.3808413,1655729821.483073
7,'n',1655729821.5994549,1655729821.7410767
0,'d',1655729823.280149,1655729823.4102092
1,'e',1655729823.6864884,1655729823.7971618
2,'c',1655729823.9628391,1655729824.090497
3,'i',1655729824.0805235,1655729824.2275913
4,'s',1655729824.2066474,1655729824.3159924
5,'i',1655729824.337906,1655729824.4184222
6,'0',1655729824.8183093,1655729824.9120896
7,'n',1655729825.0351157,1655729825.1285274
0,'d',1655729826.552865,1655729826.68843
1,'e',1655729826.8366687,1655729826.9493668
2,'c',1655729827.0580444,1655729827.168412
3,'i',1655729827.1844194,1655729827.3263428
4,'s',1655729827.3780546,1655729827.4827394
5,'i',1655729827.5047877,1655729827.6378386
6,'0',1655729827.8138974,1655729827.914224
7,'n',1655729828.0501072,1655729828.145988
0,'d',1655729829.8137743,1655729829.9450915
1,'e',1655729830.1629655,1655729830.2724283
2,'c',1655729830.3853657,1655729830.4866562
3,'i',1655729830.4856594,1655729830.6267884
4,'s',1655729830.61595,1655729830.7237427
5,'i',1655729830.7297256,1655729830.8311417
6,'0',1655729830.9959471,1655729831.079487
7,'n',1655729831.1998632,1655729831.2901404
0,'d',1655729835.0740986,1655729835.2098053
1,'e',1655729835.4893079,1655729835.6067717
2,'c',1655729835.8921113,1655729836.03802
3,'i',1655729836.1450806,1655729836.3030467
4,'s',1655729836.3449397,1655729836.4754822
5,'i',1655729836.5150445,1655729836.67179
6,'0',1655729836.867917,1655729836.9837542
7,'n',1655729837.16019,1655729837.2930253
0,'d',1655729838.7643926,1655729838.8960388
1,'e',1655729839.0628588,1655729839.1797113
2,'c',1655729839.2961009,1655729839.4118774
3,'i',1655729839.4769042,1655729839.6144805
4,'s',1655729839.6364412,1655729839.7454169
5,'i',1655729839.7683551,1655729839.903695
6,'0',1655729840.0626187,1655729840.1773658
7,'n',1655729840.2960284,1655729840.4069898
0,'d',1655729841.7819927,1655729841.9229014
1,'e',1655729842.1244955,1655729842.2560139
2,'c',1655729842.3896048,1655729842.5242918
3,'i',1655729842.554241,1655729842.7012618
4,'s',1655729842.7350967,1655729842.8671126
5,'i',1655729842.88351,1655729842.9995522
6,'0',1655729843.130014,1655729843.2074096
7,'n',1655729843.3297136,1655729843.42898
0,'d',1655729853.239841,1655729853.3794675
1,'e',1655729853.6024792,1655729853.7111285
2,'c',1655729853.8258834,1655729853.94336
3,'i',1655729853.9533558,1655729854.0969098
4,'s',1655729854.1258307,1655729854.2222567
5,'i',1655729854.1983204,1655729854.316203
6,'0',1655729854.4248857,1655729854.5483036
7,'n',1655729854.6945117,1655729854.8094947
0,'d',1655729856.2063215,1655729856.3449047
1,'e',1655729856.5362654,1655729856.6502635
2,'c',1655729856.7811594,1655729856.896977
3,'i',1655729856.9349144,1655729857.0674658
4,'s',1655729857.1044934,1655729857.2218654
5,'i',1655729857.2318382,1655729857.360029
6,'0',1655729857.5409775,1655729857.6351962
7,'n',1655729857.7628272,1655729857.8635578
