Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
azfar,d_e,4_5,4,5,0.1798102855682373,0.3000192642211914,0.4798295497894287,0.5440928936004639,0.7239031791687012,0.24407362937927246
azfar,e_c,5_3,5,3,0.24407362937927246,1.260619878768921,1.5046935081481934,1.4318311214447021,1.6759047508239746,0.17121124267578125
azfar,c_i,3_9,3,9,0.17121124267578125,0.019711971282958984,0.19092321395874023,0.2802441120147705,0.45145535469055176,0.2605321407318115
azfar,i_s,9_19,9,19,0.2605321407318115,0.767690896987915,1.0282230377197266,0.9400343894958496,1.2005665302276611,0.17234349250793457
azfar,s_i,19_9,19,9,0.17234349250793457,0.08385157585144043,0.256195068359375,0.4351963996887207,0.6075398921966553,0.3513448238372803
azfar,i_0,9_90,9,90,0.3513448238372803,3.0763356685638428,3.427680492401123,3.2250778675079346,3.576422691345215,0.1487421989440918
azfar,0_n,90_14,90,14,0.1487421989440918,0.18378400802612305,0.33252620697021484,0.3234858512878418,0.4722280502319336,0.13970184326171875
azfar,d_e,4_5,4,5,0.1638023853302002,0.5792453289031982,0.7430477142333984,0.8194437026977539,0.9832460880279541,0.24019837379455566
azfar,e_c,5_3,5,3,0.24019837379455566,0.7074658870697021,0.9476642608642578,0.8801825046539307,1.1203808784484863,0.17271661758422852
azfar,c_i,3_9,3,9,0.17271661758422852,0.035903215408325195,0.2086198329925537,0.2312781810760498,0.4039947986602783,0.1953749656677246
azfar,i_s,9_19,9,19,0.1953749656677246,1.192772626876831,1.3881475925445557,1.3731451034545898,1.5685200691223145,0.1803724765777588
azfar,s_i,19_9,19,9,0.1803724765777588,0.13562703132629395,0.31599950790405273,0.26751279830932617,0.44788527488708496,0.13188576698303223
azfar,i_0,9_90,9,90,0.13188576698303223,2.1874725818634033,2.3193583488464355,2.3436548709869385,2.4755406379699707,0.15618228912353516
azfar,0_n,90_14,90,14,0.15618228912353516,0.9557151794433594,1.1118974685668945,1.1005587577819824,1.2567410469055176,0.14484357833862305
azfar,d_e,4_5,4,5,0.1798722743988037,0.5195605754852295,0.6994328498840332,0.7479679584503174,0.9278402328491211,0.2284073829650879
azfar,e_c,5_3,5,3,0.2284073829650879,0.9919357299804688,1.2203431129455566,1.127600908279419,1.3560082912445068,0.1356651782989502
azfar,c_i,3_9,3,9,0.1356651782989502,0.19210529327392578,0.327770471572876,0.3921830654144287,0.5278482437133789,0.20007777214050293
azfar,i_s,9_19,9,19,0.20007777214050293,0.24057459831237793,0.44065237045288086,0.4161264896392822,0.6162042617797852,0.1755518913269043
azfar,s_i,19_9,19,9,0.1755518913269043,0.13204455375671387,0.30759644508361816,0.30836939811706543,0.4839212894439697,0.17632484436035156
azfar,i_0,9_90,9,90,0.17632484436035156,0.5913791656494141,0.7677040100097656,0.7396018505096436,0.9159266948699951,0.1482226848602295
azfar,0_n,90_14,90,14,0.1482226848602295,0.24432373046875,0.3925464153289795,0.3881077766418457,0.5363304615020752,0.1437840461730957
azfar,d_e,4_5,4,5,0.1566154956817627,0.36754751205444336,0.524163007736206,0.5712389945983887,0.7278544902801514,0.2036914825439453
azfar,e_c,5_3,5,3,0.2036914825439453,0.6997509002685547,0.9034423828125,0.8284618854522705,1.0321533679962158,0.12871098518371582
azfar,c_i,3_9,3,9,0.12871098518371582,0.02393364906311035,0.15264463424682617,0.1361544132232666,0.2648653984069824,0.11222076416015625
azfar,i_s,9_19,9,19,0.11222076416015625,0.17516636848449707,0.2873871326446533,0.3198354244232178,0.432056188583374,0.1446690559387207
azfar,s_i,19_9,19,9,0.1446690559387207,0.01595759391784668,0.16062664985656738,0.15195488929748535,0.29662394523620605,0.13599729537963867
azfar,i_0,9_90,9,90,0.13599729537963867,1.187652826309204,1.3236501216888428,1.3162126541137695,1.4522099494934082,0.12855982780456543
azfar,0_n,90_14,90,14,0.12855982780456543,0.19131135940551758,0.319871187210083,0.3237006664276123,0.45226049423217773,0.13238930702209473
azfar,d_e,4_5,4,5,0.16812396049499512,0.7876687049865723,0.9557926654815674,0.9933185577392578,1.161442518234253,0.20564985275268555
azfar,e_c,5_3,5,3,0.20564985275268555,0.6673703193664551,0.8730201721191406,0.8028812408447266,1.008531093597412,0.13551092147827148
azfar,c_i,3_9,3,9,0.13551092147827148,0.02012324333190918,0.15563416481018066,0.13650107383728027,0.27201199531555176,0.1163778305053711
azfar,i_s,9_19,9,19,0.1163778305053711,0.13515901565551758,0.25153684616088867,0.2794358730316162,0.3958137035369873,0.14427685737609863
azfar,s_i,19_9,19,9,0.14427685737609863,0.020018815994262695,0.16429567337036133,0.12384486198425293,0.26812171936035156,0.10382604598999023
azfar,i_0,9_90,9,90,0.10382604598999023,0.40032076835632324,0.5041468143463135,0.5281448364257812,0.6319708824157715,0.127824068069458
azfar,0_n,90_14,90,14,0.127824068069458,0.1679072380065918,0.2957313060760498,0.2920355796813965,0.4198596477508545,0.12412834167480469
azfar,d_e,4_5,4,5,0.192976713180542,1.362541913986206,1.555518627166748,1.5759000778198242,1.7688767910003662,0.21335816383361816
azfar,e_c,5_3,5,3,0.21335816383361816,1.6673648357391357,1.880722999572754,1.7951328754425049,2.008491039276123,0.12776803970336914
azfar,c_i,3_9,3,9,0.12776803970336914,-0.008081436157226562,0.11968660354614258,0.11624813079833984,0.24401617050170898,0.1243295669555664
azfar,i_s,9_19,9,19,0.1243295669555664,0.39174509048461914,0.5160746574401855,0.5030922889709473,0.6274218559265137,0.11134719848632812
azfar,s_i,19_9,19,9,0.11134719848632812,0.05323672294616699,0.16458392143249512,0.15242409706115723,0.26377129554748535,0.09918737411499023
azfar,i_0,9_90,9,90,0.09918737411499023,0.44034767150878906,0.5395350456237793,0.5444192886352539,0.6436066627502441,0.10407161712646484
azfar,0_n,90_14,90,14,0.10407161712646484,0.17175054550170898,0.27582216262817383,0.29213690757751465,0.3962085247039795,0.12038636207580566
azfar,d_e,4_5,4,5,0.16865754127502441,0.7198803424835205,0.8885378837585449,0.8992528915405273,1.0679104328155518,0.17937254905700684
azfar,e_c,5_3,5,3,0.17937254905700684,0.7961816787719727,0.9755542278289795,0.9156246185302734,1.0949971675872803,0.11944293975830078
azfar,c_i,3_9,3,9,0.11944293975830078,0.03206300735473633,0.1515059471130371,0.17653727531433105,0.29598021507263184,0.14447426795959473
azfar,i_s,9_19,9,19,0.14447426795959473,0.416168212890625,0.5606424808502197,0.5881130695343018,0.7325873374938965,0.17194485664367676
azfar,s_i,19_9,19,9,0.17194485664367676,0.0019915103912353516,0.1739363670349121,0.13576483726501465,0.3077096939086914,0.1337733268737793
azfar,i_0,9_90,9,90,0.1337733268737793,1.0881125926971436,1.2218859195709229,1.2277870178222656,1.361560344696045,0.13967442512512207
azfar,0_n,90_14,90,14,0.13967442512512207,0.45215940475463867,0.5918338298797607,0.5882773399353027,0.7279517650604248,0.13611793518066406
azfar,d_e,4_5,4,5,0.14337897300720215,0.4278903007507324,0.5712692737579346,0.6479787826538086,0.7913577556610107,0.22008848190307617
azfar,e_c,5_3,5,3,0.22008848190307617,0.5674819946289062,0.7875704765319824,0.7195398807525635,0.9396283626556396,0.15205788612365723
azfar,c_i,3_9,3,9,0.15205788612365723,0.03999948501586914,0.19205737113952637,0.15994858741760254,0.31200647354125977,0.1199491024017334
azfar,i_s,9_19,9,19,0.1199491024017334,0.18882966041564941,0.3087787628173828,0.3401048183441162,0.4600539207458496,0.1512751579284668
azfar,s_i,19_9,19,9,0.1512751579284668,0.0019958019256591797,0.15327095985412598,0.12053394317626953,0.27180910110473633,0.11853814125061035
azfar,i_0,9_90,9,90,0.11853814125061035,0.4082658290863037,0.5268039703369141,0.5356523990631104,0.6541905403137207,0.12738656997680664
azfar,0_n,90_14,90,14,0.12738656997680664,0.14403915405273438,0.271425724029541,0.27615904808044434,0.403545618057251,0.13211989402770996
azfar,d_e,4_5,4,5,0.20781493186950684,0.4443209171295166,0.6521358489990234,0.695537805557251,0.9033527374267578,0.2512168884277344
azfar,e_c,5_3,5,3,0.2512168884277344,0.464324951171875,0.7155418395996094,0.6200683116912842,0.8712852001190186,0.15574336051940918
azfar,c_i,3_9,3,9,0.15574336051940918,-0.008027076721191406,0.14771628379821777,0.10446453094482422,0.2602078914642334,0.11249160766601562
azfar,i_s,9_19,9,19,0.11249160766601562,0.02406620979309082,0.13655781745910645,0.15621137619018555,0.26870298385620117,0.13214516639709473
azfar,s_i,19_9,19,9,0.13214516639709473,0.02417922019958496,0.1563243865966797,0.13190340995788574,0.26404857635498047,0.10772418975830078
azfar,i_0,9_90,9,90,0.10772418975830078,0.6321518421173096,0.7398760318756104,0.7598512172698975,0.8675754070281982,0.1276993751525879
azfar,0_n,90_14,90,14,0.1276993751525879,0.2043449878692627,0.3320443630218506,0.3124535083770752,0.4401528835296631,0.1081085205078125
azfar,d_e,4_5,4,5,0.18398475646972656,0.44806957244873047,0.632054328918457,0.6595859527587891,0.8435707092285156,0.2115163803100586
azfar,e_c,5_3,5,3,0.2115163803100586,0.3886756896972656,0.6001920700073242,0.5246961116790771,0.7362124919891357,0.13602042198181152
azfar,c_i,3_9,3,9,0.13602042198181152,0.0019969940185546875,0.1380174160003662,0.11591267585754395,0.25193309783935547,0.11391568183898926
azfar,i_s,9_19,9,19,0.11391568183898926,0.0480036735534668,0.16191935539245605,0.18773174285888672,0.301647424697876,0.13972806930541992
azfar,s_i,19_9,19,9,0.13972806930541992,0.016025781631469727,0.15575385093688965,0.10474014282226562,0.24446821212768555,0.0887143611907959
