Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
gerald,d_e,4_5,4,5,0.09869074821472168,0.4868793487548828,0.5855700969696045,0.574561357498169,0.6732521057128906,0.08768200874328613
gerald,e_c,5_3,5,3,0.08768200874328613,0.7861175537109375,0.8737995624542236,0.8740601539611816,0.9617421627044678,0.08794260025024414
gerald,c_i,3_9,3,9,0.08794260025024414,0.32343339920043945,0.4113759994506836,0.3791310787200928,0.4670736789703369,0.05569767951965332
gerald,i_s,9_19,9,19,0.05569767951965332,0.08794307708740234,0.14364075660705566,0.17588567733764648,0.2315833568572998,0.08794260025024414
gerald,s_i,19_9,19,9,0.08794260025024414,2.6671383380889893,2.7550809383392334,2.7443323135375977,2.832274913787842,0.0771939754486084
gerald,i_0,9_90,9,90,0.0771939754486084,0.14168572425842285,0.21887969970703125,0.21887993812561035,0.29607391357421875,0.0771942138671875
gerald,0_n,90_14,90,14,0.0771942138671875,0.2804391384124756,0.3576333522796631,0.3361363410949707,0.4133305549621582,0.05569720268249512
gerald,d_e,4_5,4,5,0.08794307708740234,0.49968767166137695,0.5876307487487793,0.6080291271209717,0.695972204208374,0.10834145545959473
gerald,e_c,5_3,5,3,0.10834145545959473,0.7336587905883789,0.8420002460479736,0.8098757266998291,0.9182171821594238,0.0762169361114502
gerald,c_i,3_9,3,9,0.0762169361114502,0.26969122886657715,0.34590816497802734,0.34688544273376465,0.42310237884521484,0.0771942138671875
gerald,i_s,9_19,9,19,0.0771942138671875,0.39626216888427734,0.47345638275146484,0.4842045307159424,0.5613987445831299,0.08794236183166504
gerald,s_i,19_9,19,9,0.08794236183166504,0.2051992416381836,0.29314160346984863,0.29411983489990234,0.3820621967315674,0.08892059326171875
gerald,i_0,9_90,9,90,0.08892059326171875,0.65273118019104,0.7416517734527588,0.7299249172210693,0.8188455104827881,0.0771937370300293
gerald,0_n,90_14,90,14,0.0771937370300293,0.22669672966003418,0.3038904666900635,0.3029136657714844,0.38010740280151367,0.0762169361114502
