,Actual,Prediction,Accuracy,48/60 (80.0%)
0,andy,andy,0.9924378991127014,match
1,andy,andy,0.9924494028091431,match
2,andy,andy,0.9924260377883911,match
3,andy,andy,0.9924503564834595,match
4,andy,andy,0.9924488067626953,match
5,azfar,azfar,0.9896339178085327,match
6,azfar,azfar,0.9892990589141846,match
7,azfar,azfar,0.9897029995918274,match
8,azfar,azfar,0.9661902785301208,match
9,azfar,chris,0.9600483775138855,nope
10,bryce,bryce,0.9871297478675842,match
11,bryce,bryce,0.9880043268203735,match
12,bryce,bryce,0.9879167079925537,match
13,bryce,bryce,0.98725825548172,match
14,bryce,bryce,0.9874804615974426,match
15,chris,chris,0.9570671319961548,match
16,chris,chris,0.961384117603302,match
17,chris,chris,0.9614673852920532,match
18,chris,chris,0.9615403413772583,match
19,chris,chris,0.9350873827934265,match
20,cy,cy,0.9573734998703003,match
21,cy,cy,0.7852998971939087,match
22,cy,vale,0.9382580518722534,nope
23,cy,cy,0.5766961574554443,match
24,cy,cy,0.9531233310699463,match
25,gerald,gerald,0.9447956085205078,match
26,gerald,gerald,0.921962559223175,match
27,gerald,sz,0.47828423976898193,nope
28,gerald,qk,0.7815700173377991,nope
29,gerald,gerald,0.9456042051315308,match
30,ken,qk,0.49390947818756104,nope
31,ken,sz,0.5089246034622192,nope
32,ken,sz,0.509195864200592,nope
33,ken,sz,0.509350061416626,nope
34,ken,chris,0.6461853981018066,nope
35,qk,sz,0.4533309042453766,nope
36,qk,qk,0.8542073965072632,match
37,qk,ken,0.41638943552970886,nope
38,qk,qk,0.62419193983078,match
39,qk,qk,0.8582988381385803,match
40,sz,sz,0.5086960196495056,match
41,sz,sz,0.5092296600341797,match
42,sz,sz,0.508854866027832,match
43,sz,sz,0.5092761516571045,match
44,sz,sz,0.5094945430755615,match
45,vale,bryce,0.647956907749176,nope
46,vale,vale,0.9451680183410645,match
47,vale,vale,0.943719744682312,match
48,vale,vale,0.9006369113922119,match
49,vale,vale,0.6157265901565552,match
50,ye,ye,0.9570002555847168,match
51,ye,ye,0.9575585126876831,match
52,ye,ye,0.9574539065361023,match
53,ye,ye,0.6343612670898438,match
54,ye,ye,0.957268476486206,match
55,ys,ys,0.9639555215835571,match
56,ys,ys,0.9635540246963501,match
57,ys,ys,0.9651889801025391,match
58,ys,ys,0.9655792713165283,match
59,ys,ys,0.9655904769897461,match
