,Actual,Prediction,Accuracy,208/240 (86.66666666666667%)
0,andy,andy,0.9994266033172607,match
1,andy,andy,0.990898072719574,match
2,andy,andy,0.9985062479972839,match
3,andy,andy,0.9966366291046143,match
4,andy,andy,0.9994171857833862,match
5,andy,andy,0.9991497993469238,match
6,andy,andy,0.9994754195213318,match
7,andy,andy,0.9993489384651184,match
8,andy,andy,0.9585700035095215,match
9,andy,andy,0.9990665316581726,match
10,andy,andy,0.9975869655609131,match
11,andy,andy,0.9946475625038147,match
12,andy,andy,0.9982337951660156,match
13,andy,andy,0.9992769360542297,match
14,andy,andy,0.9986936450004578,match
15,andy,andy,0.9990732669830322,match
16,andy,andy,0.9968221187591553,match
17,andy,andy,0.9994171857833862,match
18,andy,andy,0.9970302581787109,match
19,andy,andy,0.998748779296875,match
20,azfar,azfar,0.9926848411560059,match
21,azfar,azfar,0.9960898160934448,match
22,azfar,azfar,0.9918946623802185,match
23,azfar,azfar,0.8574504256248474,match
24,azfar,azfar,0.9928830862045288,match
25,azfar,azfar,0.9946617484092712,match
26,azfar,azfar,0.9657658934593201,match
27,azfar,chris,0.9893335700035095,nope
28,azfar,azfar,0.9958091974258423,match
29,azfar,azfar,0.9930777549743652,match
30,azfar,azfar,0.9924613833427429,match
31,azfar,azfar,0.9354186654090881,match
32,azfar,azfar,0.9924113750457764,match
33,azfar,azfar,0.9795178174972534,match
34,azfar,azfar,0.9944825172424316,match
35,azfar,chris,0.9870229363441467,nope
36,azfar,azfar,0.9102761745452881,match
37,azfar,chris,0.9883331656455994,nope
38,azfar,azfar,0.9725605249404907,match
39,azfar,chris,0.9866036176681519,nope
40,bryce,bryce,0.9981144666671753,match
41,bryce,bryce,0.9972110390663147,match
42,bryce,bryce,0.9932918548583984,match
43,bryce,bryce,0.998399555683136,match
44,bryce,bryce,0.9984537363052368,match
45,bryce,bryce,0.9986974596977234,match
46,bryce,bryce,0.9987189769744873,match
47,bryce,bryce,0.998755931854248,match
48,bryce,bryce,0.998281717300415,match
49,bryce,bryce,0.9987371563911438,match
50,bryce,bryce,0.9986843466758728,match
51,bryce,bryce,0.9987425208091736,match
52,bryce,bryce,0.9939991235733032,match
53,bryce,bryce,0.9987204074859619,match
54,bryce,bryce,0.9985723495483398,match
55,bryce,bryce,0.9987770915031433,match
56,bryce,bryce,0.9984717965126038,match
57,bryce,bryce,0.9987540245056152,match
58,bryce,bryce,0.9987795948982239,match
59,bryce,bryce,0.9987819790840149,match
60,chris,chris,0.9578094482421875,match
61,chris,chris,0.9355620741844177,match
62,chris,chris,0.7913347482681274,match
63,chris,sz,0.5180687308311462,nope
64,chris,chris,0.99357670545578,match
65,chris,chris,0.9936332702636719,match
66,chris,chris,0.9938406944274902,match
67,chris,chris,0.9331505298614502,match
68,chris,chris,0.980250358581543,match
69,chris,chris,0.9921714067459106,match
70,chris,chris,0.9935125708580017,match
71,chris,chris,0.9771887063980103,match
72,chris,chris,0.7437400221824646,match
73,chris,chris,0.9933424592018127,match
74,chris,chris,0.9942359328269958,match
75,chris,chris,0.9881857633590698,match
76,chris,sz,0.4301903247833252,nope
77,chris,chris,0.976127028465271,match
78,chris,chris,0.9682689905166626,match
79,chris,chris,0.9848526120185852,match
80,cy,cy,0.9981293082237244,match
81,cy,cy,0.9980899691581726,match
82,cy,cy,0.9981803894042969,match
83,cy,cy,0.9981124401092529,match
84,cy,cy,0.9981244206428528,match
85,cy,cy,0.9978323578834534,match
86,cy,cy,0.9979259967803955,match
87,cy,cy,0.9980669617652893,match
88,cy,cy,0.9980871677398682,match
89,cy,cy,0.9978105425834656,match
90,cy,cy,0.9978991746902466,match
91,cy,cy,0.9980621933937073,match
92,cy,cy,0.9981942772865295,match
93,cy,cy,0.9978741407394409,match
94,cy,cy,0.9978634715080261,match
95,cy,cy,0.9982500672340393,match
96,cy,cy,0.9981191754341125,match
97,cy,cy,0.9980617165565491,match
98,cy,cy,0.9980731010437012,match
99,cy,cy,0.9982503056526184,match
100,gerald,ken,0.6185187101364136,nope
101,gerald,gerald,0.7400238513946533,match
102,gerald,gerald,0.9066365957260132,match
103,gerald,gerald,0.9094853401184082,match
104,gerald,ken,0.5998284220695496,nope
105,gerald,ken,0.6153099536895752,nope
106,gerald,ken,0.5852190852165222,nope
107,gerald,gerald,0.46882164478302,match
108,gerald,gerald,0.7786785364151001,match
