,key,press_time,release_time
0,'c',1656167507.3893924,1656167507.5285807
1,'0',1656167507.611257,1656167507.7201762
2,'5',1656167507.892929,1656167508.0291862
3,'m',1656167508.0870774,1656167508.246057
4,'i',1656167508.181125,1656167508.302965
5,'c',1656167508.3431823,1656167508.4971917
6,'a',1656167508.4472182,1656167508.592192
7,'l',1656167508.4991827,1656167508.5911949
0,'c',1656167510.105483,1656167510.245489
1,'0',1656167510.3173745,1656167510.455588
2,'5',1656167510.6255853,1656167510.7655797
3,'m',1656167510.804475,1656167510.9632802
4,'i',1656167510.901217,1656167510.9994764
5,'c',1656167511.0194588,1656167511.1739364
6,'a',1656167511.124362,1656167511.241493
7,'l',1656167511.2003355,1656167511.2744248
0,'c',1656167516.219321,1656167516.383174
1,'0',1656167516.6329358,1656167516.788639
2,'5',1656167516.996144,1656167517.1072688
3,'m',1656167517.2554908,1656167517.4341466
4,'i',1656167517.349241,1656167517.4712195
5,'c',1656167517.527314,1656167517.6913698
6,'a',1656167517.6553283,1656167517.8057837
7,'l',1656167517.7428916,1656167517.823741
0,'c',1656167521.9725342,1656167522.1292038
1,'0',1656167522.226017,1656167522.3723156
2,'5',1656167522.4670591,1656167522.603309
3,'m',1656167522.6522088,1656167522.8443334
4,'i',1656167522.7785106,1656167522.8912086
5,'c',1656167522.9021792,1656167523.0481067
6,'a',1656167523.037101,1656167523.1749153
7,'l',1656167523.103606,1656167523.192896
0,'c',1656167524.7480273,1656167524.8943918
1,'0',1656167524.9992714,1656167525.1389487
2,'5',1656167525.2445111,1656167525.3876426
3,'m',1656167525.4425564,1656167525.6177938
4,'i',1656167525.5518782,1656167525.651001
5,'c',1656167525.6399248,1656167525.7745833
6,'a',1656167525.733693,1656167525.8608878
7,'l',1656167525.8078377,1656167525.879837
0,'p',1656167527.7525697,1656167527.8852043
1,'l',1656167527.8153741,1656167527.9510822
2,'a',1656167527.8713093,1656167527.9880745
3,'y',1656167528.055351,1656167528.1830432
4,'4',1656167528.3862367,1656167528.5379665
5,'p',1656167528.5771024,1656167528.6790385
6,'a',1656167528.672058,1656167528.7924173
7,'y',1656167528.8484514,1656167528.986551
0,'p',1656167530.3781266,1656167530.5194845
1,'l',1656167530.4564939,1656167530.6142976
2,'a',1656167530.5214808,1656167530.65118
3,'y',1656167530.560991,1656167530.668135
4,'4',1656167530.8421957,1656167530.9893792
5,'p',1656167531.0412724,1656167531.1450903
6,'a',1656167531.191085,1656167531.314387
7,'y',1656167531.3304229,1656167531.521701
0,'p',1656167532.8126638,1656167532.9658644
1,'l',1656167532.8975122,1656167533.0605836
2,'a',1656167532.9095037,1656167533.1087015
3,'y',1656167533.0246797,1656167533.146548
4,'4',1656167533.5628731,1656167533.7178006
5,'p',1656167533.8390598,1656167533.9460914
6,'a',1656167534.0391245,1656167534.1984339
7,'y',1656167534.2270267,1656167534.3407576
0,'p',1656167535.5628097,1656167535.71018
1,'l',1656167535.6433346,1656167535.8126433
2,'a',1656167535.6512907,1656167535.8315966
3,'y',1656167535.7312353,1656167535.8714862
4,'4',1656167536.4275033,1656167536.5863807
5,'p',1656167536.8465033,1656167536.9869688
6,'a',1656167537.1229982,1656167537.291689
7,'y',1656167537.2456226,1656167537.37355
0,'p',1656167538.6648014,1656167538.8118334
1,'l',1656167538.7478478,1656167538.9045846
2,'a',1656167538.756823,1656167538.9325104
3,'y',1656167538.843748,1656167538.9534545
4,'4',1656167539.2646194,1656167539.3823152
5,'p',1656167539.4122355,1656167539.5222764
6,'a',1656167539.645154,1656167539.938644
7,'y',1656167540.019851,1656167540.1497402
0,'4',1656167542.4741395,1656167542.6066566
1,'c',1656167542.7453258,1656167542.8651748
