,key,press_time,release_time
0,'c',1656163299.7572255,1656163299.8338957
1,'0',1656163300.028925,1656163300.1062033
2,'5',1656163302.1769156,1656163302.2647388
3,'m',1656163302.7947352,1656163302.9259224
4,'i',1656163303.0562003,1656163303.17581
5,'c',1656163303.1999104,1656163303.2772303
6,'a',1656163303.429227,1656163303.548742
7,'l',1656163303.572755,1656163303.6504045
0,'c',1656163310.1770751,1656163310.2872174
1,'0',1656163310.6090133,1656163310.6760328
2,'5',1656163310.9563274,1656163311.0647378
3,'m',1656163312.0960326,1656163312.1630309
4,'i',1656163312.2720284,1656163312.3520267
5,'c',1656163312.3278747,1656163312.4299126
6,'a',1656163312.5387185,1656163312.662207
7,'l',1656163312.6272137,1656163312.7067492
0,'c',1656163314.4899127,1656163314.5987306
1,'0',1656163314.9332478,1656163314.9984233
2,'5',1656163315.299969,1656163315.3669848
3,'m',1656163316.1209338,1656163316.2309482
4,'i',1656163316.3399236,1656163316.4172194
5,'c',1656163316.4622326,1656163316.5287313
6,'a',1656163316.6487346,1656163316.7722163
7,'l',1656163316.7482083,1656163316.8279045
0,'c',1656163324.8457458,1656163324.933742
1,'0',1656163326.066032,1656163326.1320508
2,'5',1656163326.3597124,1656163326.4252064
3,'m',1656163326.8817348,1656163326.980698
4,'i',1656163327.0782056,1656163327.1587586
5,'c',1656163327.1457524,1656163327.2147071
6,'a',1656163327.334738,1656163327.4462085
7,'l',1656163327.4117403,1656163327.4916868
0,'c',1656163330.3842142,1656163330.5048103
1,'0',1656163330.783613,1656163330.8716109
2,'5',1656163331.8332164,1656163331.9320116
3,'m',1656163332.932089,1656163333.0527372
4,'i',1656163333.15056,1656163333.2387376
5,'c',1656163333.2397375,1656163333.3375037
6,'a',1656163333.4462068,1656163333.5795505
7,'l',1656163333.5452201,1656163333.61402
0,'p',1656163352.7351213,1656163352.8021386
1,'l',1656163352.9111683,1656163353.0201733
2,'a',1656163353.0341802,1656163353.1431592
3,'y',1656163353.1881561,1656163353.2662208
4,'4',1656163353.4711046,1656163353.5592127
5,'p',1656163353.700154,1656163353.7350986
6,'a',1656163354.0467615,1656163354.1772113
7,'y',1656163354.2329228,1656163354.2892118
0,'p',1656163356.9622393,1656163357.0402215
1,'l',1656163357.1812174,1656163357.2928042
2,'a',1656163357.2578008,1656163357.3808224
3,'y',1656163357.4158342,1656163357.4818182
4,'4',1656163357.6022122,1656163357.7110093
5,'p',1656163357.8419251,1656163357.940915
6,'a',1656163357.9969265,1656163358.1267462
7,'y',1656163358.1399212,1656163358.1959984
0,'p',1656163364.014747,1656163364.0707502
1,'l',1656163364.1898646,1656163364.291317
2,'a',1656163364.2673106,1656163364.3687181
3,'y',1656163364.4352126,1656163364.4917467
4,'4',1656163364.6007464,1656163364.6997461
5,'p',1656163364.8082366,1656163364.906761
6,'a',1656163364.9308517,1656163365.0618904
7,'y',1656163365.0968442,1656163365.1527495
0,'p',1656163367.8790097,1656163367.95678
1,'l',1656163368.0657773,1656163368.177758
2,'a',1656163368.1637616,1656163368.286756
3,'y',1656163368.3107467,1656163368.3777704
4,'4',1656163368.6148112,1656163368.723751
5,'p',1656163368.8007689,1656163368.8887458
6,'a',1656163368.9662132,1656163369.08677
7,'y',1656163369.131744,1656163369.2088284
0,'p',1656163371.3162336,1656163371.3947031
1,'l',1656163371.5149317,1656163371.6266978
2,'a',1656163371.602637,1656163371.7147632
3,'y',1656163371.7597578,1656163371.8365755
4,'4',1656163371.9136918,1656163372.0012305
5,'p',1656163372.0792286,1656163372.1679301
6,'a',1656163372.223749,1656163372.3322122
