,key,press_time,release_time
0,'c',1657158408.1416442,1657158408.2526846
1,'0',1657158408.2848315,1657158408.3856812
2,'5',1657158408.513674,1657158408.635344
3,'m',1657158408.7356467,1657158408.8579218
4,'i',1657158408.9287858,1657158409.0410984
5,'c',1657158409.0359664,1657158409.1892962
6,'a',1657158409.1281483,1657158409.2506557
7,'l',1657158409.1922858,1657158409.2805698
0,'c',1657158416.0105307,1657158416.1414452
1,'0',1657158416.3428948,1657158416.4345813
2,'5',1657158417.028383,1657158417.1265333
3,'m',1657158417.3086152,1657158417.4205434
4,'i',1657158417.4498873,1657158417.5316873
5,'c',1657158417.6082077,1657158417.7206922
6,'a',1657158417.6779666,1657158417.7908876
7,'l',1657158417.7399228,1657158417.811449
0,'c',1657158419.4217885,1657158419.5313685
1,'0',1657158419.6618743,1657158419.7626116
2,'5',1657158419.8536227,1657158419.9445827
3,'m',1657158420.056286,1657158420.1564472
4,'i',1657158420.2066004,1657158420.2978578
5,'c',1657158420.318083,1657158420.4398923
6,'a',1657158420.3986697,1657158420.5105999
7,'l',1657158420.458439,1657158420.5145886
0,'c',1657158422.2952387,1657158422.406928
1,'0',1657158422.5286028,1657158422.6300645
2,'5',1657158422.6855185,1657158422.798124
3,'m',1657158423.03823,1657158423.1698508
4,'i',1657158423.171939,1657158423.2865818
5,'c',1657158423.2824326,1657158423.4114473
6,'a',1657158423.342707,1657158423.4550176
7,'l',1657158423.4114473,1657158423.4861526
0,'c',1657158430.9690862,1657158431.1014316
1,'0',1657158431.1054366,1657158431.2132528
2,'5',1657158431.4213252,1657158431.54278
3,'m',1657158431.9840076,1657158432.0960398
4,'i',1657158432.0764232,1657158432.1673152
5,'c',1657158432.1367228,1657158432.2753334
6,'a',1657158432.2082071,1657158432.3054693
7,'l',1657158432.2778785,1657158432.327755
0,'p',1657158475.6322782,1657158475.7541535
1,'l',1657158475.692068,1657158475.7856846
2,'a',1657158475.80469,1657158475.9131832
3,'y',1657158475.9191837,1657158476.0045328
4,'4',1657158476.036197,1657158476.1361556
5,'p',1657158476.278549,1657158476.3876882
6,'a',1657158476.3846881,1657158476.4976845
7,'y',1657158476.5046737,1657158476.5612772
0,'p',1657158478.0200872,1657158478.161814
