Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
azfar,c_0,3_90,3,90,0.34035205841064453,1.3688883781433105,1.709240436553955,1.540590763092041,1.8809428215026855,0.17170238494873047
azfar,0_5,90_95,90,95,0.17170238494873047,0.8515560626983643,1.0232584476470947,1.0311813354492188,1.2028837203979492,0.1796252727508545
azfar,5_m,95_13,95,13,0.1796252727508545,0.23316669464111328,0.4127919673919678,0.519965410232544,0.6995906829833984,0.28679871559143066
azfar,m_i,13_9,13,9,0.28679871559143066,-0.1635587215423584,0.12323999404907227,0.0009789466857910156,0.2877776622772217,0.16453766822814941
azfar,i_c,9_3,9,3,0.16453766822814941,-0.008013486862182617,0.1565241813659668,0.17081689834594727,0.3353545665740967,0.17883038520812988
azfar,c_a,3_1,3,1,0.17883038520812988,-0.07535696029663086,0.10347342491149902,0.09604740142822266,0.27487778663635254,0.17140436172485352
azfar,a_l,1_12,1,12,0.17140436172485352,-0.019960403442382812,0.1514439582824707,0.11222052574157715,0.28362488746643066,0.13218092918395996
azfar,c_0,3_90,3,90,0.21106863021850586,0.264310359954834,0.47537899017333984,0.40378642082214355,0.6148550510406494,0.13947606086730957
azfar,0_5,90_95,90,95,0.13947606086730957,1.528414249420166,1.6678903102874756,1.6883728504180908,1.8278489112854004,0.1599586009979248
azfar,5_m,95_13,95,13,0.1599586009979248,0.15201568603515625,0.31197428703308105,0.42801809310913086,0.5879766941070557,0.2760024070739746
azfar,m_i,13_9,13,9,0.2760024070739746,-0.14831995964050293,0.12768244743347168,0.0049855709075927734,0.2809879779815674,0.1533055305480957
azfar,i_c,9_3,9,3,0.1533055305480957,-0.025214195251464844,0.12809133529663086,0.15839195251464844,0.31169748306274414,0.18360614776611328
azfar,c_a,3_1,3,1,0.18360614776611328,-0.07932758331298828,0.104278564453125,0.08033943176269531,0.2639455795288086,0.1596670150756836
azfar,a_l,1_12,1,12,0.1596670150756836,-0.011550188064575195,0.1481168270111084,0.10396552085876465,0.26363253593444824,0.11551570892333984
azfar,c_0,3_90,3,90,0.28018617630004883,0.6644434928894043,0.9446296691894531,0.8407578468322754,1.1209440231323242,0.1763143539428711
azfar,0_5,90_95,90,95,0.1763143539428711,0.31484127044677734,0.49115562438964844,0.47980332374572754,0.6561176776885986,0.1649620532989502
azfar,5_m,95_13,95,13,0.1649620532989502,0.2790250778198242,0.4439871311187744,0.5828342437744141,0.7477962970733643,0.30380916595458984
azfar,m_i,13_9,13,9,0.30380916595458984,-0.15967798233032227,0.14413118362426758,0.0019915103912353516,0.3058006763458252,0.16166949272155762
azfar,i_c,9_3,9,3,0.16166949272155762,-0.037110328674316406,0.12455916404724121,0.13420367240905762,0.29587316513061523,0.17131400108337402
