,Actual,Prediction,Accuracy,17/60 (28.333333333333332%)
0,andy,sz,0.9887431859970093,nope
1,andy,cy,0.9884568452835083,nope
2,andy,cy,0.992452085018158,nope
3,andy,cy,0.9924905896186829,nope
4,andy,sz,0.7233551144599915,nope
5,azfar,cy,0.9926356673240662,nope
6,azfar,azfar,0.9896015524864197,match
7,azfar,azfar,0.9895538091659546,match
8,azfar,azfar,0.9892157316207886,match
9,azfar,cy,0.9926024079322815,nope
10,bryce,chris,0.782737672328949,nope
11,bryce,qk,0.5016705393791199,nope
12,bryce,gerald,0.49027612805366516,nope
13,bryce,sz,0.9873954653739929,nope
14,bryce,qk,0.4901069700717926,nope
15,chris,azfar,0.9896134734153748,nope
16,chris,azfar,0.9896047115325928,nope
17,chris,cy,0.9926551580429077,nope
18,chris,azfar,0.9895780682563782,nope
19,chris,chris,0.9010317325592041,match
20,cy,cy,0.9926536083221436,match
21,cy,cy,0.9926625490188599,match
22,cy,cy,0.9926629066467285,match
23,cy,cy,0.9926631450653076,match
24,cy,cy,0.9926624298095703,match
25,gerald,sz,0.988857626914978,nope
26,gerald,cy,0.9925767779350281,nope
27,gerald,cy,0.8613815307617188,nope
28,gerald,sz,0.9889786839485168,nope
29,gerald,cy,0.9925779700279236,nope
30,ken,andy,0.9768323302268982,nope
31,ken,ken,0.9528529047966003,match
32,ken,ken,0.9513682723045349,match
33,ken,andy,0.9761571884155273,nope
34,ken,andy,0.9758819341659546,nope
35,qk,gerald,0.4900950491428375,nope
36,qk,qk,0.48978325724601746,match
37,qk,qk,0.49114498496055603,match
38,qk,sz,0.98868727684021,nope
39,qk,qk,0.4905553162097931,match
40,sz,sz,0.9889127016067505,match
41,sz,sz,0.8021131753921509,match
42,sz,cy,0.9926632642745972,nope
43,sz,cy,0.9868767261505127,nope
44,sz,cy,0.9926637411117554,nope
45,vale,vale,0.4379695951938629,match
46,vale,cy,0.9926319122314453,nope
47,vale,andy,0.9765539169311523,nope
48,vale,ken,0.654381275177002,nope
49,vale,sz,0.9636403918266296,nope
50,ye,sz,0.8098446130752563,nope
51,ye,sz,0.9888707995414734,nope
52,ye,ken,0.9227727651596069,nope
53,ye,andy,0.9767590761184692,nope
54,ye,andy,0.9384353756904602,nope
55,ys,ken,0.8323405981063843,nope
56,ys,azfar,0.989168643951416,nope
57,ys,azfar,0.9896113872528076,nope
58,ys,azfar,0.989587664604187,nope
59,ys,azfar,0.9896010756492615,nope
