,Actual,Prediction,Accuracy,120/550 (21.818181818181817%)
0,azfar,sz,0.9828858971595764,nope
1,azfar,sz,0.4564439058303833,nope
2,azfar,ken,0.9741659164428711,nope
3,azfar,ken,0.9682955741882324,nope
4,azfar,sz,0.7507451176643372,nope
5,chris,chris,0.9667297601699829,match
6,chris,chris,0.9609482288360596,match
7,chris,chris,0.9610544443130493,match
8,chris,chris,0.9658527374267578,match
9,chris,chris,0.965284526348114,match
10,cy,sz,0.7862119078636169,nope
11,cy,sz,0.9883308410644531,nope
12,cy,sz,0.989677906036377,nope
13,cy,sz,0.9876039028167725,nope
14,cy,sz,0.8791043758392334,nope
15,gerald,sz,0.9895119071006775,nope
16,gerald,sz,0.9894808530807495,nope
17,gerald,sz,0.9894043207168579,nope
18,gerald,sz,0.9898352026939392,nope
19,gerald,sz,0.9829782843589783,nope
20,ken,ken,0.6253295540809631,match
21,ken,ken,0.985283374786377,match
22,ken,ken,0.9852349758148193,match
23,ken,andy,0.9766194224357605,nope
24,ken,andy,0.9527117609977722,nope
25,qk,sz,0.5440729260444641,nope
26,qk,qk,0.934587299823761,match
27,qk,qk,0.9338396787643433,match
28,qk,sz,0.542167603969574,nope
29,qk,qk,0.8338266611099243,match
30,sz,sz,0.9896388053894043,match
31,sz,sz,0.9902950525283813,match
32,sz,sz,0.9905499815940857,match
33,sz,sz,0.5277396440505981,match
34,sz,sz,0.9903880953788757,match
35,vale,ken,0.9844608902931213,nope
36,vale,sz,0.9775296449661255,nope
37,vale,andy,0.9883716702461243,nope
38,vale,ken,0.9849764108657837,nope
39,vale,andy,0.992576003074646,nope
40,ye,andy,0.762988805770874,nope
41,ye,andy,0.9888162612915039,nope
42,ye,ken,0.9852519035339355,nope
43,ye,andy,0.9423863887786865,nope
44,ye,ken,0.7207950949668884,nope
45,ys,ken,0.9687874913215637,nope
46,ys,qk,0.730463445186615,nope
47,ys,ken,0.8457170128822327,nope
48,ys,qk,0.8475231528282166,nope
49,ys,ken,0.9849300384521484,nope
50,andy,chris,0.8566224575042725,nope
51,andy,sz,0.7993305325508118,nope
52,andy,sz,0.5638954043388367,nope
53,andy,sz,0.7729358673095703,nope
54,andy,ken,0.9833065867424011,nope
55,chris,ys,0.9934948086738586,nope
56,chris,chris,0.9658067226409912,match
57,chris,ye,0.9768705368041992,nope
58,chris,chris,0.9664030075073242,match
59,chris,chris,0.9679737687110901,match
60,cy,azfar,0.9900406002998352,nope
61,cy,azfar,0.9886981844902039,nope
62,cy,chris,0.4296640455722809,nope
63,cy,azfar,0.8538123965263367,nope
64,cy,qk,0.6184660196304321,nope
65,gerald,chris,0.9678350687026978,nope
66,gerald,chris,0.96510910987854,nope
67,gerald,chris,0.8322515487670898,nope
68,gerald,chris,0.9613930583000183,nope
69,gerald,qk,0.9337836503982544,nope
70,ken,chris,0.8433798551559448,nope
71,ken,ken,0.9671941995620728,match
72,ken,azfar,0.9339823126792908,nope
73,ken,chris,0.9208921194076538,nope
74,ken,ken,0.9799407124519348,match
75,qk,chris,0.965133786201477,nope
76,qk,chris,0.9680028557777405,nope
77,qk,gerald,0.9319799542427063,nope
78,qk,chris,0.9508993625640869,nope
79,qk,chris,0.9665091037750244,nope
80,sz,qk,0.9443957805633545,nope
81,sz,chris,0.7609698176383972,nope
82,sz,qk,0.6556646227836609,nope
83,sz,chris,0.45555394887924194,nope
84,sz,qk,0.9436609745025635,nope
85,vale,azfar,0.9903542995452881,nope
86,vale,ken,0.9852523803710938,nope
87,vale,ken,0.9852333664894104,nope
88,vale,ken,0.985365629196167,nope
89,vale,ken,0.9852171540260315,nope
90,ye,ken,0.9851958751678467,nope
91,ye,chris,0.8614314198493958,nope
92,ye,ken,0.9850543737411499,nope
93,ye,chris,0.9675946235656738,nope
94,ye,ken,0.9851764440536499,nope
95,ys,chris,0.9643239974975586,nope
96,ys,chris,0.9658800363540649,nope
97,ys,chris,0.9673038721084595,nope
98,ys,chris,0.6299775838851929,nope
99,ys,chris,0.9676445126533508,nope
100,andy,andy,0.9349300861358643,match
101,andy,andy,0.9895133376121521,match
102,andy,ken,0.9854879975318909,nope
103,andy,ken,0.9853695631027222,nope
104,andy,andy,0.9911714196205139,match
105,azfar,azfar,0.9243212342262268,match
106,azfar,qk,0.799186646938324,nope
107,azfar,azfar,0.9909349083900452,match
108,azfar,azfar,0.9907063841819763,match
109,azfar,azfar,0.9898776412010193,match
110,cy,sz,0.9800435304641724,nope
111,cy,cy,0.650190532207489,match
112,cy,cy,0.6081928610801697,match
113,cy,sz,0.8897734880447388,nope
114,cy,sz,0.7765836119651794,nope
115,gerald,sz,0.49561792612075806,nope
116,gerald,sz,0.7097451090812683,nope
117,gerald,sz,0.5697429776191711,nope
118,gerald,sz,0.7878802418708801,nope
119,gerald,sz,0.8759258389472961,nope
120,ken,ken,0.98527991771698,match
121,ken,ken,0.9852772355079651,match
122,ken,ken,0.985069215297699,match
123,ken,ken,0.9850184321403503,match
124,ken,ken,0.9851502776145935,match
125,qk,chris,0.9669029116630554,nope
126,qk,chris,0.9663573503494263,nope
127,qk,chris,0.9665700197219849,nope
128,qk,chris,0.9655450582504272,nope
