,Actual,Prediction,Accuracy,51/55 (92.72727272727272%)
0,andy,andy,0.9929516911506653,match
1,andy,andy,0.9953476786613464,match
2,andy,andy,0.9932466745376587,match
3,andy,andy,0.99299156665802,match
4,andy,andy,0.9943384528160095,match
5,azfar,azfar,0.990764856338501,match
6,azfar,azfar,0.9907698035240173,match
7,azfar,azfar,0.9907457828521729,match
8,azfar,azfar,0.9908043146133423,match
9,azfar,azfar,0.9907729625701904,match
10,chris,chris,0.9662083983421326,match
11,chris,chris,0.9669313430786133,match
12,chris,chris,0.9664231538772583,match
13,chris,chris,0.966355562210083,match
14,chris,chris,0.9664103388786316,match
15,cy,cy,0.9921443462371826,match
16,cy,cy,0.9921621680259705,match
17,cy,cy,0.9921861886978149,match
18,cy,cy,0.9921448826789856,match
19,cy,cy,0.992250382900238,match
20,gerald,gerald,0.9725697636604309,match
21,gerald,gerald,0.9719744324684143,match
22,gerald,gerald,0.971191942691803,match
23,gerald,gerald,0.9708521366119385,match
24,gerald,gerald,0.9743703603744507,match
25,ken,ken,0.9852457642555237,match
26,ken,ken,0.9852493405342102,match
27,ken,ken,0.9851847887039185,match
28,ken,ken,0.9843601584434509,match
29,ken,ken,0.985089898109436,match
30,qk,gerald,0.8208926320075989,nope
31,qk,qk,0.9313270449638367,match
32,qk,qk,0.9321539402008057,match
33,qk,qk,0.9380620718002319,match
34,qk,qk,0.921555757522583,match
35,sz,qk,0.9191938638687134,nope
36,sz,qk,0.7152268886566162,nope
37,sz,sz,0.9916595816612244,match
38,sz,sz,0.8151932954788208,match
39,sz,sz,0.9913774728775024,match
40,vale,vale,0.9969843029975891,match
41,vale,vale,0.996980607509613,match
42,vale,vale,0.9968600273132324,match
43,vale,vale,0.9971344470977783,match
44,vale,vale,0.9970155954360962,match
45,ye,ys,0.9950437545776367,nope
46,ye,ye,0.9831662178039551,match
47,ye,ye,0.8578052520751953,match
48,ye,ye,0.9823587536811829,match
49,ye,ye,0.9825068116188049,match
50,ys,ys,0.9948948621749878,match
51,ys,ys,0.9950942993164062,match
52,ys,ys,0.9949907660484314,match
53,ys,ys,0.994880199432373,match
54,ys,ys,0.9950029253959656,match
