,Results,Prediction,Accuracy,
0,andy,andy,0.739592,Match
1,andy,andy,0.9999373,Match
2,andy,ken,0.9973924,Nope
3,andy,ken,0.95050395,Nope
4,andy,andy,0.9999604,Match
5,azfar,azfar,0.99951875,Match
6,azfar,qk,0.4229448,Nope
7,azfar,azfar,0.98819286,Match
8,azfar,azfar,0.41284722,Match
9,azfar,qk,0.44014034,Nope
10,bryce,bryce,0.90324366,Match
11,bryce,bryce,0.94173205,Match
12,bryce,bryce,0.9060944,Match
13,bryce,chris,0.49095497,Nope
14,bryce,ye,0.761588,Nope
15,chris,chris,0.9972275,Match
16,chris,chris,0.99616665,Match
17,chris,chris,0.9964831,Match
18,chris,gerald,0.4342034,Nope
19,chris,chris,0.99264294,Match
20,cy,cy,0.9993457,Match
21,cy,cy,0.99934,Match
22,cy,cy,0.9992974,Match
23,cy,cy,0.99929035,Match
24,cy,cy,0.9993432,Match
25,gerald,cy,0.99937135,Nope
26,gerald,chris,0.96015155,Nope
27,gerald,cy,0.9989127,Nope
28,gerald,cy,0.84958863,Nope
29,gerald,cy,0.5757637,Nope
30,ken,ken,0.99977165,Match
31,ken,ken,0.9997861,Match
32,ken,ken,0.9987363,Match
33,ken,ken,0.9992207,Match
34,ken,ken,0.9997433,Match
35,qk,chris,0.9692383,Nope
36,qk,chris,0.8703371,Nope
37,qk,chris,0.98917425,Nope
38,qk,chris,0.87133414,Nope
39,qk,chris,0.47858265,Nope
40,sz,cy,0.99880826,Nope
41,sz,cy,0.68669105,Nope
42,sz,cy,0.9976968,Nope
43,sz,azfar,0.99951684,Nope
44,sz,sz,0.6398725,Match
45,vale,sz,0.5617129,Nope
46,vale,qk,0.9825478,Nope
47,vale,qk,0.9879776,Nope
48,vale,qk,0.9842025,Nope
49,vale,qk,0.98654467,Nope
50,ye,ken,0.6905054,Nope
51,ye,chris,0.70263344,Nope
52,ye,chris,0.72459954,Nope
53,ye,chris,0.8862091,Nope
54,ye,chris,0.9306041,Nope
55,ys,ken,0.5374705,Nope
56,ys,ken,0.39217848,Nope
57,ys,ys,0.43645802,Match
58,ys,qk,0.68037575,Nope
59,ys,ys,0.8888321,Match
