,Results,Prediction,Accuracy,
0,andy,chris,0.9022426,Nope
1,andy,gerald,0.73238873,Nope
2,andy,ken,0.99975234,Nope
3,andy,ken,0.8474498,Nope
4,andy,ken,0.5528364,Nope
5,azfar,qk,0.41966516,Nope
6,azfar,qk,0.63471645,Nope
7,azfar,qk,0.57210666,Nope
8,azfar,bryce,0.79868156,Nope
9,azfar,bryce,0.8714413,Nope
10,bryce,ye,0.768038,Nope
11,bryce,ye,0.99591476,Nope
12,bryce,ye,0.9926865,Nope
13,bryce,ye,0.9931085,Nope
14,bryce,ye,0.7783946,Nope
15,chris,ye,0.7632751,Nope
16,chris,ye,0.7679399,Nope
17,chris,ye,0.9028957,Nope
18,chris,ye,0.7754177,Nope
19,chris,ye,0.68923694,Nope
20,cy,qk,0.5965208,Nope
21,cy,qk,0.5658542,Nope
22,cy,qk,0.55190486,Nope
23,cy,qk,0.58283514,Nope
24,cy,qk,0.49052906,Nope
25,gerald,chris,0.6333547,Nope
26,gerald,qk,0.36974534,Nope
27,gerald,chris,0.39352155,Nope
28,gerald,chris,0.40639967,Nope
29,gerald,bryce,0.49953452,Nope
30,ken,gerald,0.66730404,Nope
31,ken,gerald,0.68593055,Nope
32,ken,bryce,0.47619343,Nope
33,ken,qk,0.37248805,Nope
34,ken,gerald,0.5760998,Nope
35,qk,bryce,0.3312117,Nope
36,qk,ye,0.5286323,Nope
37,qk,ye,0.60140634,Nope
38,qk,gerald,0.6130515,Nope
39,qk,gerald,0.32328486,Nope
40,sz,bryce,0.76435035,Nope
41,sz,ken,0.9997354,Nope
42,sz,qk,0.9225614,Nope
43,sz,qk,0.5259444,Nope
44,sz,qk,0.48566422,Nope
45,vale,gerald,0.5523529,Nope
46,vale,qk,0.98894215,Nope
47,vale,qk,0.48534,Nope
48,vale,qk,0.98952967,Nope
49,vale,qk,0.91770387,Nope
50,ye,ye,0.47815135,Match
51,ye,ye,0.63008064,Match
52,ye,bryce,0.9680393,Nope
53,ye,ye,0.7232011,Match
54,ye,ye,0.500589,Match
55,ys,ys,0.9978137,Match
56,ys,ys,0.8690748,Match
57,ys,ys,0.99501246,Match
58,ys,ys,0.9997836,Match
59,ys,ys,0.9997291,Match
