,Results,Prediction,Accuracy
0,andy,andy,0.9997485
1,andy,andy,0.9997373
2,andy,andy,0.9997348
3,andy,andy,0.99975425
4,andy,andy,0.99973875
5,azfar,azfar,0.9994789
6,azfar,azfar,0.9995128
7,azfar,azfar,0.99948114
8,azfar,azfar,0.9995241
9,azfar,azfar,0.99709773
10,bryce,bryce,0.9991855
11,bryce,bryce,0.99992824
12,bryce,bryce,0.9999243
13,bryce,bryce,0.99989307
14,bryce,bryce,0.9999132
15,chris,chris,0.98759115
16,chris,chris,0.9836246
17,chris,chris,0.98848253
18,chris,chris,0.98833513
19,chris,chris,0.89926565
20,cy,cy,0.99989736
21,cy,cy,0.9999
22,cy,cy,0.99989974
23,cy,cy,0.9999013
24,cy,cy,0.9999018
25,gerald,gerald,0.9879601
26,gerald,sz,0.9014658
27,gerald,gerald,0.97171974
28,gerald,gerald,0.9633757
29,gerald,gerald,0.97099304
30,ken,ken,0.7113506
31,ken,ken,0.98783666
32,ken,ken,0.95404947
33,ken,ken,0.95838183
34,ken,ken,0.96111536
35,qk,qk,0.6337344
36,qk,qk,0.9068045
37,qk,qk,0.7652243
38,qk,chris,0.31034434
39,qk,qk,0.9824399
40,sz,sz,0.8465185
41,sz,sz,0.84507346
42,sz,qk,0.5927973
43,sz,sz,0.5547831
44,sz,sz,0.9380753
45,vale,vale,0.8935119
46,vale,vale,0.99910766
47,vale,vale,0.9961293
48,vale,vale,0.9749545
49,vale,cy,0.48500058
50,ye,ye,0.986853
51,ye,ye,0.99840134
52,ye,ye,0.99824274
53,ye,ye,0.9971691
54,ye,ye,0.9980439
55,ys,ys,0.97961813
56,ys,ys,0.96255887
57,ys,ys,0.94909334
58,ys,ys,0.9794661
59,ys,ys,0.98946756
