,Results,Prediction,Accuracy,
0,andy,chris,0.8250278,Nope
1,andy,ken,0.9718391,Nope
2,andy,chris,0.40378797,Nope
3,andy,ye,0.9980835,Nope
4,andy,chris,0.9623243,Nope
5,azfar,ken,0.9442434,Nope
6,azfar,ken,0.99973804,Nope
7,azfar,ken,0.99983215,Nope
8,azfar,ken,0.5945258,Nope
9,azfar,ken,0.9998492,Nope
10,bryce,bryce,0.93874735,Match
11,bryce,bryce,0.9589327,Match
12,bryce,bryce,0.913404,Match
13,bryce,bryce,0.955311,Match
14,bryce,bryce,0.95611054,Match
15,chris,ye,0.99248123,Nope
16,chris,ye,0.98189354,Nope
17,chris,ye,0.98956656,Nope
18,chris,ye,0.40811163,Nope
19,chris,ye,0.9848616,Nope
20,cy,chris,0.80228066,Nope
21,cy,ken,0.7100434,Nope
22,cy,ken,0.99471444,Nope
23,cy,qk,0.72612244,Nope
24,cy,qk,0.5159481,Nope
25,gerald,gerald,0.97892463,Match
26,gerald,gerald,0.98748624,Match
27,gerald,gerald,0.9891046,Match
28,gerald,gerald,0.96124595,Match
29,gerald,gerald,0.99440044,Match
30,ken,gerald,0.70100594,Nope
31,ken,ken,0.9997744,Match
32,ken,ken,0.99965835,Match
33,ken,qk,0.41300827,Nope
34,ken,ken,0.99726784,Match
35,qk,qk,0.6168765,Match
36,qk,gerald,0.99398357,Nope
37,qk,ken,0.8926127,Nope
38,qk,gerald,0.97530633,Nope
39,qk,gerald,0.9268523,Nope
40,sz,ken,0.9120623,Nope
41,sz,qk,0.59721434,Nope
42,sz,ken,0.66107124,Nope
43,sz,qk,0.77833736,Nope
44,sz,ken,0.86863923,Nope
45,vale,ken,0.99773836,Nope
46,vale,qk,0.9980354,Nope
47,vale,ken,0.9992393,Nope
48,vale,sz,0.99579924,Nope
49,vale,azfar,0.9991652,Nope
50,ye,ys,0.9984401,Nope
51,ye,ys,0.9997508,Nope
52,ye,ye,0.998754,Match
53,ye,ken,0.8318895,Nope
54,ye,ys,0.9996971,Nope
55,ys,bryce,0.79987353,Nope
56,ys,ys,0.9863153,Match
57,ys,qk,0.37666667,Nope
58,ys,bryce,0.76819193,Nope
59,ys,bryce,0.98645175,Nope
