,Actual,Prediction,Accuracy,661/2640 (25.037878787878785%)
0,azfar,azfar,0.9304382801055908,match
1,azfar,azfar,0.7958652377128601,match
2,azfar,cy,0.956072211265564,nope
3,azfar,cy,0.8827826976776123,nope
4,azfar,azfar,0.9436727166175842,match
5,azfar,azfar,0.9999938011169434,match
6,azfar,azfar,0.9411820769309998,match
7,azfar,azfar,0.9999971389770508,match
8,azfar,azfar,0.9999843835830688,match
9,azfar,azfar,0.9999967813491821,match
10,azfar,azfar,0.9803547263145447,match
11,azfar,azfar,0.9999982118606567,match
12,azfar,cy,0.9999998807907104,nope
13,azfar,azfar,0.9652940630912781,match
14,azfar,azfar,0.8945085406303406,match
15,azfar,sz,0.9999995231628418,nope
16,azfar,azfar,0.7030297517776489,match
17,azfar,azfar,0.9999978542327881,match
18,azfar,azfar,0.9999985694885254,match
19,azfar,sz,0.9999995231628418,nope
20,bryce,chris,0.9999622106552124,nope
21,bryce,chris,0.9999600648880005,nope
22,bryce,chris,0.9999630451202393,nope
23,bryce,chris,0.9999630451202393,nope
24,bryce,chris,0.9999622106552124,nope
25,bryce,chris,0.9999552965164185,nope
26,bryce,chris,0.999962329864502,nope
27,bryce,chris,0.9999624490737915,nope
28,bryce,chris,0.9999600648880005,nope
29,bryce,chris,0.999956488609314,nope
30,bryce,chris,0.9999594688415527,nope
31,bryce,chris,0.9999579191207886,nope
32,bryce,chris,0.9999631643295288,nope
33,bryce,chris,0.9999624490737915,nope
34,bryce,chris,0.9999535083770752,nope
35,bryce,chris,0.9999637603759766,nope
36,bryce,chris,0.9999629259109497,nope
37,bryce,chris,0.9999626874923706,nope
38,bryce,chris,0.9999334812164307,nope
39,bryce,chris,0.9999635219573975,nope
40,chris,chris,0.999961256980896,match
41,chris,chris,0.9999611377716064,match
42,chris,chris,0.9999616146087646,match
43,chris,chris,0.999962329864502,match
44,chris,chris,0.9999616146087646,match
45,chris,chris,0.9999616146087646,match
46,chris,chris,0.9999617338180542,match
47,chris,chris,0.9999624490737915,match
48,chris,chris,0.9999611377716064,match
49,chris,chris,0.9999611377716064,match
50,chris,chris,0.999961256980896,match
51,chris,chris,0.9999616146087646,match
52,chris,chris,0.9999616146087646,match
53,chris,chris,0.9999616146087646,match
54,chris,chris,0.999961256980896,match
55,chris,chris,0.9999618530273438,match
56,chris,chris,0.9999622106552124,match
57,chris,chris,0.9999618530273438,match
58,chris,chris,0.9999617338180542,match
59,chris,chris,0.9999617338180542,match
60,cy,cy,0.9999994039535522,match
61,cy,cy,0.9999940395355225,match
62,cy,cy,1.0,match
63,cy,cy,1.0,match
64,cy,cy,0.9999979734420776,match
65,cy,sz,0.9953441023826599,nope
66,cy,azfar,0.8824957013130188,nope
67,cy,cy,0.9999998807907104,match
68,cy,cy,0.9999552965164185,match
69,cy,sz,0.9982324242591858,nope
70,cy,sz,0.9492319822311401,nope
71,cy,cy,1.0,match
72,cy,cy,0.9999998807907104,match
73,cy,azfar,0.9027070999145508,nope
74,cy,sz,0.9288251399993896,nope
75,cy,cy,1.0,match
76,cy,cy,1.0,match
77,cy,azfar,0.7791505455970764,nope
78,cy,cy,1.0,match
79,cy,cy,1.0,match
80,gerald,sz,0.95571368932724,nope
81,gerald,sz,0.9353547096252441,nope
82,gerald,sz,0.9159824848175049,nope
83,gerald,cy,1.0,nope
84,gerald,sz,0.9421759247779846,nope
85,gerald,sz,0.9847673773765564,nope
86,gerald,sz,0.9580411314964294,nope
87,gerald,cy,0.9999963045120239,nope
88,gerald,sz,0.969531238079071,nope
89,gerald,sz,0.9648224115371704,nope
90,gerald,sz,0.9465917348861694,nope
91,gerald,azfar,0.8775898218154907,nope
92,gerald,sz,0.9261935353279114,nope
93,gerald,sz,0.9368067383766174,nope
94,gerald,sz,0.9311157464981079,nope
95,gerald,cy,0.999976396560669,nope
96,gerald,cy,0.9999996423721313,nope
97,gerald,azfar,0.5955707430839539,nope
98,gerald,azfar,0.8636618852615356,nope
99,gerald,cy,0.6993252038955688,nope
100,ken,ken,0.9999998807907104,match
101,ken,ken,0.9999744892120361,match
102,ken,ken,0.950192391872406,match
103,ken,ken,0.9999765157699585,match
104,ken,ken,0.9999998807907104,match
105,ken,ken,0.6996014714241028,match
106,ken,ken,0.9999994039535522,match
107,ken,ken,0.9999998807907104,match
108,ken,ken,0.9999997615814209,match
109,ken,ken,0.992368757724762,match
110,ken,ken,0.9999998807907104,match
111,ken,ken,0.9999994039535522,match
112,ken,ken,0.9798230528831482,match
113,ken,ken,0.9970296621322632,match
114,ken,ken,0.9999995231628418,match
115,ken,ken,0.9919814467430115,match
116,ken,ken,0.9999972581863403,match
117,ken,ken,0.9999998807907104,match
118,ken,ken,0.9995286464691162,match
119,ken,ken,0.9938983917236328,match
120,qk,azfar,0.9999985694885254,nope
121,qk,azfar,0.8782475590705872,nope
122,qk,azfar,0.9987055063247681,nope
123,qk,azfar,0.7355937361717224,nope
124,qk,azfar,0.9999983310699463,nope
125,qk,cy,0.9926816821098328,nope
126,qk,azfar,0.9862204790115356,nope
127,qk,qk,0.9736678600311279,match
128,qk,azfar,0.8793647885322571,nope
129,qk,cy,0.9783797264099121,nope
130,qk,azfar,0.668316662311554,nope
131,qk,cy,0.9433947801589966,nope
132,qk,azfar,0.9992890357971191,nope
133,qk,azfar,0.9986127614974976,nope
134,qk,cy,0.6023862361907959,nope
135,qk,qk,0.8281598091125488,match
136,qk,azfar,0.6673159599304199,nope
137,qk,qk,0.9396712779998779,match
138,qk,cy,0.9981505274772644,nope
139,qk,sz,0.9892800450325012,nope
140,sz,cy,0.5129438042640686,nope
141,sz,sz,0.9999995231628418,match
142,sz,sz,0.9999995231628418,match
143,sz,sz,0.9999988079071045,match
144,sz,cy,0.6361290216445923,nope
145,sz,sz,0.9202489256858826,match
146,sz,sz,0.9134878516197205,match
147,sz,sz,0.8011181354522705,match
148,sz,sz,0.9999995231628418,match
149,sz,sz,0.913387656211853,match
150,sz,sz,0.9999991655349731,match
151,sz,sz,0.9999995231628418,match
152,sz,sz,0.9999995231628418,match
153,sz,sz,0.9365708231925964,match
154,sz,sz,0.9999991655349731,match
155,sz,sz,0.9999995231628418,match
156,sz,sz,0.9999876022338867,match
157,sz,cy,0.813642144203186,nope
158,sz,sz,0.9999995231628418,match
159,sz,sz,0.9999995231628418,match
160,vale,andy,0.634765625,nope
161,vale,andy,0.9999985694885254,nope
162,vale,andy,0.9998555183410645,nope
163,vale,sz,0.8248880505561829,nope
164,vale,andy,0.7571561336517334,nope
165,vale,andy,0.618449866771698,nope
166,vale,ken,0.9994410872459412,nope
167,vale,andy,0.9889161586761475,nope
168,vale,sz,0.5490167737007141,nope
169,vale,andy,0.7263142466545105,nope
170,vale,andy,0.9999998807907104,nope
171,vale,andy,0.9999998807907104,nope
172,vale,sz,0.7086555361747742,nope
173,vale,ken,0.9997902512550354,nope
174,vale,andy,0.9999998807907104,nope
175,vale,andy,0.9999998807907104,nope
176,vale,sz,0.9999986886978149,nope
177,vale,andy,0.9999990463256836,nope
178,vale,andy,0.9999998807907104,nope
179,vale,andy,0.9999998807907104,nope
180,ye,andy,0.9999991655349731,nope
181,ye,azfar,0.9802344441413879,nope
182,ye,andy,0.9999649524688721,nope
