,Actual,Prediction,Accuracy,769/2640 (29.128787878787875%)
0,azfar,azfar,0.9993773102760315,match
1,azfar,azfar,0.9941474199295044,match
2,azfar,azfar,0.9975613355636597,match
3,azfar,azfar,0.9982107877731323,match
4,azfar,azfar,0.9994288086891174,match
5,azfar,azfar,0.99628084897995,match
6,azfar,azfar,0.999491810798645,match
7,azfar,azfar,0.9990843534469604,match
8,azfar,azfar,0.9950696229934692,match
9,azfar,azfar,0.9969770908355713,match
10,azfar,ken,0.9706379175186157,nope
11,azfar,ken,0.9429920315742493,nope
12,azfar,azfar,0.9976750016212463,match
13,azfar,azfar,0.9994470477104187,match
14,azfar,ken,0.9718796610832214,nope
15,azfar,andy,0.999972939491272,nope
16,azfar,azfar,0.9580772519111633,match
17,azfar,azfar,0.9989787340164185,match
18,azfar,ken,0.9556968212127686,nope
19,azfar,andy,0.9999728202819824,nope
20,bryce,qk,0.7841893434524536,nope
21,bryce,qk,0.9896851778030396,nope
22,bryce,chris,0.9857003688812256,nope
23,bryce,qk,0.7561061978340149,nope
24,bryce,qk,0.8107166290283203,nope
25,bryce,qk,0.9990267753601074,nope
26,bryce,chris,0.9567813277244568,nope
27,bryce,qk,0.7578837275505066,nope
28,bryce,qk,0.9834434986114502,nope
29,bryce,qk,0.9957172274589539,nope
30,bryce,qk,0.9995777010917664,nope
31,bryce,qk,0.987136960029602,nope
32,bryce,chris,0.9823896884918213,nope
33,bryce,chris,0.9488279819488525,nope
34,bryce,qk,0.9994231462478638,nope
35,bryce,chris,0.9695233702659607,nope
36,bryce,qk,0.8153581619262695,nope
37,bryce,qk,0.8008198738098145,nope
38,bryce,qk,0.988767683506012,nope
39,bryce,chris,0.9698646664619446,nope
40,chris,sz,0.9894967079162598,nope
41,chris,chris,0.9968869090080261,match
42,chris,chris,0.9994890689849854,match
43,chris,chris,0.9994982481002808,match
44,chris,chris,0.7707143425941467,match
45,chris,sz,0.999555766582489,nope
46,chris,sz,0.9997730851173401,nope
47,chris,chris,0.9847054481506348,match
48,chris,chris,0.9925751686096191,match
49,chris,sz,0.9996464252471924,nope
50,chris,chris,0.8988493084907532,match
51,chris,chris,0.9541845917701721,match
52,chris,chris,0.9994518160820007,match
53,chris,sz,0.9997500777244568,nope
54,chris,chris,0.925723671913147,match
55,chris,chris,0.9881729483604431,match
56,chris,chris,0.9994909763336182,match
57,chris,chris,0.9848453998565674,match
58,chris,chris,0.9559539556503296,match
59,chris,chris,0.9902918934822083,match
60,cy,sz,0.9770036339759827,nope
61,cy,sz,0.9566299915313721,nope
62,cy,sz,0.98113614320755,nope
63,cy,sz,0.7971221208572388,nope
64,cy,sz,0.8728030920028687,nope
65,cy,sz,0.7768314480781555,nope
66,cy,cy,0.8780820965766907,match
67,cy,cy,0.6307082772254944,match
68,cy,sz,0.5922886729240417,nope
69,cy,sz,0.5502926111221313,nope
70,cy,sz,0.6180562973022461,nope
71,cy,cy,0.682850182056427,match
72,cy,sz,0.8040206432342529,nope
73,cy,cy,0.935252845287323,match
74,cy,sz,0.7586862444877625,nope
75,cy,cy,0.5155349373817444,match
76,cy,sz,0.9412927627563477,nope
77,cy,sz,0.9768959879875183,nope
78,cy,sz,0.9518706798553467,nope
79,cy,sz,0.9791219830513,nope
80,gerald,sz,0.9999419450759888,nope
81,gerald,sz,0.9999417066574097,nope
82,gerald,sz,0.9999417066574097,nope
83,gerald,sz,0.9999430179595947,nope
84,gerald,sz,0.9999423027038574,nope
85,gerald,sz,0.9999467134475708,nope
86,gerald,sz,0.9999463558197021,nope
87,gerald,sz,0.9999432563781738,nope
88,gerald,sz,0.9999419450759888,nope
89,gerald,sz,0.9999467134475708,nope
90,gerald,sz,0.9999423027038574,nope
91,gerald,sz,0.9999432563781738,nope
92,gerald,sz,0.9999421834945679,nope
93,gerald,sz,0.9999459981918335,nope
94,gerald,sz,0.999942421913147,nope
95,gerald,sz,0.9999431371688843,nope
96,gerald,sz,0.9999428987503052,nope
97,gerald,sz,0.9999427795410156,nope
98,gerald,sz,0.9999428987503052,nope
99,gerald,sz,0.9999428987503052,nope
100,ken,ken,0.9996260404586792,match
101,ken,ken,0.9996500015258789,match
102,ken,ken,0.9993808269500732,match
103,ken,ken,0.9996325969696045,match
104,ken,ken,0.9996501207351685,match
105,ken,ken,0.9996495246887207,match
106,ken,ken,0.9996275901794434,match
107,ken,ken,0.9996262788772583,match
108,ken,ken,0.9996594190597534,match
109,ken,ken,0.9996473789215088,match
110,ken,ken,0.9996556043624878,match
111,ken,ken,0.9998656511306763,match
112,ken,ken,0.9994091987609863,match
113,ken,ken,0.9996034502983093,match
114,ken,ken,0.9996370077133179,match
115,ken,andy,0.5044227242469788,nope
116,ken,ken,0.999672532081604,match
117,ken,ken,0.9997021555900574,match
118,ken,ken,0.999846339225769,match
119,ken,andy,0.9303464889526367,nope
120,qk,sz,0.9998821020126343,nope
121,qk,sz,0.9999215602874756,nope
122,qk,sz,0.9999072551727295,nope
123,qk,sz,0.9998797178268433,nope
124,qk,sz,0.9998770952224731,nope
125,qk,sz,0.9998667240142822,nope
126,qk,sz,0.9996947050094604,nope
127,qk,sz,0.9994902610778809,nope
128,qk,sz,0.999920129776001,nope
