,Actual,Prediction,Accuracy,233/240 (97.08333333333333%)
0,andy,andy,0.999992847442627,match
1,andy,andy,0.9999876022338867,match
2,andy,andy,0.9999860525131226,match
3,andy,andy,0.9999822378158569,match
4,andy,andy,0.9999942779541016,match
5,andy,andy,0.9999916553497314,match
6,andy,andy,0.999977707862854,match
7,andy,andy,0.999974250793457,match
8,andy,andy,0.9999905824661255,match
9,andy,andy,0.9999912977218628,match
10,andy,andy,0.9999879598617554,match
11,andy,andy,0.9999735355377197,match
12,andy,andy,0.9999866485595703,match
13,andy,andy,0.9999791383743286,match
14,andy,andy,0.9999874830245972,match
15,andy,andy,0.9999802112579346,match
16,andy,andy,0.9999822378158569,match
17,andy,andy,0.9999765157699585,match
18,andy,andy,0.9999756813049316,match
19,andy,andy,0.9999805688858032,match
20,azfar,azfar,0.9992033839225769,match
21,azfar,azfar,0.9992037415504456,match
22,azfar,azfar,0.999201238155365,match
23,azfar,azfar,0.9992040991783142,match
24,azfar,azfar,0.9992020726203918,match
25,azfar,azfar,0.99920254945755,match
26,azfar,azfar,0.9992006421089172,match
27,azfar,azfar,0.9992006421089172,match
28,azfar,azfar,0.9992018342018127,match
29,azfar,azfar,0.9992021918296814,match
30,azfar,azfar,0.9992008805274963,match
31,azfar,azfar,0.9992004036903381,match
32,azfar,azfar,0.9992013573646545,match
33,azfar,azfar,0.9992007613182068,match
34,azfar,azfar,0.9992009997367859,match
35,azfar,azfar,0.9991982579231262,match
36,azfar,azfar,0.999201238155365,match
37,azfar,azfar,0.999200165271759,match
38,azfar,azfar,0.9992011189460754,match
39,azfar,azfar,0.9991981387138367,match
40,bryce,bryce,0.9948953986167908,match
41,bryce,bryce,0.9948793649673462,match
42,bryce,bryce,0.9948776960372925,match
43,bryce,bryce,0.9948967099189758,match
44,bryce,bryce,0.994899570941925,match
45,bryce,bryce,0.9950697422027588,match
46,bryce,bryce,0.9909379482269287,match
47,bryce,bryce,0.9948029518127441,match
48,bryce,bryce,0.9949015378952026,match
49,bryce,bryce,0.9951713681221008,match
50,bryce,bryce,0.9824066162109375,match
51,bryce,bryce,0.9958009123802185,match
52,bryce,bryce,0.9949004054069519,match
53,bryce,bryce,0.9889956712722778,match
54,bryce,bryce,0.9839613437652588,match
55,bryce,bryce,0.9889565110206604,match
56,bryce,bryce,0.9949041604995728,match
57,bryce,bryce,0.994784414768219,match
58,bryce,bryce,0.995164155960083,match
59,bryce,bryce,0.9892258048057556,match
60,chris,cy,0.9992619156837463,nope
61,chris,chris,0.48354893922805786,match
62,chris,azfar,0.4911889135837555,nope
63,chris,chris,0.5050144791603088,match
64,chris,cy,0.6091528534889221,nope
65,chris,chris,0.9970272183418274,match
66,chris,chris,0.997812032699585,match
67,chris,chris,0.9969136714935303,match
68,chris,chris,0.4365236759185791,match
69,chris,chris,0.9970466494560242,match
70,chris,chris,0.9981661438941956,match
71,chris,chris,0.9979629516601562,match
72,chris,azfar,0.46274781227111816,nope
73,chris,chris,0.9978172779083252,match
74,chris,chris,0.998084545135498,match
75,chris,chris,0.9980571866035461,match
76,chris,chris,0.5124658942222595,match
77,chris,chris,0.9971070885658264,match
78,chris,chris,0.9979698061943054,match
79,chris,chris,0.9979013204574585,match
80,cy,cy,0.9999871253967285,match
81,cy,cy,0.9999871253967285,match
82,cy,cy,0.9999871253967285,match
83,cy,cy,0.9999871253967285,match
84,cy,cy,0.9999871253967285,match
85,cy,cy,0.9999871253967285,match
86,cy,cy,0.9999871253967285,match
87,cy,cy,0.9999871253967285,match
88,cy,cy,0.9999871253967285,match
89,cy,cy,0.9999871253967285,match
90,cy,cy,0.9999871253967285,match
91,cy,cy,0.9999871253967285,match
92,cy,cy,0.9999871253967285,match
93,cy,cy,0.9999871253967285,match
94,cy,cy,0.9999871253967285,match
95,cy,cy,0.9999871253967285,match
96,cy,cy,0.9999871253967285,match
97,cy,cy,0.9999871253967285,match
98,cy,cy,0.9999871253967285,match
99,cy,cy,0.9999871253967285,match
100,gerald,gerald,0.9996825456619263,match
101,gerald,gerald,0.9997137188911438,match
102,gerald,gerald,0.9994877576828003,match
103,gerald,gerald,0.9991797804832458,match
104,gerald,gerald,0.9997097849845886,match
105,gerald,gerald,0.9997929930686951,match
106,gerald,gerald,0.9998601675033569,match
107,gerald,gerald,0.999294638633728,match
108,gerald,gerald,0.999477207660675,match
109,gerald,gerald,0.999804675579071,match
110,gerald,gerald,0.9783575534820557,match
111,gerald,gerald,0.999506950378418,match
112,gerald,gerald,0.9983478784561157,match
113,gerald,gerald,0.9998704195022583,match
114,gerald,gerald,0.9873064756393433,match
115,gerald,gerald,0.9994725584983826,match
116,gerald,gerald,0.9994637370109558,match
117,gerald,gerald,0.9993795156478882,match
118,gerald,gerald,0.9995452761650085,match
119,gerald,gerald,0.999523401260376,match
120,ken,ken,0.9999587535858154,match
121,ken,ken,0.9999822378158569,match
122,ken,ken,0.9998624324798584,match
123,ken,ken,0.9999938011169434,match
124,ken,ken,0.9999613761901855,match
125,ken,ken,0.9986585378646851,match
126,ken,ken,0.9924781322479248,match
127,ken,ken,0.999993085861206,match
128,ken,ken,0.9999847412109375,match
129,ken,ken,0.9937776327133179,match
130,ken,ken,0.9961646795272827,match
131,ken,ken,0.9999934434890747,match
132,ken,ken,0.9999669790267944,match
133,ken,ken,0.9962882995605469,match
134,ken,ken,0.9999613761901855,match
135,ken,ken,0.9999910593032837,match
136,ken,ken,0.9999920129776001,match
137,ken,ken,0.9999852180480957,match
138,ken,ken,0.999991774559021,match
139,ken,ken,0.9999927282333374,match
140,qk,qk,0.9995114803314209,match
141,qk,qk,0.8210423588752747,match
142,qk,qk,0.5074791312217712,match
143,qk,gerald,0.5756173133850098,nope
144,qk,qk,0.9997037053108215,match
145,qk,qk,0.9997840523719788,match
146,qk,qk,0.9997811913490295,match
147,qk,qk,0.9998045563697815,match
148,qk,qk,0.9997606873512268,match
149,qk,qk,0.9997840523719788,match
150,qk,qk,0.9998273849487305,match
151,qk,qk,0.9998441934585571,match
152,qk,qk,0.9214142560958862,match
153,qk,qk,0.9997828602790833,match
154,qk,qk,0.9998341798782349,match
155,qk,qk,0.9998341798782349,match
156,qk,qk,0.8392522931098938,match
157,qk,qk,0.9998050332069397,match
158,qk,qk,0.9998325109481812,match
159,qk,qk,0.9998317956924438,match
160,sz,sz,0.9999147653579712,match
161,sz,sz,0.9999140501022339,match
162,sz,sz,0.9997866749763489,match
163,sz,sz,0.9999065399169922,match
164,sz,sz,0.9998749494552612,match
165,sz,sz,0.9999688863754272,match
166,sz,sz,0.9999641180038452,match
167,sz,sz,0.9999688863754272,match
168,sz,sz,0.9996373653411865,match
169,sz,sz,0.9999688863754272,match
170,sz,sz,0.9999520778656006,match
171,sz,sz,0.9999610185623169,match
172,sz,sz,0.9618964791297913,match
173,sz,sz,0.9999639987945557,match
174,sz,sz,0.9999555349349976,match
175,sz,sz,0.9999552965164185,match
176,sz,sz,0.9929500818252563,match
177,sz,sz,0.9999687671661377,match
178,sz,sz,0.9999604225158691,match
179,sz,sz,0.9999516010284424,match
180,vale,vale,0.9999995231628418,match
181,vale,vale,0.9999995231628418,match
182,vale,vale,0.9999995231628418,match
