,Actual,Prediction,Accuracy,234/240 (97.5%)
0,andy,andy,0.9999749660491943,match
1,andy,andy,0.9999637603759766,match
2,andy,andy,0.9999325275421143,match
3,andy,andy,0.9999551773071289,match
4,andy,andy,0.999974250793457,match
5,andy,andy,0.9999657869338989,match
6,andy,andy,0.9999802112579346,match
7,andy,andy,0.9999638795852661,match
8,andy,andy,0.9999673366546631,match
9,andy,andy,0.9999675750732422,match
10,andy,andy,0.9999709129333496,match
11,andy,andy,0.9999724626541138,match
12,andy,andy,0.9999415874481201,match
13,andy,andy,0.9999803304672241,match
14,andy,andy,0.9999719858169556,match
15,andy,andy,0.9999744892120361,match
16,andy,andy,0.9999556541442871,match
17,andy,andy,0.9999644756317139,match
18,andy,andy,0.999969482421875,match
19,andy,andy,0.9999760389328003,match
20,azfar,azfar,0.9997487664222717,match
21,azfar,azfar,0.9997572302818298,match
22,azfar,azfar,0.999747097492218,match
23,azfar,azfar,0.9997519850730896,match
24,azfar,azfar,0.9997078776359558,match
25,azfar,azfar,0.9997560381889343,match
26,azfar,azfar,0.9997465014457703,match
27,azfar,azfar,0.9997515082359314,match
28,azfar,azfar,0.9997324347496033,match
29,azfar,azfar,0.9997565150260925,match
30,azfar,azfar,0.9997571110725403,match
31,azfar,azfar,0.9997593760490417,match
32,azfar,azfar,0.9997057318687439,match
33,azfar,azfar,0.9997465014457703,match
34,azfar,azfar,0.9997562766075134,match
35,azfar,azfar,0.9997504353523254,match
36,azfar,azfar,0.9997020363807678,match
37,azfar,azfar,0.9997431635856628,match
38,azfar,azfar,0.9997549653053284,match
39,azfar,azfar,0.99974125623703,match
40,bryce,qk,0.9438467621803284,nope
41,bryce,qk,0.764823853969574,nope
42,bryce,qk,0.9316210746765137,nope
43,bryce,qk,0.8994211554527283,nope
44,bryce,bryce,0.7192702889442444,match
45,bryce,bryce,0.9997802376747131,match
46,bryce,bryce,0.9997711777687073,match
47,bryce,bryce,0.9997890591621399,match
48,bryce,qk,0.7783879637718201,nope
49,bryce,bryce,0.9997795224189758,match
50,bryce,bryce,0.9986698627471924,match
51,bryce,bryce,0.9997718930244446,match
52,bryce,qk,0.8576379418373108,nope
53,bryce,bryce,0.9997709393501282,match
54,bryce,bryce,0.9966750144958496,match
55,bryce,bryce,0.999747097492218,match
56,bryce,bryce,0.6120856404304504,match
57,bryce,bryce,0.9997901320457458,match
58,bryce,bryce,0.9997733235359192,match
59,bryce,bryce,0.9997604489326477,match
60,chris,chris,0.9994675517082214,match
61,chris,chris,0.9993775486946106,match
62,chris,chris,0.9066565036773682,match
63,chris,chris,0.996685802936554,match
64,chris,chris,0.9994662404060364,match
65,chris,chris,0.9994731545448303,match
66,chris,chris,0.999444305896759,match
67,chris,chris,0.999472439289093,match
68,chris,chris,0.9994359612464905,match
69,chris,chris,0.9994763731956482,match
70,chris,chris,0.9994723200798035,match
