,key,press_time,release_time
0,'a',1654925453.578481,1654925453.7113726
1,'n',1654925454.0054922,1654925454.106137
2,'d',1654925454.070961,1654925454.19408
3,'y',1654925454.2185097,1654925454.2839775
4,'1',1654925454.45788,1654925454.576458
5,'2',1654925454.6868749,1654925454.742572
6,'3',1654925454.9047778,1654925455.0034688
7,'4',1654925455.1344054,1654925455.2224267
0,'a',1654925460.3625305,1654925460.5039022
1,'n',1654925460.9459796,1654925461.0338144
2,'d',1654925461.0582423,1654925461.1696374
3,'y',1654925461.1569335,1654925461.2253342
4,'1',1654925461.3455226,1654925461.4334652
5,'2',1654925461.5536537,1654925461.663093
6,'3',1654925461.782514,1654925461.9027026
7,'4',1654925462.0971532,1654925462.1958451
0,'a',1654925464.0208342,1654925464.1517737
1,'n',1654925464.6391563,1654925464.737846
2,'d',1654925464.738824,1654925464.8463094
3,'y',1654925464.8482635,1654925464.9244807
4,'1',1654925465.0231721,1654925465.1218631
5,'2',1654925465.2195776,1654925465.3299944
6,'3',1654925465.4277084,1654925465.5264
7,'4',1654925465.6358392,1654925465.7233086
0,'a',1654925467.1644566,1654925467.284645
1,'n',1654925467.7839646,1654925467.8924274
2,'d',1654925467.9061084,1654925468.0253184
3,'y',1654925468.027272,1654925468.1025133
4,'1',1654925468.2124557,1654925468.3101697
5,'2',1654925468.4303582,1654925468.5397975
6,'3',1654925468.6820557,1654925468.7796729
7,'4',1654925469.016473,1654925469.0946445
0,'a',1654925471.0692923,1654925471.2334523
1,'n',1654925471.5060756,1654925471.6047654
2,'d',1654925471.605744,1654925471.7454743
3,'y',1654925471.7699032,1654925471.8363492
4,'1',1654925472.0415502,1654925472.1296594
5,'2',1654925472.2387562,1654925472.337779
6,'3',1654925472.456676,1654925472.5556998
7,'4',1654925472.6644938,1654925472.7527678
0,'a',1654925474.514152,1654925474.655839
1,'n',1654925475.0044525,1654925475.106075
2,'d',1654925475.092395,1654925475.2047658
3,'y',1654925475.2174692,1654925475.2848918
4,'1',1654925475.4041038,1654925475.4920459
5,'2',1654925475.6014857,1654925475.6894286
