,Results,Prediction,Accuracy,
0,andy,gerald,0.98743546,Nope
1,andy,andy,0.9988784,Match
2,andy,andy,0.9988263,Match
3,andy,andy,0.99983966,Match
4,andy,andy,0.99995875,Match
5,azfar,azfar,0.49001753,Match
6,azfar,azfar,0.8890527,Match
7,azfar,qk,0.48551878,Nope
8,azfar,azfar,0.45132962,Match
9,azfar,qk,0.64459443,Nope
10,bryce,ye,0.7220958,Nope
11,bryce,bryce,0.9836029,Match
12,bryce,bryce,0.8052771,Match
13,bryce,bryce,0.9694699,Match
14,bryce,bryce,0.98338264,Match
15,chris,ye,0.6582138,Nope
16,chris,chris,0.740227,Match
17,chris,ye,0.7462995,Nope
18,chris,ye,0.6368992,Nope
19,chris,gerald,0.78377306,Nope
20,cy,sz,0.99915934,Nope
21,cy,sz,0.85312957,Nope
22,cy,sz,0.9994586,Nope
23,cy,sz,0.99904865,Nope
24,cy,sz,0.9790678,Nope
25,gerald,sz,0.81294984,Nope
26,gerald,sz,0.9995472,Nope
27,gerald,sz,0.9995721,Nope
28,gerald,sz,0.9995338,Nope
29,gerald,sz,0.99952173,Nope
30,ken,gerald,0.8191929,Nope
31,ken,ken,0.9998018,Match
32,ken,ken,0.9997998,Match
33,ken,ken,0.9997905,Match
34,ken,ken,0.99979454,Match
35,qk,gerald,0.97740734,Nope
36,qk,qk,0.34033746,Match
37,qk,qk,0.48129964,Match
38,qk,chris,0.9910019,Nope
39,qk,gerald,0.6176138,Nope
40,sz,sz,0.99959606,Match
41,sz,sz,0.99959403,Match
42,sz,sz,0.9995709,Match
43,sz,sz,0.99959093,Match
44,sz,sz,0.9995863,Match
45,vale,sz,0.85247344,Nope
46,vale,vale,0.9999528,Match
47,vale,vale,0.9999558,Match
48,vale,vale,0.999944,Match
49,vale,vale,0.99995005,Match
50,ye,ken,0.99975604,Nope
51,ye,ken,0.9997279,Nope
52,ye,ken,0.9997509,Nope
53,ye,ken,0.9997718,Nope
54,ye,ken,0.99975806,Nope
55,ys,ys,0.9982241,Match
56,ys,ys,0.9998491,Match
57,ys,ys,0.999503,Match
58,ys,bryce,0.39920858,Nope
59,ys,bryce,0.97484344,Nope
