,Results,Prediction,Accuracy,
0,andy,andy,0.4098302,Match
1,andy,ye,0.6615151,Nope
2,andy,ye,0.99800056,Nope
3,andy,ye,0.9895806,Nope
4,andy,ye,0.28777695,Nope
5,azfar,gerald,0.84510434,Nope
6,azfar,gerald,0.65095484,Nope
7,azfar,gerald,0.8661955,Nope
8,azfar,gerald,0.80877197,Nope
9,azfar,gerald,0.76312375,Nope
10,bryce,ye,0.73769695,Nope
11,bryce,ye,0.70395917,Nope
12,bryce,ye,0.76668113,Nope
13,bryce,ye,0.99831355,Nope
14,bryce,ye,0.7925077,Nope
15,chris,ye,0.5962004,Nope
16,chris,ye,0.80958444,Nope
17,chris,ye,0.7717995,Nope
18,chris,ye,0.6676382,Nope
19,chris,ye,0.5803923,Nope
20,cy,chris,0.6575916,Nope
21,cy,gerald,0.71584725,Nope
22,cy,gerald,0.9956397,Nope
23,cy,gerald,0.53073364,Nope
24,cy,gerald,0.46541736,Nope
25,gerald,gerald,0.998329,Match
26,gerald,gerald,0.9981007,Match
27,gerald,gerald,0.9981469,Match
28,gerald,gerald,0.9983303,Match
29,gerald,gerald,0.99820006,Match
30,ken,gerald,0.91225755,Nope
31,ken,gerald,0.9971239,Nope
32,ken,gerald,0.99796474,Nope
33,ken,gerald,0.7944487,Nope
34,ken,gerald,0.9699811,Nope
35,qk,gerald,0.84857994,Nope
36,qk,gerald,0.99649376,Nope
37,qk,gerald,0.6239131,Nope
38,qk,gerald,0.99396825,Nope
39,qk,gerald,0.9887483,Nope
40,sz,qk,0.52210635,Nope
41,sz,gerald,0.5141716,Nope
42,sz,gerald,0.99504685,Nope
43,sz,gerald,0.9824845,Nope
44,sz,gerald,0.6683601,Nope
45,vale,qk,0.989437,Nope
46,vale,bryce,0.9796882,Nope
47,vale,qk,0.9162233,Nope
48,vale,qk,0.9262738,Nope
49,vale,vale,0.52444637,Match
50,ye,bryce,0.7908253,Nope
51,ye,ys,0.6959699,Nope
52,ye,ye,0.7543035,Match
53,ye,gerald,0.9887068,Nope
54,ye,bryce,0.96041,Nope
55,ys,qk,0.45304218,Nope
56,ys,ye,0.6928176,Nope
57,ys,ye,0.6446769,Nope
58,ys,bryce,0.837643,Nope
59,ys,bryce,0.6975143,Nope
