,key,press_time,release_time
0,'d',1655080757.470642,1655080757.563418
1,'e',1655080757.8706195,1655080757.96274
2,'c',1655080758.1043499,1655080758.2310529
3,'i',1655080758.290074,1655080758.4032516
4,'s',1655080758.4529362,1655080758.6080112
5,'i',1655080759.015496,1655080759.1383624
6,'0',1655080759.5670166,1655080759.659988
7,'n',1655080759.7742136,1655080759.8458805
0,'d',1655080761.8628168,1655080762.0059133
1,'e',1655080762.3842106,1655080762.5261247
2,'c',1655080762.7537131,1655080762.8948705
3,'i',1655080762.915236,1655080763.0162952
4,'s',1655080763.260396,1655080763.4163458
5,'i',1655080763.4215484,1655080763.51878
6,'0',1655080763.701026,1655080763.8168817
7,'n',1655080763.9573493,1655080764.0295854
0,'d',1655080771.204333,1655080771.357206
1,'e',1655080771.7864003,1655080771.8973246
2,'c',1655080772.1535592,1655080772.2767308
3,'i',1655080772.3365893,1655080772.4320297
4,'s',1655080772.573492,1655080772.7262988
5,'i',1655080772.7563975,1655080772.8392758
6,'0',1655080773.2576566,1655080773.3800657
7,'n',1655080773.7988358,1655080773.8906085
0,'d',1655080775.5896528,1655080775.7531593
1,'e',1655080776.6328366,1655080776.7550693
2,'c',1655080776.9181974,1655080777.043072
3,'i',1655080777.0487761,1655080777.1353283
4,'s',1655080777.1852956,1655080777.3275144
5,'i',1655080777.295769,1655080777.3883967
6,'0',1655080777.8673108,1655080777.9801521
7,'n',1655080778.388746,1655080778.4806206
0,'d',1655080795.5148706,1655080795.617285
1,'e',1655080795.770882,1655080795.8850555
2,'c',1655080796.0986214,1655080796.2195864
3,'i',1655080796.2254663,1655080796.3031409
4,'s',1655080796.3535645,1655080796.4865253
5,'i',1655080796.5370784,1655080796.6184847
6,'0',1655080797.0368395,1655080797.1497643
7,'n',1655080797.3853102,1655080797.4672875
0,'d',1655080799.3820126,1655080799.4907753
1,'e',1655080800.051813,1655080800.152797
2,'c',1655080800.3169835,1655080800.442775
3,'i',1655080800.4482172,1655080800.533769
4,'s',1655080800.573791,1655080800.6859443
5,'i',1655080801.0217834,1655080801.1053305
6,'0',1655080801.5148656,1655080801.606266
7,'n',1655080801.7073495,1655080801.7799273
0,'d',1655080804.008443,1655080804.110551
1,'e',1655080804.253022,1655080804.355122
2,'c',1655080804.4986343,1655080804.601638
3,'i',1655080804.6207912,1655080804.7124941
4,'s',1655080804.7729726,1655080804.900704
5,'i',1655080804.9043353,1655080804.9615653
6,'0',1655080805.336513,1655080805.4420934
7,'n',1655080805.5614593,1655080805.6439285
0,'d',1655080807.2596967,1655080807.363231
1,'e',1655080807.5394676,1655080807.650529
2,'c',1655080807.9572556,1655080808.05898
3,'i',1655080808.0789294,1655080808.1611474
4,'s',1655080808.201784,1655080808.3329244
5,'i',1655080808.3359163,1655080808.4140532
6,'0',1655080808.7007375,1655080808.7832944
7,'n',1655080808.9041524,1655080808.978861
0,'d',1655080810.4207342,1655080810.5260377
1,'e',1655080810.6979659,1655080810.8199034
2,'c',1655080810.995066,1655080811.1166213
3,'i',1655080811.1195462,1655080811.2089756
4,'s',1655080811.238844,1655080811.3414226
5,'i',1655080811.3616,1655080811.4227042
6,'0',1655080811.8017774,1655080811.882373
7,'n',1655080812.0060482,1655080812.078331
0,'d',1655080813.7265577,1655080813.846811
1,'e',1655080814.001164,1655080814.1159444
2,'c',1655080814.266638,1655080814.3686059
