,key,press_time,release_time
0,'d',1655215306.4811544,1655215306.5521686
1,'e',1655215306.9924493,1655215307.0724676
2,'c',1655215307.3289165,1655215307.3929486
3,'i',1655215307.472829,1655215307.5368552
4,'s',1655215307.6168761,1655215307.688755
5,'i',1655215307.7848325,1655215307.8968294
6,'0',1655215307.9368286,1655215308.0564194
7,'n',1655215308.1204376,1655215308.2329996
0,'d',1655215318.9446797,1655215319.0246696
1,'e',1655215319.2088335,1655215319.312929
2,'c',1655215319.504431,1655215319.5850914
3,'i',1655215319.6648088,1655215319.728824
4,'s',1655215319.7927015,1655215319.8803875
5,'i',1655215319.9605987,1655215320.064651
6,'0',1655215320.129666,1655215320.2406912
7,'n',1655215320.3208342,1655215320.4004521
0,'d',1655215321.8724537,1655215321.9764771
1,'e',1655215322.208836,1655215322.2968357
2,'c',1655215322.440479,1655215322.5289335
3,'i',1655215322.5849462,1655215322.6649644
4,'s',1655215322.72098,1655215322.8168356
5,'i',1655215322.8568351,1655215322.9845064
6,'0',1655215323.0085118,1655215323.1285393
7,'n',1655215323.1685479,1655215323.2644844
0,'d',1655215324.7128866,1655215324.8088365
1,'e',1655215325.008526,1655215325.096614
2,'c',1655215325.232317,1655215325.305114
3,'i',1655215325.3929534,1655215325.4649696
4,'s',1655215325.4969766,1655215325.5619924
5,'i',1655215325.6007836,1655215325.7124066
6,'0',1655215325.7044022,1655215325.8247466
7,'n',1655215325.8729453,1655215325.9602928
0,'d',1655215327.512871,1655215327.5849042
1,'e',1655215327.8248377,1655215327.9045424
2,'c',1655215328.032842,1655215328.113054
3,'i',1655215328.169067,1655215328.241083
4,'s',1655215328.3051076,1655215328.3845563
5,'i',1655215328.385557,1655215328.4886277
6,'0',1655215328.5288372,1655215328.640838
7,'n',1655215328.672801,1655215328.7608378
0,'d',1655215337.3608408,1655215337.4323714
1,'e',1655215337.6811507,1655215337.7528472
2,'c',1655215337.9368985,1655215338.0169172
3,'i',1655215338.208301,1655215338.3046596
4,'s',1655215338.3766854,1655215338.456842
5,'i',1655215338.5525227,1655215338.664854
6,'0',1655215338.7288773,1655215338.8322992
7,'n',1655215338.913163,1655215339.0168426
0,'d',1655215340.4488428,1655215340.512861
1,'e',1655215340.7441933,1655215340.8248465
2,'c',1655215341.0009418,1655215341.072843
3,'i',1655215341.1208458,1655215341.2087026
4,'s',1655215341.2567136,1655215341.320728
5,'i',1655215341.3217287,1655215341.4403718
6,'0',1655215341.4083652,1655215341.5208433
7,'n',1655215341.5530355,1655215341.6169345
0,'d',1655215343.024847,1655215343.0968437
1,'e',1655215343.232823,1655215343.305667
2,'c',1655215343.4728444,1655215343.5368443
3,'i',1655215343.6168447,1655215343.688193
4,'s',1655215343.7522078,1655215343.816222
5,'i',1655215343.7922165,1655215343.9209313
6,'0',1655215343.8966208,1655215344.0168483
7,'n',1655215344.0488477,1655215344.1128707
0,'d',1655215345.4808443,1655215345.5604808
1,'e',1655215345.7209344,1655215345.793409
2,'c',1655215345.9363387,1655215345.9923518
3,'i',1655215346.0643675,1655215346.1288452
4,'s',1655215346.1924148,1655215346.2484334
5,'i',1655215346.2494335,1655215346.3444543
6,'0',1655215346.3204494,1655215346.4164708
7,'n',1655215346.4724638,1655215346.5288453
0,'d',1655215359.1768508,1655215359.264851
1,'e',1655215359.5608041,1655215359.6408463
2,'c',1655215359.913148,1655215360.0088506
3,'i',1655215360.1124654,1655215360.1843812
4,'s',1655215360.2644043,1655215360.3450642
5,'i',1655215360.3460655,1655215360.4568505
6,'0',1655215360.4328513,1655215360.5370722
7,'n',1655215360.5683687,1655215360.6323955
0,'d',1655215362.8645818,1655215362.9448564
1,'e',1655215363.8250558,1655215363.8968525
2,'c',1655215364.0490026,1655215364.1128561
3,'i',1655215364.144648,1655215364.2088528
4,'s',1655215364.2571054,1655215364.3131182
5,'i',1655215364.3141186,1655215364.4089034
6,'0',1655215364.3851347,1655215364.480923
7,'n',1655215364.5046122,1655215364.5688527
0,'d',1655215375.7051432,1655215375.77716
1,'e',1655215375.9369354,1655215376.0098588
2,'c',1655215376.1610868,1655215376.2011044
3,'i',1655215376.2571173,1655215376.3368576
4,'s',1655215376.3768568,1655215376.4408576
5,'i',1655215376.4417253,1655215376.5368571
6,'0',1655215376.5128613,1655215376.6168573
7,'n',1655215376.6178594,1655215376.696858
0,'d',1655215378.1051817,1655215378.1688592
1,'e',1655215378.3929358,1655215378.465952
2,'c',1655215378.6008587,1655215378.6648917
3,'i',1655215378.7041516,1655215378.7768302
4,'s',1655215378.8248415,1655215378.8888557
5,'i',1655215378.8898566,1655215379.0088582
6,'0',1655215378.968863,1655215379.0964112
7,'n',1655215379.1289074,1655215379.200924
0,'d',1655215380.7849672,1655215380.8805315
1,'e',1655215381.0968597,1655215381.1778615
2,'c',1655215381.288859,1655215381.3608778
3,'i',1655215381.4328938,1655215381.481905
4,'s',1655215381.5289152,1655215381.6088595
5,'i',1655215381.6098444,1655215381.7043798
6,'0',1655215381.6808832,1655215381.7922583
7,'n',1655215381.7942588,1655215381.8802786
0,'d',1655215383.505075,1655215383.5929444
1,'e',1655215384.0247087,1655215384.0967245
2,'c',1655215384.2485468,1655215384.312587
3,'i',1655215384.3366113,1655215384.4003658
4,'s',1655215384.4644535,1655215384.5289483
5,'i',1655215384.5048597,1655215384.6167002
6,'0',1655215384.584861,1655215384.6968613
7,'n',1655215384.7127993,1655215384.800151
0,'d',1655215386.2009077,1655215386.2891202
1,'e',1655215386.4968617,1655215386.5776134
2,'c',1655215386.6966395,1655215386.7682924
3,'i',1655215386.8008745,1655215386.8809273
4,'s',1655215386.9369402,1655215387.0009549
5,'i',1655215387.0019553,1655215387.0888615
6,'0',1655215387.064971,1655215387.1768987
7,'n',1655215387.1778994,1655215387.27292
0,'d',1655215389.0967436,1655215389.1766646
1,'e',1655215389.3607533,1655215389.4257674
2,'c',1655215389.6008074,1655215389.6724677
3,'i',1655215389.7766593,1655215389.8487165
4,'s',1655215389.912732,1655215389.968745
5,'i',1655215389.9527407,1655215390.0647652
6,'0',1655215390.024757,1655215390.1369338
7,'n',1655215390.1609392,1655215390.2407753
0,'d',1655215391.6488633,1655215391.7208884
1,'e',1655215392.0408692,1655215392.1129148
2,'c',1655215392.2488642,1655215392.3207176
3,'i',1655215392.3447232,1655215392.424742
4,'s',1655215392.472753,1655215392.5288641
5,'i',1655215392.5127707,1655215392.616864
6,'0',1655215392.5928884,1655215392.6888645
7,'n',1655215392.7048635,1655215392.8008645
0,'d',1655215394.160656,1655215394.2326849
1,'e',1655215394.3925378,1655215394.4651449
2,'c',1655215394.6008353,1655215394.6488652
3,'i',1655215394.704874,1655215394.768253
4,'s',1655215394.824935,1655215394.8804846
5,'i',1655215394.8814847,1655215394.9605029
6,'0',1655215394.9364977,1655215395.0355206
7,'n',1655215395.0485253,1655215395.1209333
0,'d',1655215399.8171768,1655215399.889193
1,'e',1655215400.0728676,1655215400.153153
2,'c',1655215400.28881,1655215400.336826
3,'i',1655215400.3688676,1655215400.4488676
4,'s',1655215400.4888666,1655215400.5525355
5,'i',1655215400.5535355,1655215400.6405277
6,'0',1655215400.6088686,1655215400.7125916
7,'n',1655215400.7366025,1655215400.8168676
0,'d',1655215412.208875,1655215412.28091
1,'e',1655215412.6248732,1655215412.7137315
2,'c',1655215412.936913,1655215412.9928322
3,'i',1655215413.0088727,1655215413.0968728
4,'s',1655215413.1371381,1655215413.2005153
5,'i',1655215413.2015178,1655215413.2968721
6,'0',1655215413.26453,1655215413.3928611
7,'n',1655215413.4248714,1655215413.520339
0,'d',1655215415.216873,1655215415.3048744
1,'e',1655215416.008874,1655215416.0970867
2,'c',1655215416.2804196,1655215416.344875
3,'i',1655215416.3844686,1655215416.456487
4,'s',1655215416.520481,1655215416.5928745
5,'i',1655215416.6008742,1655215416.7048738
6,'0',1655215416.680875,1655215416.8008745
7,'n',1655215416.816998,1655215416.9045942
0,'d',1655215418.2648778,1655215418.3530207
1,'e',1655215418.6568754,1655215418.7540364
2,'c',1655215418.944875,1655215419.0088754
3,'i',1655215419.0325935,1655215419.1051147
4,'s',1655215419.1451228,1655215419.216876
5,'i',1655215419.2178774,1655215419.3124435
6,'0',1655215419.2724342,1655215419.4011781
7,'n',1655215419.4021783,1655215419.496879
0,'d',1655215420.9368756,1655215421.0248764
1,'e',1655215421.2403858,1655215421.344479
2,'c',1655215421.4968762,1655215421.560588
3,'i',1655215421.6246028,1655215421.688458
4,'s',1655215421.7364688,1655215421.8008766
5,'i',1655215421.8014941,1655215421.920271
6,'0',1655215421.8968804,1655215422.0088766
7,'n',1655215422.02488,1655215422.1048806
0,'d',1655215423.4725828,1655215423.5444436
1,'e',1655215423.7611518,1655215423.8564136
2,'c',1655215424.0248773,1655215424.0966926
3,'i',1655215424.1368773,1655215424.2008781
4,'s',1655215424.2647069,1655215424.3287215
5,'i',1655215424.329721,1655215424.4328
6,'0',1655215424.4167888,1655215424.5129285
7,'n',1655215424.5449357,1655215424.6088777
0,'d',1655215425.9928808,1655215426.0801382
1,'e',1655215426.433112,1655215426.5288785
2,'c',1655215426.6968822,1655215426.768346
3,'i',1655215427.152992,1655215427.2088785
4,'s',1655215427.2648816,1655215427.328868
5,'i',1655215427.352874,1655215427.4408782
6,'0',1655215427.4248967,1655215427.528879
7,'n',1655215427.5611753,1655215427.6329367
0,'d',1655215429.0168788,1655215429.1048794
1,'e',1655215429.2964897,1655215429.3855271
2,'c',1655215429.5527883,1655215429.6168032
3,'i',1655215429.6728153,1655215429.7368298
