,Results,Prediction,Accuracy,
0,andy,qk,0.8293762,Nope
1,andy,sz,0.9945504,Nope
2,andy,sz,0.99829024,Nope
3,andy,sz,0.930897,Nope
4,andy,sz,0.7088901,Nope
5,azfar,azfar,0.9998294,Match
6,azfar,azfar,0.9998306,Match
7,azfar,azfar,0.9998306,Match
8,azfar,azfar,0.9998318,Match
9,azfar,azfar,0.9998337,Match
10,bryce,chris,0.51659477,Nope
11,bryce,bryce,0.91754806,Match
12,bryce,bryce,0.9436425,Match
13,bryce,bryce,0.97733057,Match
14,bryce,bryce,0.88564825,Match
15,chris,bryce,0.989032,Nope
16,chris,bryce,0.6860558,Nope
17,chris,bryce,0.93695766,Nope
18,chris,bryce,0.49244767,Nope
19,chris,chris,0.9768435,Match
20,cy,azfar,0.99982685,Nope
21,cy,azfar,0.9994979,Nope
22,cy,azfar,0.7092832,Nope
23,cy,azfar,0.999686,Nope
24,cy,azfar,0.9991942,Nope
25,gerald,chris,0.87633526,Nope
26,gerald,chris,0.9774778,Nope
27,gerald,qk,0.9842053,Nope
28,gerald,qk,0.9387063,Nope
29,gerald,qk,0.97337395,Nope
30,ken,azfar,0.9993425,Nope
31,ken,qk,0.36421385,Nope
32,ken,azfar,0.99788946,Nope
33,ken,chris,0.65598613,Nope
34,ken,sz,0.6875833,Nope
35,qk,qk,0.5951494,Match
36,qk,chris,0.9779287,Nope
37,qk,chris,0.7909772,Nope
38,qk,azfar,0.99974316,Nope
39,qk,azfar,0.9993272,Nope
40,sz,cy,0.7285917,Nope
41,sz,azfar,0.9996662,Nope
42,sz,cy,0.98153436,Nope
43,sz,azfar,0.92163426,Nope
44,sz,cy,0.90004855,Nope
45,vale,azfar,0.99983263,Nope
46,vale,ken,0.86569643,Nope
47,vale,sz,0.9946238,Nope
48,vale,sz,0.9991991,Nope
49,vale,sz,0.9984133,Nope
50,ye,chris,0.8969485,Nope
51,ye,chris,0.85167414,Nope
52,ye,chris,0.5699886,Nope
53,ye,chris,0.9925527,Nope
54,ye,chris,0.87387544,Nope
55,ys,bryce,0.95043623,Nope
56,ys,bryce,0.9722864,Nope
57,ys,chris,0.60455674,Nope
58,ys,bryce,0.9809564,Nope
59,ys,chris,0.866925,Nope
