Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
gerald,4,deed crocs,0.109929562,0.296007395,0.240016937,0.186077833,0.055990458,0.221688271,0.154658794,0.165697813,0.067029476,0.275470257,0.176391125,0.208440781,0.099079132,0.284928799,0.218930244,0.185849667,0.065998554,0.15706706,0.100728035,0.091068506,0.056339025,0.243264675,0.165159464,0.18692565,0.078105211,0.144065142,0.079043865,0.06595993,0.065021276,0.198107719,0.110052109,0.133086443,0.088055611,0.275410414,0.187003136,0.187354803,0.088407278
gerald,6,origin hoe,0.076893806,0.17881012,0.09101963,0.101916313,0.087790489,0.241868734,0.165247917,0.154078245,0.076620817,0.178903341,0.090620756,0.102282524,0.088282585,0.156996489,0.101284027,0.068713903,0.055712461,0.220370293,0.196709633,0.164657831,0.02366066,0.210995436,0.144342899,0.187334776,0.066652536,0.232019901,0.165650606,0.165367365,0.066369295,0.25297761,0.208296061,0.186608315,0.044681549,0.188695431,0.111697197,0.144013882,0.076998234
gerald,5,loams fumy,0.066418648,0.230340242,0.175046682,0.163921595,0.05529356,0.178395033,0.079947948,0.123101473,0.098447084,0.199995995,0.122456074,0.10154891,0.077539921,0.211890936,0.112672567,0.134351015,0.099218369,0.231861591,0.186578751,0.132643223,0.045282841,0.349740744,0.20855546,0.304457903,0.141185284,0.561807632,0.494713545,0.420622349,0.067094088,0.350201845,0.272179127,0.283107758,0.078022718,0.978794813,0.911887407,0.900772095,0.066907406
gerald,3,how gambit,0.06649065,0.263340235,0.186949968,0.196849585,0.076390266,0.189205885,0.090998173,0.112815619,0.098207712,0.177192688,0.121212006,0.078984976,0.055980682,0.2228477,0.1767869,0.166867018,0.046060801,0.158319712,0.079872131,0.112258911,0.07844758,0.189485788,0.112118483,0.111038208,0.077367306,0.278130293,0.175428867,0.200762987,0.102701426,0.147750139,0.088565826,0.045048714,0.059184313,0.266994476,0.147029877,0.207810163,0.1199646
gerald,3,dig bender,0.120250702,0.604742765,0.539043903,0.484492064,0.065698862,0.305693626,0.249309063,0.239994764,0.056384563,0.264164448,0.208006144,0.207779884,0.056158304,1.555014849,1.467344999,1.498856544,0.087669849,0.199995756,0.111997843,0.112325907,0.087997913,0.200485468,0.121627092,0.112487555,0.078858376,0.166600466,0.078858376,0.08774209,0.08774209,0.24113369,0.174910545,0.1533916,0.066223145,0.232590914,0.154605865,0.166367769,0.077985048
gerald,4,soda rages,0.152561665,0.24358201,0.176567078,0.091020346,0.067014933,0.220867872,0.143850565,0.15385294,0.077017307,0.328074217,0.208047152,0.25105691,0.120027065,0.26406002,0.18604207,0.144032955,0.07801795,0.222052813,0.154792547,0.144034863,0.067260265,0.317062616,0.197275639,0.249802351,0.119786978,0.275049925,0.208025455,0.155262947,0.067024469,0.133928537,0.068025351,0.066904068,0.065903187,0.241727829,0.163499594,0.175824642,0.078228235
gerald,5,frame skew,0.055995226,0.199268103,0.133245945,0.143272877,0.066022158,0.157744408,0.079746008,0.09172225,0.0779984,0.200046778,0.143770218,0.122048378,0.05627656,0.158355474,0.070298672,0.102078915,0.088056803,0.167923212,0.110965967,0.079866409,0.056957245,0.202954054,0.09095645,0.145996809,0.111997604,0.146829367,0.087801695,0.034831762,0.059027672,0.182192802,0.115047455,0.123165131,0.067145348,0.253141642,0.164944172,0.185996294,0.08819747
gerald,4,meed arias,0.076663017,0.14375329,0.077664375,0.067090273,0.066088915,0.219890356,0.153366804,0.153801441,0.066523552,0.253996134,0.165560007,0.187472582,0.088436127,0.253415585,0.186211109,0.164979458,0.067204475,0.178999424,0.079940557,0.111794949,0.099058867,0.339010954,0.240252018,0.239952087,0.098758936,0.200083971,0.143586874,0.101325035,0.056497097,0.222233295,0.123545885,0.165736198,0.09868741,0.242577314,0.186705589,0.143889904,0.055871725
gerald,3,inn filled,0.055504084,0.274309397,0.218764544,0.218805313,0.055544853,0.199471235,0.144004822,0.143926382,0.055466413,0.572788954,0.496046066,0.51732254,0.076742887,0.241519213,0.143932581,0.164776325,0.097586632,0.520372152,0.453211784,0.422785521,0.067160368,0.28484869,0.228774309,0.217688322,0.056074381,0.199205875,0.144253969,0.143131495,0.054951906,0.135739803,0.090840816,0.080787897,0.044898987,0.209089756,0.154261827,0.164190769,0.054827929
gerald,3,spa hiking,0.109036446,0.188969374,0.122814178,0.079932928,0.066155195,0.210074425,0.100997925,0.14391923,0.1090765,0.176086426,0.110076904,0.067009926,0.066009521,0.241915941,0.175102472,0.17590642,0.066813469,0.199895859,0.164886713,0.13308239,0.035009146,0.201029062,0.14404273,0.166019917,0.056986332,0.199100256,0.144267082,0.142113924,0.054833174,0.198685646,0.165536165,0.143852472,0.033149481,0.13615799,0.080120087,0.103008509,0.056037903
gerald,6,tenses rho,0.076315403,0.210698128,0.121241093,0.134382725,0.089457035,0.155070066,0.089457035,0.065613031,0.065613031,0.188308477,0.121059656,0.122695446,0.067248821,0.232886791,0.165548801,0.16563797,0.06733799,0.221380472,0.144046068,0.154042482,0.077334404,0.157947779,0.0903368,0.080613375,0.067610979,0.188892841,0.112957478,0.121281862,0.075935364,0.156188965,0.090650558,0.080253601,0.065538406,0.241994619,0.175995827,0.176456213,0.065998793
