Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
jonah,4,sore pyres,0.088015556,0.169125795,0.064040422,0.081110239,0.105085373,0.192118406,0.128690004,0.087033033,0.063428402,0.231603146,0.151275635,0.168174744,0.080327511,0.160043955,0.048322916,0.079716444,0.111721039,0.296025753,0.200034618,0.184304714,0.095991135,0.335867643,0.240870476,0.239876509,0.094997168,0.262820244,0.167001247,0.167823076,0.095818996,0.480000496,0.367997169,0.384181499,0.112003326,0.272006035,0.168002844,0.160002708,0.104003191
jonah,5,colas adit,0.113003254,0.152005196,0.088002443,0.039001942,0.064002752,0.224004984,0.144003868,0.160002232,0.080001116,0.215002775,0.103004932,0.135001659,0.111997843,0.160002708,0.041002989,0.048004866,0.11899972,0.431560755,0.335586548,0.312561035,0.095974207,0.224237919,0.111856699,0.128263712,0.11238122,0.184417009,0.087675571,0.072035789,0.096741438,0.200264454,0.128547907,0.103523016,0.071716547,0.288190126,0.224211931,0.216473579,0.063978195
jonah,3,sag rhombs,0.135491371,0.225719929,0.087250233,0.090228558,0.138469696,0.216151476,0.120478153,0.07768178,0.095673323,0.183987617,0.127674818,0.088314295,0.056312799,0.31222558,0.208530426,0.255912781,0.103695154,0.215690851,0.127697945,0.111995697,0.087992907,0.59220767,0.488048315,0.504214764,0.104159355,0.296269894,0.200284481,0.192110538,0.095985413,0.143082857,0.071982384,0.047097445,0.071100473,0.271863937,0.167872667,0.200763464,0.10399127
jonah,6,tattle box,0.176006317,0.256007195,0.12800312,0.080000877,0.128004074,0.264026165,0.176003695,0.136022091,0.08802247,0.232009649,0.144005775,0.143987179,0.088003874,0.192005396,0.120004892,0.104001522,0.072000504,0.208007097,0.096003056,0.136006594,0.112004042,0.247019529,0.12800312,0.135015488,0.119016409,0.279343843,0.167690516,0.160327435,0.111653328,0.200218201,0.095709324,0.088564873,0.104508877,0.272075415,0.152607918,0.167566538,0.119467497
jonah,3,irk quires,0.096051931,0.230617046,0.127457142,0.134565115,0.103159904,0.287142992,0.12814188,0.183983088,0.159001112,0.559760094,0.423966169,0.400758982,0.135793924,0.295296192,0.200258493,0.159502268,0.095037699,0.1916821,0.119760513,0.096644402,0.071921587,0.263583183,0.176590204,0.191661596,0.086992979,0.190857172,0.111043692,0.103864193,0.07981348,0.263615847,0.183638096,0.183802366,0.079977751,0.264505625,0.144496918,0.184527874,0.120008707
jonah,3,end cutest,0.102994919,0.255003691,0.118992567,0.152008772,0.136011124,0.241013288,0.112007141,0.105002165,0.129006147,0.224006414,0.104002714,0.095000267,0.1200037,0.280004978,0.184004784,0.160001278,0.096000195,0.192104101,0.112812757,0.096103907,0.079291344,0.18418169,0.095390081,0.104890347,0.088791609,0.288286924,0.183798552,0.199495316,0.104488373,0.264102936,0.153108835,0.159614563,0.110994101,0.246994019,0.134992838,0.135999918,0.112001181
jonah,6,clinch bed,0.097010136,0.16800046,0.07199645,0.070990324,0.096004009,0.336012602,0.232008696,0.240008593,0.104003906,0.281009674,0.184006691,0.177005768,0.097002983,0.24800086,0.136000872,0.150997877,0.111999989,0.208050966,0.056003332,0.096050978,0.152047634,0.216394901,0.103834629,0.064347267,0.112560272,0.263855457,0.168596029,0.151295185,0.095259428,0.151634693,0.056015015,0.056375265,0.095619678,0.255203724,0.167772293,0.159584045,0.087431431
jonah,4,girl spike,0.095556021,0.167498827,0.071564198,0.071942806,0.095934629,0.240003347,0.127666473,0.144068718,0.112336874,0.208329439,0.072033644,0.095992565,0.136295795,0.207359791,0.119653702,0.071063995,0.087706089,0.168729782,0.071962833,0.081023693,0.096766949,0.143942595,0.048016787,0.047175646,0.095925808,0.272265434,0.167927504,0.176339626,0.104337931,0.38385725,0.288498163,0.27951932,0.095359087,0.240203619,0.144198656,0.144844532,0.096004963
jonah,6,palely yex,0.103651524,0.247625589,0.143774509,0.143974066,0.10385108,0.207539082,0.119775534,0.103688002,0.087763548,0.224070311,0.135471344,0.136306763,0.088598967,0.241179466,0.105275154,0.1525805,0.135904312,0.311882019,0.175791979,0.175977707,0.13609004,0.415491819,0.303843975,0.279401779,0.111647844,0.303776264,0.191999197,0.19212842,0.111777067,0.167947054,0.079994678,0.056169987,0.087952375,0.287600279,0.183401585,0.199647903,0.104198694
jonah,6,delimb oil,0.104053259,0.296061754,0.200057268,0.192008495,0.096004486,0.184006691,0.080001831,0.088002205,0.10400486,0.288011074,0.20000577,0.184006214,0.088005304,0.304012537,0.18400979,0.216007233,0.120002747,0.184003592,0.104000092,0.064000845,0.0800035,0.192004681,0.104008198,0.112001181,0.087996483,0.264003277,0.176001072,0.176006794,0.088002205,0.256009579,0.232006311,0.168007374,0.024003267,0.440016508,0.336015701,0.416013241,0.104000807
jonah,4,vers anvil,0.096003056,0.296014071,0.216005325,0.200011015,0.080008745,0.240007401,0.152005911,0.159998655,0.08800149,0.280010462,0.168004036,0.192008972,0.112006426,0.21517849,0.127172232,0.103172064,0.088006258,0.264552593,0.168369293,0.176546335,0.0961833,0.240172148,0.136607885,0.143988848,0.103564262,0.240021467,0.127619505,0.136457205,0.112401962,0.184392691,0.088012695,0.071990728,0.096379995,0.320384502,0.200381756,0.224004507,0.120002747
jonah,4,slit scrap,0.096023083,0.151789904,0.040033102,0.055766821,0.111756802,0.287977695,0.207942247,0.176220894,0.080035448,0.176036358,0.09602952,0.09600091,0.080006838,0.424154282,0.255614996,0.344147444,0.168539286,0.273944616,0.152519941,0.105405331,0.121424675,0.200314283,0.088377714,0.078889608,0.111936569,0.334946632,0.207830906,0.223010063,0.127115726,0.167491198,0.056033373,0.040375471,0.111457825,0.183448792,0.087432384,0.071990967,0.096016407
jonah,4,dose tired,0.11055398,0.222933769,0.094997644,0.112379789,0.127936125,0.216099024,0.111914873,0.088162899,0.104184151,0.288193941,0.15218401,0.18400979,0.136009932,0.272010803,0.112003326,0.136000872,0.160007477,0.248006344,0.136008739,0.087998867,0.111997604,0.232230902,0.128000498,0.120233297,0.104230404,0.192011356,0.128324032,0.087780952,0.063687325,0.263653517,0.159653664,0.199966192,0.103999853,0.296009302,0.184019804,0.192009449,0.111989498
jonah,4,unto heady,0.111887932,0.295959949,0.199892282,0.184072018,0.096067667,0.240371704,0.127776861,0.144304037,0.112594843,0.215743542,0.087591648,0.103148699,0.128151894,0.191836357,0.080273151,0.063684464,0.111563206,0.312991381,0.192450762,0.201428175,0.120540619,0.367449045,0.249265671,0.246908426,0.118183374,0.215059519,0.086176634,0.096876144,0.128882885,0.240627527,0.103844166,0.111744642,0.136783361,0.185034752,0.089051723,0.04825139,0.095983028
jonah,5,fibre gaze,0.095997334,0.199638128,0.119000196,0.103640795,0.080637932,0.192512035,0.111845732,0.111874104,0.080666304,0.304115534,0.200997591,0.22344923,0.103117943,0.295132399,0.199125051,0.192014456,0.096007347,0.232009172,0.120001793,0.136001825,0.11200738,0.256005287,0.13600111,0.143997908,0.120004177,0.312013149,0.144005775,0.192008972,0.168007374,0.328014374,0.232009649,0.160007,0.096004725,0.30401206,0.216010571,0.208007336,0.08800149
jonah,3,cay exempt,0.176004171,0.216007471,0.080001354,0.0400033,0.136006117,0.272011518,0.122005939,0.136005402,0.150005579,0.229005098,0.08500433,0.078999519,0.144000769,0.329007626,0.217004061,0.185006857,0.112003565,0.343965769,0.223995924,0.231962204,0.119969845,0.351336241,0.239949942,0.231366396,0.111386299,0.175386906,0.087407351,0.064000607,0.087979555,0.312971592,0.184598684,0.224992037,0.128372908,0.383789778,0.311961651,0.25541687,0.071828127
jonah,4,afro thyme,0.136004925,0.232009649,0.120002985,0.096004725,0.112006664,0.304059505,0.192005157,0.192052841,0.112054348,0.240975618,0.07200098,0.12892127,0.168974638,0.21601367,0.112989187,0.047039032,0.103024483,0.215859175,0.119986534,0.112834692,0.095872641,0.184060574,0.119287491,0.088187933,0.064773083,0.248407364,0.191935062,0.183634281,0.056472301,0.279953003,0.176953316,0.223480701,0.102999687,0.256009817,0.15901494,0.15301013,0.096994877
jonah,6,inculp foe,0.103907347,0.279963017,0.183721304,0.17605567,0.096241713,0.216175318,0.120520353,0.119933605,0.095654964,0.376060247,0.312031746,0.280405283,0.064028502,0.408284187,0.312438488,0.344255686,0.095845699,0.303569317,0.183170795,0.207723618,0.120398521,0.199914694,0.159911633,0.079516172,0.040003061,0.168560505,0.064005136,0.128557444,0.104555368,0.240521669,0.144440889,0.135966301,0.09608078,0.479810476,0.376667261,0.383729696,0.103143215
jonah,5,brush gabs,0.104258299,0.28809762,0.192670584,0.183839321,0.095427036,0.184260845,0.055421829,0.088833809,0.128839016,0.391772747,0.272175789,0.262933731,0.119596958,0.312312126,0.14387393,0.192715168,0.168438196,0.304286003,0.119434834,0.135847807,0.18485117,0.560727119,0.448547363,0.37587595,0.112179756,0.480354071,0.352786064,0.368174314,0.127568007,0.23168087,0.111588001,0.104112864,0.120092869,0.239175558,0.1442101,0.119082689,0.094965458
