,key,press_time,release_time
0,'d',1650795030.2358031,1650795030.3457327
1,'e',1650795030.47582,1650795030.5318105
2,'e',1650795030.6304789,1650795030.6975083
3,'d',1650795030.80687,1650795030.905949
4,key.space,1650795031.0258002,1650795031.0917988
5,'c',1650795031.1265283,1650795031.1828673
6,'r',1650795031.2916877,1650795031.369793
7,'o',1650795031.3707316,1650795031.4357529
8,'c',1650795031.4807837,1650795031.5688393
9,'s',1650795031.6677868,1650795031.756194
,key,press_time,release_time
0,'o',1650795034.0778408,1650795034.1547346
1,'r',1650795034.1688604,1650795034.256651
2,'i',1650795034.3341084,1650795034.4107292
3,'g',1650795034.424729,1650795034.5130117
4,'i',1650795034.5260131,1650795034.5817256
5,'n',1650795034.7227228,1650795034.7463834
6,key.space,1650795034.8670657,1650795034.9337182
7,'h',1650795035.0327163,1650795035.0990856
8,'o',1650795035.2410123,1650795035.285694
9,'e',1650795035.3527095,1650795035.4297078
,key,press_time,release_time
0,'l',1650795046.8724682,1650795046.938887
1,'o',1650795047.047515,1650795047.1028085
2,'a',1650795047.1274629,1650795047.22591
3,'m',1650795047.249919,1650795047.3274589
4,'s',1650795047.3625915,1650795047.4618099
5,key.space,1650795047.5491703,1650795047.594453
6,'f',1650795047.7577257,1650795047.898911
7,'u',1650795048.2524393,1650795048.3195333
8,'m',1650795048.5246184,1650795048.602641
9,'y',1650795049.4365058,1650795049.5034132
,key,press_time,release_time
0,'h',1650795054.4063563,1650795054.472847
1,'o',1650795054.5933063,1650795054.6696966
2,'w',1650795054.6843045,1650795054.7825122
3,key.space,1650795054.8055165,1650795054.8614972
4,'g',1650795054.9823034,1650795055.0283642
5,'a',1650795055.0621755,1650795055.140623
6,'m',1650795055.174294,1650795055.2516613
7,'b',1650795055.3497229,1650795055.4524243
8,'i',1650795055.4382887,1650795055.497473
9,'t',1650795055.5853186,1650795055.7052832
,key,press_time,release_time
0,'d',1650795062.5733836,1650795062.6936343
1,'i',1650795063.1124275,1650795063.1781263
2,'g',1650795063.3617365,1650795063.418121
3,key.space,1650795063.5697427,1650795063.625901
4,'b',1650795065.0370877,1650795065.1247575
5,'e',1650795065.1490855,1650795065.2370834
6,'n',1650795065.2707126,1650795065.349571
7,'d',1650795065.349571,1650795065.437313
8,'e',1650795065.5244815,1650795065.5907047
9,'r',1650795065.6790874,1650795065.7570724
,key,press_time,release_time
0,'s',1650795068.0786366,1650795068.2311983
1,'o',1650795068.2552037,1650795068.3222187
2,'d',1650795068.3990543,1650795068.4760716
3,'a',1650795068.6071014,1650795068.7271285
4,key.space,1650795068.7931435,1650795068.8711615
5,'r',1650795068.947936,1650795069.0151963
6,'a',1650795069.1452117,1650795069.2649987
7,'g',1650795069.3532372,1650795069.4202616
8,'e',1650795069.4212625,1650795069.4871657
9,'s',1650795069.584762,1650795069.6629903
,key,press_time,release_time
0,'f',1650795077.1088378,1650795077.164833
1,'r',1650795077.2420838,1650795077.308106
2,'a',1650795077.3218298,1650795077.3998282
3,'m',1650795077.4656,1650795077.5218766
4,'e',1650795077.5358987,1650795077.6239555
5,key.space,1650795077.6468647,1650795077.703822
6,'s',1650795077.737821,1650795077.8498187
7,'k',1650795077.8256228,1650795077.8846505
8,'e',1650795077.9406703,1650795078.0078156
9,'w',1650795078.1056144,1650795078.193812
,key,press_time,release_time
0,'m',1650795081.4339871,1650795081.5106502
1,'e',1650795081.5116515,1650795081.5777404
2,'e',1650795081.6650183,1650795081.7315419
3,'d',1650795081.8305783,1650795081.9190145
4,key.space,1650795082.0167894,1650795082.083994
5,'a',1650795082.09673,1650795082.1957889
6,'r',1650795082.336982,1650795082.435741
7,'i',1650795082.480569,1650795082.537066
8,'a',1650795082.6041148,1650795082.7028022
9,'s',1650795082.7908204,1650795082.846692
,key,press_time,release_time
0,'i',1650795085.2108953,1650795085.2663994
1,'n',1650795085.4296598,1650795085.4852047
2,'n',1650795085.5736647,1650795085.629131
3,key.space,1650795086.0697107,1650795086.1464536
4,'f',1650795086.2136433,1650795086.31123
