,key,press_time,release_time
0,'f',1650943577.0545378,1650943577.1640735
1,'a',1650943577.1766808,1650943577.2738166
2,'l',1650943577.3400755,1650943577.4120784
3,'l',1650943577.4890366,1650943577.572681
4,key.space,1650943577.9640694,1650943578.0730765
5,'k',1650943578.6230752,1650943578.733069
6,'o',1650943578.697073,1650943578.806075
7,'a',1650943578.8925347,1650943578.9900732
8,'l',1650943579.0330682,1650943579.1305573
9,'a',1650943579.1535623,1650943579.2509987
,key,press_time,release_time
0,'b',1650943584.6980708,1650943584.8100724
1,'l',1650943584.8110726,1650943584.8931253
2,'a',1650943584.906196,1650943585.02807
3,'s',1650943585.1820693,1650943585.2790697
4,'h',1650943585.4091501,1650943585.4940507
5,key.space,1650943586.2050729,1650943586.2906835
6,'t',1650943586.9075387,1650943586.9920676
7,'n',1650943587.0706842,1650943587.1565955
8,'p',1650943587.4261324,1650943587.511684
9,'k',1650943587.5984664,1650943587.6960733
,key,press_time,release_time
0,'b',1650943591.0240746,1650943591.1333866
1,'o',1650943591.2530694,1650943591.337685
2,'o',1650943591.4250693,1650943591.5220685
3,'b',1650943591.653072,1650943591.7490675
4,'o',1650943591.81654,1650943591.8895383
5,'o',1650943591.989069,1650943592.061685
6,key.space,1650943592.2370915,1650943592.3339992
7,'a',1650943592.4780638,1650943592.5870752
8,'s',1650943592.7100704,1650943592.8080676
9,'s',1650943592.906685,1650943592.9906852
,key,press_time,release_time
0,'t',1650943595.88407,1650943595.9930692
1,'a',1650943596.0060709,1650943596.1390707
2,'s',1650943596.2375457,1650943596.334547
3,'e',1650943596.498048,1650943596.5950716
4,'r',1650943596.6940007,1650943596.7900703
5,'s',1650943596.9116006,1650943596.9970698
6,key.space,1650943597.051075,1650943597.1358995
7,'j',1650943597.2876875,1650943597.384069
8,'a',1650943597.4186718,1650943597.5404701
9,'r',1650943597.6616576,1650943597.7585437
,key,press_time,release_time
0,'d',1650943600.2247841,1650943600.31007
1,'r',1650943600.4595404,1650943600.543882
2,'u',1650943600.72638,1650943600.8113456
3,'b',1650943600.9540732,1650943601.0506892
4,'s',1650943601.1398072,1650943601.236543
5,key.space,1650943601.5210793,1650943601.605073
6,'w',1650943601.7590802,1650943601.8560848
7,'a',1650943601.9450767,1650943602.0680685
8,'i',1650943602.1985943,1650943602.2955492
9,'l',1650943602.4160714,1650943602.5020723
,key,press_time,release_time
0,'p',1650943604.8470714,1650943604.9692156
1,'l',1650943604.9200802,1650943605.0190713
2,'i',1650943605.1920698,1650943605.293816
3,'n',1650943605.2808127,1650943605.4030714
4,'t',1650943605.5920691,1650943605.7014406
5,'h',1650943605.7780714,1650943605.9110696
6,key.space,1650943606.1845598,1650943606.2566557
7,'c',1650943606.5265484,1650943606.6360211
8,'o',1650943606.704037,1650943606.8130608
9,'d',1650943606.8910701,1650943606.9875617
,key,press_time,release_time
0,'b',1650943609.4595432,1650943609.5580683
1,'u',1650943609.5335627,1650943609.6306913
2,'s',1650943609.6966848,1650943609.8080707
3,'h',1650943609.809071,1650943609.892069
4,key.space,1650943609.968552,1650943610.065013
5,'c',1650943610.3170693,1650943610.4406905
6,'a',1650943610.4160717,1650943610.5505514
7,'n',1650943610.628071,1650943610.71207
8,'t',1650943610.7466908,1650943610.8440754
9,'s',1650943611.0100718,1650943611.10606
,key,press_time,release_time
0,'r',1650943613.5655572,1650943613.6885505
1,'e',1650943613.6390839,1650943613.76107
2,'n',1650943613.8395514,1650943613.9360707
3,'a',1650943614.00407,1650943614.1010704
4,'l',1650943614.1360693,1650943614.2566922
5,'s',1650943614.3230715,1650943614.4320686
6,key.space,1650943614.4650753,1650943614.550069
7,'c',1650943614.7597954,1650943614.847692
8,'u',1650943614.9785497,1650943615.0630717
9,'t',1650943615.1180704,1650943615.203555
,key,press_time,release_time
0,'d',1650943617.2865646,1650943617.3840714
1,'o',1650943617.408073,1650943617.4805455
2,'d',1650943617.503553,1650943617.589436
3,'o',1650943617.5764868,1650943617.648449
4,key.space,1650943617.791529,1650943617.8640766
5,'g',1650943618.2215517,1650943618.3060699
6,'i',1650943618.3515513,1650943618.4230714
7,'s',1650943618.4470754,1650943618.5326655
8,'t',1650943618.632067,1650943618.7425508
9,'s',1650943618.7766933,1650943618.8620572
,key,press_time,release_time
0,'s',1650943621.2626352,1650943621.3615496
1,'n',1650943621.3635502,1650943621.4340692
2,'a',1650943621.48007,1650943621.5510738
3,'r',1650943621.6826937,1650943621.8202085
4,'e',1650943621.7960682,1650943621.905227
5,'d',1650943622.0282547,1650943622.1130588
6,key.space,1650943622.1470675,1650943622.219359
7,'a',1650943622.536092,1650943622.6440701
8,'g',1650943623.0160792,1650943623.1020074
9,'o',1650943623.1040075,1650943623.162075
,key,press_time,release_time
0,'b',1650943625.729069,1650943625.8255525
1,'o',1650943625.8925672,1650943625.9780676
2,'l',1650943626.06607,1650943626.1630726
3,'t',1650943626.230696,1650943626.3260713
4,'s',1650943626.5237606,1650943626.6325488
5,key.space,1650943626.8055608,1650943626.878642
6,'l',1650943627.2060733,1650943627.2920732
7,'a',1650943627.2940733,1650943627.3890693
8,'k',1650943627.4110749,1650943627.4840748
9,'e',1650943627.5400875,1650943627.6131039
,key,press_time,release_time
0,'u',1650943630.189069,1650943630.2730691
1,'g',1650943630.4380696,1650943630.5230713
2,'h',1650943630.5260718,1650943630.6080687
3,key.space,1650943630.8776972,1650943630.9615526
4,'r',1650943631.0615332,1650943631.172418
5,'e',1650943631.1480672,1650943631.25907
6,'c',1650943631.3800702,1650943631.5020714
7,'k',1650943631.6339164,1650943631.7180665
8,'o',1650943632.0006964,1650943632.1380854
9,'n',1650943632.088075,1650943632.2001472
,key,press_time,release_time
0,'n',1650943635.051712,1650943635.1747346
1,'i',1650943635.1495602,1650943635.2467515
2,'t',1650943635.2806978,1650943635.365721
3,key.space,1650943635.4307358,1650943635.5630689
4,'m',1650943635.9960709,1650943636.0806983
5,'u',1650943636.569071,1650943636.6900249
6,'d',1650943636.77807,1650943636.912731
7,'d',1650943637.0226994,1650943637.1200693
8,'l',1650943637.5830705,1650943637.65607
9,'e',1650943637.7220755,1650943637.8215632
,key,press_time,release_time
0,'s',1650943639.7420862,1650943639.8401134
1,'o',1650943639.8740735,1650943639.9580727
2,'a',1650943640.1085598,1650943640.2045553
3,'r',1650943640.3800058,1650943640.476061
4,'e',1650943640.6299374,1650943640.7140677
5,'r',1650943640.8440943,1650943640.9411175
6,key.space,1650943640.9960756,1650943641.0815556
7,'b',1650943641.5040693,1650943641.5890715
8,'o',1650943641.576071,1650943641.6620715
9,'a',1650943641.709082,1650943641.8070767
,key,press_time,release_time
0,'j',1650943644.0090706,1650943644.0680768
1,'a',1650943644.1565573,1650943644.2415836
2,'p',1650943644.2650716,1650943644.3381727
3,'a',1650943644.394561,1650943644.4790702
4,'n',1650943644.5020683,1650943644.5765598
5,key.space,1650943644.6635609,1650943644.7359846
6,'i',1650943644.8670697,1650943644.9900787
7,'n',1650943644.9530702,1650943645.0630953
8,'c',1650943645.1612163,1650943645.2590756
9,'a',1650943645.2360704,1650943645.3350701
,key,press_time,release_time
0,'u',1650943653.6871483,1650943653.771168
1,'n',1650943653.8271806,1650943653.9242022
2,'a',1650943654.0012197,1650943654.1102433
3,'r',1650943654.2002637,1650943654.3112895
4,'m',1650943654.299287,1650943654.395308
5,key.space,1650943654.4723253,1650943654.559346
6,'b',1650943655.108469,1650943655.1934886
7,'o',1650943655.346523,1650943655.507559
8,'n',1650943655.445546,1650943655.5425673
9,'d',1650943655.5985808,1650943655.6825988
,key,press_time,release_time
0,'b',1650943665.0830693,1650943665.194894
1,'i',1650943665.168082,1650943665.2540765
2,'e',1650943665.3100688,1650943665.4080715
3,'r',1650943665.6480675,1650943665.7450678
4,key.space,1650943665.96256,1650943666.0590687
5,'s',1650943666.356075,1650943666.4890678
6,'i',1650943666.5580711,1650943666.6410737
7,'f',1650943666.6767075,1650943666.7607079
8,'t',1650943666.9350705,1650943667.0190716
9,'s',1650943667.2250712,1650943667.3106954
,key,press_time,release_time
0,'p',1650943670.2585595,1650943670.393078
1,'o',1650943670.35707,1650943670.4545705
2,'c',1650943670.8870711,1650943671.0220692
3,'k',1650943671.0560703,1650943671.1545625
4,key.space,1650943671.729068,1650943671.8270853
5,'s',1650943672.057069,1650943672.1667094
6,'i',1650943672.2215662,1650943672.318588
7,'x',1650943672.6747608,1650943672.7830713
8,'t',1650943672.8280709,1650943672.9130692
9,'h',1650943673.058067,1650943673.1300714
,key,press_time,release_time
0,'p',1650943675.7495692,1650943675.8210764
1,'o',1650943675.9520695,1650943676.049565
2,'x',1650943676.362114,1650943676.4717097
3,key.space,1650943676.6889071,1650943676.7860699
4,'p',1650943677.3180673,1650943677.3900657
5,'o',1650943677.6400704,1650943677.7360854
6,'t',1650943677.8360715,1650943677.92071
7,'m',1650943677.9877276,1650943678.0967112
8,'a',1650943678.151076,1650943678.2630727
9,'n',1650943678.250077,1650943678.335568
,key,press_time,release_time
0,'s',1650943680.4370706,1650943680.534072
1,'c',1650943680.6760693,1650943680.7842147
2,'o',1650943680.9785526,1650943681.0645719
3,'t',1650943681.2055676,1650943681.301565
4,key.space,1650943681.432073,1650943681.5170753
5,'h',1650943682.3730798,1650943682.4590745
6,'o',1650943682.5027118,1650943682.5750692
7,'l',1650943682.6730707,1650943682.7707644
8,'e',1650943682.7940714,1650943682.8803072
9,'d',1650943682.979069,1650943683.0777113
,key,press_time,release_time
0,'r',1650943685.1355665,1650943685.2700818
1,'e',1650943685.233074,1650943685.3440983
2,'p',1650943685.3320959,1650943685.4161148
3,'i',1650943685.6325536,1650943685.7450721
4,'n',1650943685.7200687,1650943685.8180726
5,'e',1650943685.8405654,1650943685.9510725
6,key.space,1650943686.3940678,1650943686.4668055
7,'d',1650943686.7170799,1650943686.827626
8,'u',1650943686.8730714,1650943686.9575942
9,'e',1650943687.003073,1650943687.087713
,key,press_time,release_time
0,'p',1650943689.546713,1650943689.6185653
1,'a',1650943689.6520686,1650943689.738086
2,'r',1650943689.909572,1650943690.03307
3,'e',1650943689.9965796,1650943690.1050694
4,key.space,1650943690.1720686,1650943690.2585657
5,'d',1650943690.6070776,1650943690.7290707
6,'a',1650943690.7040687,1650943690.8010826
7,'r',1650943691.2890763,1650943691.4600713
8,'e',1650943691.5165677,1650943691.664573
9,'r',1650943691.6395671,1650943691.7480714
,key,press_time,release_time
0,'s',1650943699.662063,1650943699.7840717
1,'k',1650943699.8520675,1650943699.9360743
2,'i',1650943700.045075,1650943700.1280696
3,'f',1650943700.368069,1650943700.4775763
