Subject,Class,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,D|1,I|1+2,PF|1+2,RF|1+2,D|2,I|2+3,PF|2+3,RF|2+3,D|3,I|3+4,PF|3+4,RF|3+4,D|4,I|4+5,PF|4+5,RF|4+5,D|5,I|5+6,PF|5+6,RF|5+6,D|6,I|6+7,PF|6+7,RF|6+7,D|7,I|7+8,PF|7+8,RF|7+8,D|8,I|8+9,PF|8+9,RF|8+9,D|9
3,3,adz chasms,0.110296011,0.219177723,0.124602556,0.108881712,0.094575167,0.937611818,0.812877655,0.843036652,0.124734163,0.467941761,0.374319315,0.343207598,0.093622446,0.297972202,0.172073603,0.204349756,0.1258986,0.172771215,0.109548092,0.046872616,0.063223124,0.18842411,0.078299284,0.125200987,0.110124826,0.296875954,0.172174215,0.186751127,0.124701738,0.218053102,0.140984297,0.093351364,0.077068806,0.202565193,0.092639923,0.125496387,0.10992527
3,3,she resale,0.094005585,0.187907934,0.124638557,0.093902349,0.063269377,0.188455582,0.110088825,0.125186205,0.078366756,0.28074789,0.187212706,0.202381134,0.093535185,0.374641418,0.265619993,0.281106234,0.109021425,0.155870438,0.062044859,0.046849012,0.093825579,0.281497002,0.219727278,0.187671423,0.061769724,0.31196475,0.186957359,0.250195026,0.125007391,0.250508308,0.172501802,0.125500917,0.078006506,0.186893463,0.09281373,0.108886957,0.094079733
3,3,lit stogie,0.046966314,0.219044685,0.156497478,0.172078371,0.062547207,0.218776703,0.124953508,0.156229496,0.093823195,0.266703606,0.203364849,0.172880411,0.063338757,0.485288143,0.40688014,0.421949387,0.078408003,0.296467304,0.186477184,0.218059301,0.10999012,0.203070402,0.141490459,0.093080282,0.061579943,0.561566591,0.468178988,0.499986649,0.093387604,0.187538385,0.124521255,0.094150782,0.06301713,0.172626257,0.078322172,0.109609127,0.094304085
3,3,pop magnum,0.063658237,0.235033751,0.188853741,0.171375513,0.04618001,0.233895302,0.171744823,0.187715292,0.062150478,0.406255484,0.326967716,0.344105005,0.079287767,0.344082117,0.250640392,0.26479435,0.093441725,0.218417406,0.155662775,0.124975681,0.062754631,0.282358885,0.173150778,0.219604254,0.109208107,0.343080759,0.264286995,0.233872652,0.078793764,0.594494104,0.500339985,0.51570034,0.094154119,0.421928167,0.282105446,0.327774048,0.139822721
3,3,uhs manors,0.078651905,0.265900612,0.2023983,0.187248707,0.063502312,0.250940084,0.157512188,0.187437773,0.093427896,0.420664072,0.327903271,0.327236176,0.092760801,0.484060287,0.390412569,0.391299486,0.093647718,0.297214985,0.155896187,0.203567266,0.141318798,0.202878952,0.156383753,0.061560154,0.046495199,0.188508511,0.125513315,0.142013311,0.062995195,0.234158278,0.140082836,0.171163082,0.094075441,0.265921354,0.156848669,0.171845913,0.109072685
3,3,dig widens,0.109485149,0.186789036,0.140682459,0.077303886,0.046106577,0.187458515,0.09361434,0.141351938,0.093844175,0.327532291,0.219153404,0.233688116,0.108378887,0.812330961,0.717921019,0.703952074,0.094409943,0.203383923,0.141034603,0.10897398,0.062349319,0.172017336,0.108497381,0.109668016,0.063519955,0.28211689,0.17327261,0.218596935,0.10884428,0.187040567,0.10884428,0.078196287,0.078196287,0.233958721,0.124945402,0.155762434,0.109013319
3,3,gos powder,0.109464645,0.328316689,0.266343832,0.218852043,0.061972857,0.46852994,0.359223366,0.406557083,0.109306574,0.483866453,0.390662193,0.374559879,0.09320426,0.655879259,0.593151569,0.562674999,0.06272769,0.296867132,0.234880924,0.234139442,0.061986208,0.296804667,0.202958584,0.234818459,0.093846083,0.312456369,0.234865189,0.218610287,0.077591181,0.327576399,0.218569994,0.249985218,0.109006405,0.187330008,0.078039408,0.078323603,0.1092906
3,3,pad medias,0.078584433,0.249911785,0.125389338,0.171327353,0.124522448,0.23392725,0.094025135,0.109404802,0.139902115,0.343274832,0.233748913,0.203372717,0.109525919,0.281839132,0.187493801,0.172313213,0.094345331,0.17250514,0.125460386,0.078159809,0.047044754,0.483752728,0.359230995,0.436707973,0.124521732,0.233850956,0.155543327,0.109329224,0.078307629,0.235164165,0.109788179,0.156856537,0.125375986,0.32861352,0.234584093,0.203237534,0.094029427
3,3,oaf guanos,0.078362465,0.218684912,0.109189034,0.140322447,0.109495878,0.218380928,0.125175714,0.10888505,0.093205214,0.39039588,0.28098011,0.297190666,0.10941577,0.828225374,0.702903748,0.718809605,0.125321627,0.172561407,0.125321627,0.04723978,0.04723978,0.15672493,0.078326941,0.109485149,0.078397989,0.250012398,0.172515869,0.171614408,0.077496529,0.202599287,0.108363628,0.125102758,0.094235659,0.235032558,0.141460896,0.1407969,0.093571663
3,3,met misuse,0.093080997,0.203151703,0.124900818,0.110070705,0.078250885,0.186501741,0.093327761,0.108250856,0.093173981,0.327702522,0.250640869,0.234528542,0.077061653,0.24911809,0.155650616,0.172056437,0.093467474,0.218500853,0.156208754,0.125033379,0.062292099,0.297457695,0.20288372,0.235165596,0.094573975,0.405737162,0.328160286,0.311163187,0.077576876,0.296604156,0.156389952,0.219027281,0.140214205,0.219143152,0.109167814,0.078928947,0.109975338
3,3,aim double,0.077253103,0.281050682,0.140298605,0.203797579,0.140752077,0.203450441,0.062238455,0.062698364,0.141211987,0.282128096,0.20306468,0.140916109,0.079063416,0.344343185,0.251024723,0.26527977,0.093318462,0.108644485,0.046061516,0.015326023,0.06258297,0.234214306,0.156546116,0.171631336,0.07766819,0.171498299,0.093582153,0.093830109,0.077916145,0.203026295,0.125102758,0.125110149,0.077923536,0.187520027,0.108733416,0.109596491,0.078786612
