,key,press_time,release_time
0,'o',1652957411.5500398,1652957411.604893
1,'h',1652957411.6497734,1652957411.7056239
2,'m',1652957411.775437,1652957411.835277
3,key.space,1652957411.9599438,1652957412.015794
4,'f',1652957412.0965784,1652957412.1514318
5,'i',1652957412.176365,1652957412.2362049
6,'l',1652957412.3668568,1652957412.4366686
7,'m',1652957412.481549,1652957412.5623326
8,'e',1652957412.5872664,1652957412.6421194
9,'d',1652957412.74285,1652957412.81765
0,'h',1652957419.5492613,1652957419.609608
1,'e',1652957419.6544886,1652957419.7198198
2,'a',1652957419.7098458,1652957419.7796588
3,'t',1652957419.8444853,1652957419.915296
4,key.space,1652957419.9801226,1652957420.049936
5,'a',1652957420.1955466,1652957420.2603734
6,'t',1652957420.356118,1652957420.3810506
7,'o',1652957420.8672562,1652957420.9480414
8,'m',1652957420.9221106,1652957421.0028937
9,'s',1652957420.9829485,1652957421.05276
0,'c',1652957422.9028485,1652957422.9721723
1,'h',1652957423.0325174,1652957423.102331
2,'a',1652957423.0923574,1652957423.172648
3,'n',1652957423.2135391,1652957423.2833526
4,'t',1652957423.2883387,1652957423.363139
5,key.space,1652957423.4429252,1652957423.4937892
6,'a',1652957423.7291598,1652957423.889731
7,'x',1652957423.919651,1652957423.9844778
8,'i',1652957424.0094106,1652957424.0956867
9,'s',1652957424.1305933,1652957424.2004066
0,'o',1652957426.0290499,1652957426.1108313
1,'l',1652957426.240989,1652957426.2958426
2,'d',1652957426.3058155,1652957426.3701494
3,'i',1652957426.440467,1652957426.5162644
4,'e',1652957426.5312245,1652957426.6015425
5,'s',1652957426.6563954,1652957426.7361822
6,key.space,1652957426.7860491,1652957426.8618464
7,'b',1652957427.2677608,1652957427.3385713
8,'a',1652957427.4333177,1652957427.5136087
9,'y',1652957427.5834222,1652957427.6532357
0,'g',1652957429.5581663,1652957429.614017
1,'y',1652957429.713258,1652957429.784575
2,'m',1652957429.8095076,1652957429.8748398
3,key.space,1652957429.9895327,1652957430.0493727
4,'z',1652957430.861709,1652957430.9115758
5,'y',1652957431.0970795,1652957431.1678915
6,'g',1652957431.2920635,1652957431.347914
7,'o',1652957431.372354,1652957431.4481533
8,'t',1652957431.4686027,1652957431.5184715
9,'e',1652957431.6336665,1652957431.6935065
0,'a',1652957433.5076663,1652957433.5635169
1,'m',1652957433.583464,1652957433.658264
2,'i',1652957433.7181044,1652957433.7939012
3,'d',1652957433.8537416,1652957433.9245515
4,key.space,1652957433.9948683,1652957434.0497217
5,'e',1652957434.2940679,1652957434.3459294
6,'x',1652957434.460623,1652957434.5209682
7,'i',1652957434.5409148,1652957434.6102355
8,'l',1652957434.8920028,1652957434.9568295
9,'e',1652957435.0116827,1652957435.0665362
0,'k',1652957437.0313087,1652957437.0961354
1,'i',1652957437.2168126,1652957437.282638
2,'n',1652957437.2577035,1652957437.3624232
3,'d',1652957437.3474634,1652957437.4327416
4,'a',1652957437.402821,1652957437.4726343
5,key.space,1652957437.507541,1652957437.5673816
6,'m',1652957437.6890564,1652957437.7389224
7,'u',1652957437.8336694,1652957437.8935087
8,'t',1652957437.9034822,1652957437.9633224
9,'e',1652957438.0695431,1652957438.1249044
0,'r',1652957450.3683527,1652957450.4551225
1,'a',1652957450.47407,1652957450.5349078
2,'f',1652957450.6545877,1652957450.729891
3,'t',1652957450.8655283,1652957450.9253685
4,'e',1652957451.1258326,1652957451.1851802
5,'r',1652957451.3661997,1652957451.4315333
6,key.space,1652957451.7023144,1652957451.782101
7,'v',1652957452.0324318,1652957452.0932684
8,'e',1652957452.2388797,1652957452.2937326
9,'x',1652957452.428878,1652957452.4897149
0,'e',1652957454.4534876,1652957454.5133266
1,'l',1652957454.594111,1652957454.6644294
2,'f',1652957454.6744022,1652957454.7247746
3,key.space,1652957454.8095484,1652957454.8594146
4,'j',1652957455.0359428,1652957455.1207163
5,'u',1652957455.2453823,1652957455.3002357
6,'i',1652957455.4418573,1652957455.501697
7,'c',1652957455.551564,1652957455.6268694
8,'e',1652957455.761509,1652957455.8223467
9,'y',1652957455.9529972,1652957456.017824
0,'l',1652957458.1377149,1652957458.212515
1,'i',1652957458.3381786,1652957458.4189637
2,'m',1652957458.3930318,1652957458.4788032
3,'b',1652957458.503736,1652957458.5685627
4,key.space,1652957458.6483493,1652957458.7041998
5,'y',1652957459.0043974,1652957459.1006444
6,'o',1652957459.1305647,1652957459.155498
7,'u',1652957459.300111,1652957459.3908687
8,'n',1652957459.3559625,1652957459.4606817
9,'g',1652957459.4656682,1652957459.5419972
0,'e',1652957461.3701415,1652957461.4259918
1,'i',1652957461.500299,1652957461.571614
2,'g',1652957461.5766008,1652957461.6314542
3,'h',1652957461.6768384,1652957461.7466514
4,'t',1652957461.741665,1652957461.8015046
5,key.space,1652957461.8812938,1652957461.9521027
6,'k',1652957462.0528333,1652957462.1276326
7,'n',1652957462.0977128,1652957462.167526
8,'o',1652957462.2522995,1652957462.3121393
9,'w',1652957462.347046,1652957462.408881
0,'w',1652957464.3128018,1652957464.412535
1,'r',1652957464.4833457,1652957464.5531604
2,'e',1652957464.6334589,1652957464.678339
3,'n',1652957464.6987894,1652957464.7785761
4,'c',1652957464.838416,1652957464.9291735
5,'h',1652957464.9999845,1652957465.0897439
6,key.space,1652957465.5554986,1652957465.6158454
7,'f',1652957465.7365222,1652957465.7913756
8,'o',1652957465.8212962,1652957465.8911092
9,'x',1652957465.9519467,1652957466.0167725
0,'b',1652957502.4810069,1652957502.545832
1,'e',1652957502.6156447,1652957502.6804717
2,'d',1652957502.8166134,1652957502.8714662
3,key.space,1652957503.146237,1652957503.1971009
4,'a',1652957503.4474313,1652957503.512258
5,'b',1652957503.643906,1652957503.7087324
6,'j',1652957504.0443404,1652957504.1041813
7,'u',1652957504.209898,1652957504.2747242
8,'r',1652957504.299658,1652957504.3699765
9,'e',1652957504.4502687,1652957504.5101087
0,'p',1652957506.4594376,1652957506.5302482
1,'o',1652957506.5900886,1652957506.6758592
2,'r',1652957506.7007923,1652957506.7606323
3,'k',1652957506.8204732,1652957506.8862965
4,key.space,1652957507.01595,1652957507.0767868
5,'d',1652957507.52709,1652957507.592914
6,'o',1652957507.6826737,1652957507.738524
7,'r',1652957507.773935,1652957507.8432565
8,'k',1652957507.9080832,1652957507.983388
9,'y',1652957508.0836253,1652957508.1544356
0,'q',1652957510.1631062,1652957510.2498758
1,'u',1652957510.309715,1652957510.3595815
2,'i',1652957510.484248,1652957510.5440876
3,'e',1652957510.5490742,1652957510.610909
4,'t',1652957510.7256024,1652957510.785442
5,key.space,1652957510.8552554,1652957510.9150953
6,'g',1652957511.3010743,1652957511.361912
7,'y',1652957511.5125206,1652957511.5778556
8,'r',1652957511.7474017,1652957511.807242
9,'o',1652957511.8780522,1652957511.93889
0,'q',1652957526.6487746,1652957526.7195847
1,'u',1652957526.7644644,1652957526.8492377
2,'e',1652957526.8841467,1652957526.9449818
3,'n',1652957526.9798884,1652957527.059675
4,'c',1652957527.0995684,1652957527.1653922
5,'h',1652957527.2152588,1652957527.2850723
6,key.space,1652957527.395777,1652957527.4755628
7,'h',1652957527.7263982,1652957527.7967153
8,'u',1652957527.8266354,1652957527.912406
9,'g',1652957527.942326,1652957528.0121396
0,'i',1652957530.3224883,1652957530.377342
1,'r',1652957530.3878202,1652957530.4536436
2,'k',1652957530.508497,1652957530.56335
3,key.space,1652957530.6680703,1652957530.72791
4,'o',1652957530.839611,1652957530.8949707
5,'b',1652957530.9398487,1652957530.9942122
6,'j',1652957531.0789857,1652957531.139329
7,'e',1652957531.1692493,1652957531.260513
8,'c',1652957531.2305934,1652957531.3004062
9,'t',1652957531.410113,1652957531.4709504
0,'k',1652957533.6306915,1652957533.7114756
1,'n',1652957533.6905315,1652957533.7713156
2,'o',1652957533.8311558,1652957533.901966
3,'t',1652957533.9119396,1652957533.9717796
4,key.space,1652957534.0116727,1652957534.0764995
5,'v',1652957534.2071614,1652957534.2719882
6,'i',1652957534.2769747,1652957534.347292
7,'t',1652957534.4076378,1652957534.4624913
8,'a',1652957534.5173469,1652957534.5781822
9,'l',1652957534.5831685,1652957534.6380217
0,'g',1652957536.6282265,1652957536.693053
1,'a',1652957536.7389307,1652957536.8187177
2,'t',1652957536.8685837,1652957536.91845
3,'e',1652957537.029663,1652957537.0845163
4,'d',1652957537.1593163,1652957537.2141695
5,key.space,1652957537.2440896,1652957537.3089163
6,'h',1652957537.4555244,1652957537.5253375
7,'i',1652957537.5801907,1652957537.6754408
8,'n',1652957537.6405342,1652957537.7258134
9,'d',1652957537.7607205,1652957537.8365178
0,'p',1652957539.7509248,1652957539.8157544
1,'i',1652957539.9663491,1652957540.0261889
2,'e',1652957540.0870285,1652957540.1418796
3,'c',1652957540.266546,1652957540.3223977
4,'e',1652957540.4675138,1652957540.537327
5,'s',1652957540.538325,1652957540.602154
6,key.space,1652957540.6320736,1652957540.6769538
7,'l',1652957540.803615,1652957540.8839061
8,'y',1652957540.9387593,1652957541.0080788
9,'e',1652957541.1796308,1652957541.2444575
0,'k',1652957543.0731049,1652957543.1588757
1,'e',1652957543.2695792,1652957543.3244336
2,'y',1652957543.4500988,1652957543.4999642
3,key.space,1652957543.5498302,1652957543.600694
4,'d',1652957543.6655204,1652957543.720374
5,'i',1652957543.7757308,1652957543.8305843
6,'a',1652957543.8605044,1652957543.9253318
7,'l',1652957544.0918858,1652957544.1567123
8,'o',1652957544.2564454,1652957544.3018298
9,'g',1652957544.311803,1652957544.3616695
0,'c',1652957546.2212384,1652957546.291556
1,'h',1652957546.4715803,1652957546.5274312
2,'u',1652957546.632151,1652957546.6371374
3,'m',1652957547.4544573,1652957547.519284
4,key.space,1652957547.6688838,1652957547.7207456
5,'b',1652957547.8558948,1652957547.9252145
6,'i',1652957547.9501476,1652957548.0154796
7,'r',1652957548.1207051,1652957548.1516223
8,'c',1652957548.2962356,1652957548.3560762
9,'h',1652957548.4218996,1652957548.491713
0,'l',1652957550.4165766,1652957550.48639
1,'a',1652957550.5068398,1652957550.5616927
2,'u',1652957550.6624238,1652957550.72725
3,'g',1652957551.0119946,1652957551.078816
4,'h',1652957551.1381638,1652957551.1980038
5,key.space,1652957551.3735445,1652957551.434382
6,'s',1652957551.6049259,1652957551.7096457
7,'t',1652957551.6896996,1652957551.7595124
8,'u',1652957551.7694855,1652957551.85027
9,'n',1652957551.829326,1652957551.905123
0,'v',1652957556.5567563,1652957556.626569
1,'a',1652957556.6315556,1652957556.7113426
2,'r',1652957556.7861428,1652957556.8579507
3,'i',1652957556.912804,1652957556.9776301
4,'e',1652957557.0324836,1652957557.1372035
5,'s',1652957557.1222436,1652957557.208518
6,key.space,1652957557.2334518,1652957557.3037689
7,'c',1652957557.433422,1652957557.5032356
8,'r',1652957557.6348836,1652957557.6947234
9,'y',1652957557.86428,1652957557.9191334
0,'y',1652957560.0290396,1652957560.0858898
1,'a',1652957560.0799048,1652957560.145728
2,'m',1652957560.2404745,1652957560.3003142
3,key.space,1652957560.4000475,1652957560.454901
4,'r',1652957560.4509122,1652957560.5217228
5,'a',1652957560.5267088,1652957560.596522
6,'n',1652957560.6064959,1652957560.6668391
7,'d',1652957560.741639,1652957560.8014789
8,'o',1652957560.8613188,1652957560.9770093
9,'m',1652957560.9421027,1652957561.037847
0,'f',1652957566.1348078,1652957566.1996343
1,'i',1652957566.2245681,1652957566.2854052
2,'s',1652957566.315325,1652957566.4305236
3,'t',1652957566.4006035,1652957566.4754038
4,key.space,1652957566.5257742,1652957566.5955882
5,'t',1652957566.8110118,1652957566.876836
6,'r',1652957566.9915292,1652957567.0463843
7,'a',1652957567.0513709,1652957567.1171935
8,'i',1652957567.1122062,1652957567.1820195
9,'n',1652957567.1620731,1652957567.227897
0,'b',1652957569.172225,1652957569.2520123
1,'a',1652957569.4026093,1652957569.4973557
2,'s',1652957569.492369,1652957569.5631795
3,'i',1652957569.598086,1652957569.6684036
4,'l',1652957569.7935753,1652957569.868375
5,key.space,1652957569.9681082,1652957570.0339322
6,'u',1652957570.1845298,1652957570.2942362
7,'n',1652957570.30421,1652957570.3800085
8,'t',1652957570.3939698,1652957570.4857244
9,'o',1652957570.770472,1652957570.8313093
0,'d',1652957573.03646,1652957573.101287
1,'e',1652957573.2065108,1652957573.2678518
2,'t',1652957573.3775585,1652957573.4324117
3,'a',1652957573.5321448,1652957573.6378624
4,'c',1652957573.6578093,1652957573.7286196
5,'h',1652957573.7834742,1652957573.853287
6,key.space,1652957573.9929125,1652957574.0687099
7,'q',1652957574.2093341,1652957574.2641878
8,'u',1652957574.3140538,1652957574.3798778
9,'a',1652957574.404812,1652957574.4696386
0,'w',1652957578.7806625,1652957578.8405025
1,'i',1652957578.8415005,1652957578.900846
2,'z',1652957578.9407392,1652957579.0205262
3,key.space,1652957579.0713897,1652957579.141203
4,'s',1652957579.2818272,1652957579.3466537
5,'h',1652957579.5122223,1652957579.577553
6,'r',1652957579.5785506,1652957579.662326
7,'i',1652957579.6827793,1652957579.7874997
8,'n',1652957579.7575793,1652957579.852326
9,'k',1652957579.8932166,1652957579.973003
0,'o',1652957587.8176467,1652957587.8924468
1,'n',1652957587.84258,1652957587.9473002
2,'l',1652957588.0226147,1652957588.0974076
3,'y',1652957588.1288307,1652957588.1986437
4,key.space,1652957588.29339,1652957588.3632033
5,'k',1652957588.488869,1652957588.5746384
6,'r',1652957588.5995712,1652957588.6693847
7,'o',1652957588.7192514,1652957588.8548892
8,'n',1652957588.8199823,1652957588.9047554
9,'e',1652957588.8947823,1652957588.9606056
0,'y',1652957590.98971,1652957591.070494
1,'o',1652957591.0405738,1652957591.100415
2,'d',1652957591.2350535,1652957591.370702
3,'e',1652957591.340278,1652957591.4265525
4,'l',1652957591.4664462,1652957591.5312726
5,key.space,1652957591.6359932,1652957591.7167773
6,'e',1652957591.8065364,1652957591.8524141
7,'c',1652957591.9770806,1652957592.052878
8,'h',1652957592.077812,1652957592.1476245
9,'o',1652957592.2538483,1652957592.3286476
0,'b',1652957594.4889147,1652957594.5831687
1,'o',1652957594.5931396,1652957594.647993
2,'t',1652957594.984107,1652957595.0449445
3,'f',1652957595.4259255,1652957595.4857662
4,'l',1652957595.5206718,1652957595.5914824
5,'y',1652957595.621403,1652957595.696706
6,key.space,1652957595.8113995,1652957595.906146
7,'t',1652957596.5584245,1652957596.6287417
8,'u',1652957596.6686354,1652957596.7334619
9,'x',1652957596.7633827,1652957596.8292058
0,'d',1652957598.9695132,1652957599.029353
1,'i',1652957599.0243664,1652957599.0842068
2,'g',1652957599.1595097,1652957599.20988
3,key.space,1652957599.2188575,1652957599.3006372
4,'t',1652957599.4751706,1652957599.5449839
5,'e',1652957599.650701,1652957599.711046
6,'n',1652957599.7120435,1652957599.8013103
7,'d',1652957599.8412035,1652957599.9015484
8,'o',1652957599.936455,1652957600.0476632
9,'n',1652957600.048664,1652957600.1124895
0,'n',1652957602.1829648,1652957602.2627518
1,'o',1652957602.307631,1652957602.3774443
2,'d',1652957602.3674712,1652957602.4826674
3,'e',1652957602.437788,1652957602.5275476
4,key.space,1652957602.5325341,1652957602.6083314
5,'p',1652957602.873622,1652957602.9549115
6,'i',1652957603.1090043,1652957603.1843088
7,'x',1652957603.2092423,1652957603.2745724
8,'e',1652957603.3543591,1652957603.4251697
9,'l',1652957603.4261675,1652957603.48501
0,'z',1652957610.0764985,1652957610.1762316
1,'o',1652957610.1772294,1652957610.2709782
2,'n',1652957610.256019,1652957610.3567488
3,'a',1652957610.462466,1652957610.5322795
4,'l',1652957610.5771594,1652957610.6369994
5,key.space,1652957610.7227705,1652957610.7985675
6,'o',1652957610.9686182,1652957611.0334446
7,'g',1652957611.0384312,1652957611.1132314
8,'r',1652957611.3146925,1652957611.4149303
9,'e',1652957611.398973,1652957611.4742768
0,'t',1652957613.5941513,1652957613.6699486
1,'r',1652957613.785641,1652957613.8454783
2,'o',1652957614.1267264,1652957614.1815815
3,'v',1652957614.2513933,1652957614.3266966
4,'e',1652957614.3466432,1652957614.4214442
5,'r',1652957614.4563498,1652957614.5271611
6,key.space,1652957614.577027,1652957614.637865
7,'m',1652957614.7929559,1652957614.8527954
8,'u',1652957614.988447,1652957615.0532737
9,'g',1652957615.0433023,1652957615.1335652
0,'a',1652957617.0734117,1652957617.1581848
1,'c',1652957617.1591825,1652957617.2130384
2,'t',1652957617.3337154,1652957617.3845797
3,key.space,1652957617.404526,1652957617.4593797
4,'m',1652957617.5541263,1652957617.6199508
5,'a',1652957617.5940194,1652957617.684778
6,'r',1652957617.6648302,1652957617.7196841
7,'b',1652957617.8652937,1652957617.9201474
8,'l',1652957617.9849746,1652957618.0557847
9,'e',1652957618.0657582,1652957618.1206117
0,'e',1652957620.065948,1652957620.1402552
1,'v',1652957620.1851363,1652957620.2604406
2,'i',1652957620.316797,1652957620.3666625
3,'l',1652957620.4813564,1652957620.5461824
4,key.space,1652957620.6608758,1652957620.712737
5,'l',1652957620.8124707,1652957620.8772972
6,'u',1652957621.0179212,1652957621.093718
7,'c',1652957621.1485717,1652957621.218385
8,'i',1652957621.2637696,1652957621.3285956
9,'d',1652957621.3884363,1652957621.4383028
