Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Class,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
andy,o_h,15_8,15,8,3,0.144049168,-0.048078775,0.095970392,0.040163994,0.184213161,0.088242769
andy,h_m,8_13,8,13,3,0.088242769,0.080583334,0.168826103,0.20088172,0.289124489,0.120298386
andy,m_~,13_0,13,0,3,0.120298386,-0.048900366,0.07139802,0.102723598,0.223021984,0.151623964
andy,~_f,0_6,0,6,3,0.151623964,-0.079704762,0.071919203,0.056218147,0.207842112,0.135922909
andy,f_i,6_9,6,9,3,0.135922909,-0.080334187,0.055588722,0.024048567,0.159971476,0.104382753
andy,i_l,9_12,9,12,3,0.104382753,0.064851284,0.169234037,0.184787273,0.289170027,0.119935989
andy,l_m,12_13,12,13,3,0.119935989,-0.032029629,0.087906361,0.102808475,0.222744465,0.134838104
andy,m_e,13_5,13,5,3,0.134838104,-0.079806566,0.055031538,0.056169271,0.191007376,0.135975838
andy,e_d,5_4,5,4,3,0.135975838,-0.079441786,0.056534052,0.04026413,0.176239967,0.119705915
andy,h_e,8_5,8,5,4,0.112206459,-0.025015831,0.087190628,0.103727579,0.215934038,0.12874341
andy,e_a,5_1,5,1,4,0.12874341,-0.07248497,0.05625844,0.119482756,0.248226166,0.191967726
andy,a_t,1_20,1,20,4,0.191967726,-0.0556705,0.136297226,0.088402748,0.280370474,0.144073248
andy,t_~,20_0,20,0,4,0.144073248,-0.049190283,0.094882965,0.079358339,0.223431587,0.128548622
andy,~_a,0_1,0,1,4,0.128548622,-0.047976255,0.080572367,0.113041878,0.2415905,0.161018133
andy,a_t,1_20,1,20,4,0.161018133,-0.073136091,0.087882042,0.071546078,0.232564211,0.144682169
andy,t_o,20_15,20,15,4,0.144682169,-0.02432847,0.120353699,0.104136229,0.248818398,0.128464699
andy,o_m,15_13,15,13,4,0.128464699,-0.080120802,0.048343897,0.023556232,0.152020931,0.103677034
andy,m_s,13_19,13,19,4,0.103677034,0.015677929,0.119354963,0.111635447,0.215312481,0.095957518
andy,c_h,3_8,3,8,5,0.118898869,-0.048210621,0.070688248,0.055331945,0.174230814,0.103542566
andy,h_a,8_1,8,1,5,0.103542566,0.031910658,0.135453224,0.208758116,0.312300682,0.176847458
andy,a_n,1_14,1,14,5,0.176847458,-0.104168892,0.072678566,0.023342371,0.200189829,0.127511263
andy,n_t,14_20,14,20,5,0.127511263,-0.047345161,0.080166101,0.120757341,0.248268604,0.168102503
andy,t_~,20_0,20,0,5,0.168102503,-0.015949965,0.152152538,0.118728876,0.286831379,0.134678841
andy,~_a,0_1,0,1,5,0.134678841,-0.063541651,0.07113719,0.048975468,0.183654308,0.112517118
andy,a_x,1_24,1,24,5,0.112517118,0.064193487,0.176710606,0.151431084,0.263948202,0.087237597
andy,x_i,24_9,24,9,5,0.087237597,-0.023368359,0.063869238,0.081093073,0.168330669,0.104461432
andy,i_s,9_19,9,19,5,0.104461432,0.01521039,0.119671822,0.12784481,0.232306242,0.11263442
andy,o_l,15_12,15,12,6,0.151228905,-0.023195744,0.128033161,0.151777029,0.303005934,0.174972773
andy,l_d,12_4,12,4,6,0.174972773,-0.079006195,0.095966578,0.081199169,0.256171942,0.160205364
andy,d_i,4_9,4,9,6,0.160205364,-0.016288519,0.143916845,0.12750721,0.287712574,0.143795729
andy,i_e,9_5,9,5,6,0.143795729,-0.103913546,0.039882183,0.056255579,0.200051308,0.160169125
andy,e_s,5_19,5,19,6,0.160169125,-0.104407787,0.055761337,0.0162251,0.176394224,0.120632887
andy,s_~,19_0,19,0,6,0.120632887,-0.041088581,0.079544306,0.102788687,0.223421574,0.143877268
andy,~_b,0_2,0,2,6,0.143877268,-0.063455582,0.080421686,0.056065083,0.19994235,0.119520664
andy,b_a,2_1,2,1,6,0.119520664,-0.078965664,0.040555,0.063971758,0.183492422,0.142937422
andy,a_y,1_25,1,25,6,0.142937422,-0.047888517,0.095048904,0.088206768,0.23114419,0.136095285
andy,g_y,7_25,7,25,3,0.05533123,0.183967352,0.239298582,0.35272193,0.40805316,0.168754578
andy,y_m,25_13,25,13,3,0.168754578,-0.016031265,0.152723312,0.112250566,0.281005144,0.128281832
andy,m_~,13_0,13,0,3,0.128281832,-0.032538652,0.095743179,0.118825197,0.247107029,0.15136385
andy,~_z,0_26,0,26,3,0.15136385,-0.055281878,0.096081972,0.088243961,0.239607811,0.143525839
andy,z_y,26_25,26,25,3,0.143525839,-0.039772511,0.103753328,0.087846279,0.231372118,0.12761879
andy,y_g,25_7,25,7,3,0.12761879,0.088828564,0.216447353,0.192488194,0.320106983,0.10365963
andy,g_o,7_15,7,15,3,0.10365963,-0.03214407,0.07151556,0.088185072,0.191844702,0.120329142
andy,o_t,15_20,15,20,3,0.120329142,-0.032562017,0.087767124,0.104461193,0.224790335,0.137023211
andy,t_e,20_5,20,5,3,0.137023211,-0.072765112,0.064258099,0.079200029,0.21622324,0.151965141
andy,a_m,1_13,1,13,4,0.143812656,-0.039654493,0.104158163,0.088267326,0.232079983,0.12792182
andy,m_i,13_9,13,9,4,0.12792182,-0.056577682,0.071344137,0.071579695,0.199501514,0.128157377
andy,i_d,9_4,9,4,4,0.128157377,-0.056276798,0.071880579,0.079837799,0.207995176,0.136114597
andy,d_~,4_0,4,0,4,0.136114597,-0.048245192,0.087869406,0.10389328,0.240007877,0.152138472
andy,~_e,0_5,0,5,4,0.152138472,-0.071462393,0.080676079,0.056823015,0.208961487,0.128285408
andy,e_x,5_24,5,24,4,0.128285408,0.039784431,0.168069839,0.14317894,0.271464348,0.103394508
andy,x_i,24_9,24,9,4,0.103394508,-0.039423943,0.063970566,0.032060385,0.135454893,0.071484327
andy,i_l,9_12,9,12,4,0.071484327,0.080418825,0.151903152,0.167924881,0.239409208,0.087506056
andy,l_e,12_5,12,5,4,0.087506056,-0.063098907,0.024407148,0.040060759,0.127566814,0.103159666
andy,k_i,11_9,11,9,5,0.159454346,-0.015658855,0.14379549,0.112548351,0.272002697,0.128207207
