,Results,Prediction,Accuracy,230/480
0,adhy,adhy,0.9999827,Match
1,adhy,jonah,0.7502297,Nope
2,adhy,bryce,0.9994423,Nope
3,adhy,jonah,0.99958926,Nope
4,adhy,qk,0.9745769,Nope
5,adhy,adhy,0.9999759,Match
6,adhy,adhy,0.99989617,Match
7,adhy,jonah,0.7910135,Nope
8,adhy,bryce,0.99909925,Nope
9,adhy,jonah,0.9980627,Nope
10,adhy,qk,0.7743923,Nope
11,adhy,adhy,0.99997413,Match
12,adhy,bryce,0.8041713,Nope
13,adhy,bryce,0.4855283,Nope
14,adhy,bryce,0.99986434,Nope
15,adhy,jonah,0.99943405,Nope
16,adhy,cy,0.4979516,Nope
17,adhy,adhy,0.9999764,Match
18,adhy,bryce,0.3360576,Nope
19,adhy,bryce,0.46914336,Nope
20,adhy,bryce,0.9813514,Nope
21,adhy,jonah,0.9996779,Nope
22,adhy,cy,0.99148655,Nope
23,adhy,adhy,0.99998176,Match
24,adhy,chris,0.8708846,Nope
25,adhy,bryce,0.62027556,Nope
26,adhy,adhy,0.99998534,Match
27,adhy,jonah,0.24148424,Nope
28,adhy,cy,0.60821587,Nope
29,adhy,adhy,0.99994755,Match
30,adhy,bryce,0.6834407,Nope
31,adhy,jonah,0.8823353,Nope
32,adhy,adhy,0.9999869,Match
33,adhy,jonah,0.7724078,Nope
34,adhy,qk,0.8507602,Nope
35,adhy,adhy,0.9999875,Match
36,adhy,adhy,0.54496586,Match
37,adhy,gerald,0.96419454,Nope
38,adhy,adhy,0.7998621,Match
39,adhy,jonah,0.44749743,Nope
40,adhy,jonah,0.9998584,Nope
41,adhy,jonah,0.9989183,Nope
42,adhy,qk,0.99764377,Nope
43,adhy,jonah,0.67625016,Nope
44,adhy,adhy,0.9999367,Match
45,adhy,jonah,0.3684447,Nope
46,adhy,bryce,0.98625493,Nope
47,adhy,jonah,0.99148047,Nope
48,alan,gerald,0.9965146,Nope
49,alan,alan,0.9996848,Match
50,alan,alan,0.99946517,Match
51,alan,alan,0.99973685,Match
52,alan,alan,0.9997589,Match
53,alan,alan,0.9950972,Match
54,alan,gerald,0.9313815,Nope
55,alan,alan,0.70413244,Match
56,alan,alan,0.9942788,Match
57,alan,alan,0.9959586,Match
58,alan,alan,0.99974793,Match
59,alan,alan,0.93966067,Match
60,alan,alan,0.9997142,Match
61,alan,gerald,0.99791783,Nope
62,alan,alan,0.79022574,Match
63,alan,gerald,0.5789646,Nope
64,alan,alan,0.9990301,Match
65,alan,alan,0.6776243,Match
66,alan,alan,0.99972695,Match
67,alan,gerald,0.5031929,Nope
68,alan,alan,0.94702584,Match
69,alan,alan,0.67323256,Match
70,alan,alan,0.9997286,Match
71,alan,alan,0.9604903,Match
72,alan,alan,0.99973875,Match
73,alan,alan,0.78629893,Match
74,alan,gerald,0.9726353,Nope
75,alan,alan,0.99965286,Match
76,alan,alan,0.9997305,Match
77,alan,alan,0.89147085,Match
78,alan,alan,0.99974734,Match
79,alan,alan,0.9719505,Match
80,alan,gerald,0.99998045,Nope
81,alan,alan,0.9768499,Match
82,alan,alan,0.99976164,Match
83,alan,alan,0.9674673,Match
84,alan,alan,0.999754,Match
85,alan,alan,0.52328825,Match
86,alan,gerald,0.9960098,Nope
87,alan,alan,0.8155703,Match
88,alan,alan,0.91340744,Match
89,alan,alan,0.9997372,Match
90,alan,alan,0.9994012,Match
91,alan,alan,0.9675268,Match
92,alan,gerald,0.98116267,Nope
93,alan,alan,0.8585906,Match
94,alan,alan,0.9997148,Match
95,alan,alan,0.9356398,Match
96,andy,andy,0.9999993,Match
97,andy,andy,0.9999993,Match
98,andy,andy,0.9999993,Match
99,andy,andy,0.9999993,Match
100,andy,andy,0.9999994,Match
101,andy,andy,0.99999225,Match
102,andy,andy,0.9999993,Match
103,andy,andy,0.9999994,Match
104,andy,andy,0.99999905,Match
105,andy,andy,0.9999993,Match
106,andy,andy,0.9999994,Match
107,andy,andy,0.9999988,Match
108,andy,andy,0.9999994,Match
109,andy,andy,0.9999989,Match
110,andy,andy,0.99999917,Match
111,andy,andy,0.9999993,Match
112,andy,andy,0.9999994,Match
113,andy,andy,0.9999306,Match
114,andy,andy,0.9999994,Match
115,andy,andy,0.99999857,Match
116,andy,andy,0.99999833,Match
117,andy,andy,0.9999993,Match
118,andy,andy,0.9999994,Match
119,andy,andy,0.9950081,Match
120,andy,andy,0.9999994,Match
121,andy,andy,0.99999917,Match
122,andy,andy,0.9999994,Match
123,andy,andy,0.9999994,Match
124,andy,andy,0.9999994,Match
125,andy,andy,0.99999845,Match
126,andy,andy,0.9999994,Match
127,andy,andy,0.99999905,Match
128,andy,andy,0.9999994,Match
129,andy,andy,0.9999993,Match
130,andy,andy,0.9999994,Match
131,andy,andy,0.9999988,Match
132,andy,andy,0.9999995,Match
133,andy,andy,0.99999917,Match
134,andy,andy,0.9999994,Match
135,andy,andy,0.9999994,Match
136,andy,andy,0.9999994,Match
137,andy,andy,0.9999993,Match
138,andy,andy,0.9999994,Match
139,andy,andy,0.9999976,Match
140,andy,andy,0.99999857,Match
141,andy,andy,0.9869784,Match
142,andy,andy,0.9970721,Match
143,andy,andy,0.9999993,Match
144,bryce,cy,0.80181134,Nope
145,bryce,jonah,0.99285275,Nope
146,bryce,jonah,0.92809194,Nope
147,bryce,adhy,0.83319145,Nope
148,bryce,cy,0.9975313,Nope
149,bryce,cy,0.4057188,Nope
150,bryce,cy,0.37295645,Nope
151,bryce,chris,0.7263235,Nope
152,bryce,jonah,0.99817693,Nope
153,bryce,andy,0.9137105,Nope
154,bryce,chris,0.7681099,Nope
155,bryce,bryce,0.5567174,Match
156,bryce,cy,0.9997893,Nope
157,bryce,bryce,0.9416204,Match
158,bryce,cy,0.9188481,Nope
159,bryce,andy,0.9807649,Nope
160,bryce,chris,0.713987,Nope
161,bryce,cy,0.7620067,Nope
162,bryce,cy,0.99980026,Nope
163,bryce,bryce,0.6284302,Match
164,bryce,jonah,0.9894615,Nope
165,bryce,andy,0.9973802,Nope
166,bryce,chris,0.8513283,Nope
167,bryce,cy,0.4892548,Nope
168,bryce,cy,0.99979895,Nope
169,bryce,adhy,0.99173695,Nope
170,bryce,jc,0.5258358,Nope
171,bryce,jonah,0.814451,Nope
172,bryce,adhy,0.7812457,Nope
173,bryce,bryce,0.46931586,Match
174,bryce,cy,0.7729453,Nope
175,bryce,bryce,0.99110436,Match
176,bryce,cy,0.6831965,Nope
177,bryce,chris,0.6686426,Nope
178,bryce,chris,0.5854563,Nope
179,bryce,cy,0.958275,Nope
180,bryce,cy,0.99508566,Nope
181,bryce,bryce,0.4965288,Match
182,bryce,cy,0.874307,Nope
183,bryce,chris,0.9694745,Nope
184,bryce,jonah,0.99389875,Nope
185,bryce,adhy,0.55606693,Nope
186,bryce,cy,0.9992454,Nope
187,bryce,bryce,0.9998988,Match
188,bryce,bryce,0.5296154,Match
189,bryce,bryce,0.9988971,Match
190,bryce,jonah,0.9977858,Nope
191,bryce,cy,0.5547324,Nope
192,chris,chris,0.45161143,Match
193,chris,jonah,0.8973855,Nope
194,chris,bryce,0.79000515,Nope
195,chris,jonah,0.97168756,Nope
196,chris,chris,0.76352215,Match
197,chris,jonah,0.98727477,Nope
198,chris,jonah,0.76385283,Nope
199,chris,jonah,0.9910637,Nope
200,chris,bryce,0.7561506,Nope
201,chris,jonah,0.8989941,Nope
202,chris,bryce,0.7249539,Nope
203,chris,jonah,0.9589272,Nope
204,chris,chris,0.956481,Match
205,chris,jonah,0.8756921,Nope
206,chris,bryce,0.8930043,Nope
207,chris,jonah,0.9485545,Nope
208,chris,bryce,0.6480157,Nope
209,chris,jonah,0.964298,Nope
210,chris,chris,0.9100419,Match
211,chris,jonah,0.7464643,Nope
212,chris,bryce,0.9314769,Nope
213,chris,jonah,0.92683125,Nope
214,chris,bryce,0.6110106,Nope
215,chris,jonah,0.91110694,Nope
216,chris,chris,0.97455037,Match
217,chris,jonah,0.8207143,Nope
218,chris,bryce,0.84295845,Nope
219,chris,andy,0.5498223,Nope
220,chris,bryce,0.8205944,Nope
221,chris,jonah,0.9833334,Nope
222,chris,chris,0.80269796,Match
223,chris,jonah,0.9993593,Nope
224,chris,qk,0.64649135,Nope
225,chris,jonah,0.95509064,Nope
226,chris,bryce,0.7527416,Nope
227,chris,jonah,0.9996861,Nope
228,chris,chris,0.9444622,Match
229,chris,jonah,0.9539628,Nope
230,chris,qk,0.7163891,Nope
231,chris,andy,0.9994242,Nope
232,chris,chris,0.93205774,Match
233,chris,jonah,0.91561437,Nope
234,chris,chris,0.99105877,Match
235,chris,jonah,0.9990196,Nope
236,chris,chris,0.34040746,Match
237,chris,jonah,0.9886292,Nope
238,chris,chris,0.8450737,Match
239,chris,jonah,0.973531,Nope
240,cy,cy,0.9998708,Match
241,cy,cy,0.9998779,Match
242,cy,cy,0.999795,Match
243,cy,cy,0.99781334,Match
244,cy,cy,0.9998523,Match
245,cy,cy,0.9998777,Match
246,cy,cy,0.999869,Match
247,cy,cy,0.99987864,Match
248,cy,cy,0.7403317,Match
249,cy,cy,0.9971221,Match
250,cy,cy,0.9997974,Match
251,cy,cy,0.9998455,Match
252,cy,cy,0.9998776,Match
253,cy,cy,0.99977857,Match
254,cy,cy,0.9422766,Match
255,cy,jonah,0.63135743,Nope
256,cy,cy,0.99982786,Match
257,cy,cy,0.9998522,Match
258,cy,cy,0.99988246,Match
259,cy,cy,0.9998275,Match
260,cy,cy,0.9998153,Match
261,cy,bryce,0.6553551,Nope
262,cy,cy,0.99985623,Match
263,cy,cy,0.99986744,Match
264,cy,cy,0.99987805,Match
265,cy,cy,0.9990232,Match
266,cy,cy,0.9998375,Match
267,cy,cy,0.9998671,Match
268,cy,cy,0.99968684,Match
269,cy,cy,0.99966085,Match
270,cy,cy,0.999877,Match
271,cy,cy,0.999699,Match
272,cy,cy,0.9998653,Match
273,cy,cy,0.999876,Match
274,cy,cy,0.99911505,Match
275,cy,cy,0.99982893,Match
276,cy,cy,0.9998808,Match
277,cy,cy,0.99973315,Match
278,cy,cy,0.9998671,Match
279,cy,cy,0.99987817,Match
280,cy,cy,0.9879167,Match
281,cy,jonah,0.8195227,Nope
282,cy,cy,0.9998807,Match
283,cy,cy,0.9998405,Match
284,cy,cy,0.99986553,Match
285,cy,cy,0.99987686,Match
286,cy,cy,0.999705,Match
287,cy,jonah,0.50900745,Nope
288,gerald,gerald,0.9982887,Match
289,gerald,alan,0.90253586,Nope
290,gerald,alan,0.8300853,Nope
291,gerald,gerald,0.9940041,Match
292,gerald,alan,0.5091665,Nope
293,gerald,alan,0.99976665,Nope
294,gerald,alan,0.8182871,Nope
295,gerald,alan,0.7362826,Nope
296,gerald,alan,0.7577196,Nope
297,gerald,gerald,0.9999814,Match
298,gerald,alan,0.9470718,Nope
299,gerald,alan,0.9997483,Nope
300,gerald,gerald,0.9913083,Match
301,gerald,alan,0.9348398,Nope
302,gerald,alan,0.90536803,Nope
303,gerald,gerald,0.99998116,Match
304,gerald,gerald,0.5330486,Match
305,gerald,alan,0.9988489,Nope
306,gerald,gerald,0.7031528,Match
307,gerald,alan,0.7244134,Nope
308,gerald,alan,0.5287711,Nope
309,gerald,gerald,0.999982,Match
310,gerald,gerald,0.9661411,Match
311,gerald,alan,0.9917101,Nope
312,gerald,gerald,0.98280185,Match
313,gerald,alan,0.99966836,Nope
314,gerald,alan,0.55196965,Nope
315,gerald,gerald,0.6369881,Match
316,gerald,alan,0.69698435,Nope
317,gerald,alan,0.9997757,Nope
318,gerald,gerald,0.95025176,Match
319,gerald,alan,0.659443,Nope
320,gerald,gerald,0.7482594,Match
321,gerald,alan,0.53022254,Nope
322,gerald,gerald,0.9998424,Match
323,gerald,alan,0.7848984,Nope
324,gerald,gerald,0.9943826,Match
325,gerald,alan,0.9469664,Nope
326,gerald,alan,0.6290213,Nope
327,gerald,gerald,0.5655382,Match
328,gerald,alan,0.5877627,Nope
329,gerald,gerald,0.99998116,Match
330,gerald,gerald,0.9938385,Match
331,gerald,alan,0.996478,Nope
332,gerald,alan,0.7524684,Nope
333,gerald,alan,0.7529787,Nope
334,gerald,alan,0.813699,Nope
335,gerald,gerald,0.99998176,Match
336,jc,jc,0.5689928,Match
337,jc,jc,0.7022142,Match
338,jc,qk,0.88752854,Nope
339,jc,jc,0.999925,Match
340,jc,jc,0.9999678,Match
341,jc,alan,0.7145745,Nope
342,jc,jc,0.76348025,Match
343,jc,alan,0.9203623,Nope
344,jc,qk,0.97249484,Nope
345,jc,jc,0.9888842,Match
346,jc,jc,0.99952364,Match
347,jc,alan,0.7873616,Nope
348,jc,jonah,0.3741949,Nope
349,jc,chris,0.99888283,Nope
350,jc,qk,0.99591404,Nope
351,jc,jc,0.9999715,Match
352,jc,jc,0.99998665,Match
353,jc,alan,0.41019443,Nope
354,jc,alan,0.98832315,Nope
355,jc,alan,0.9997142,Nope
356,jc,jc,0.9979843,Match
357,jc,jc,0.5212438,Match
358,jc,jc,0.9528147,Match
359,jc,alan,0.78691834,Nope
360,jc,cy,0.9454602,Nope
361,jc,chris,0.99470925,Nope
362,jc,jc,0.94514245,Match
363,jc,jc,0.99995244,Match
364,jc,jc,0.99998987,Match
365,jc,alan,0.48528036,Nope
366,jc,cy,0.721856,Nope
367,jc,chris,0.9879346,Nope
368,jc,jc,0.77423394,Match
369,jc,jc,0.96437585,Match
370,jc,jc,0.99997044,Match
371,jc,gerald,0.5503622,Nope
372,jc,alan,0.7002383,Nope
373,jc,alan,0.6271607,Nope
374,jc,jc,0.8571786,Match
375,jc,alan,0.99960417,Nope
376,jc,jc,0.99989986,Match
377,jc,jc,0.984812,Match
378,jc,jc,0.91237557,Match
379,jc,alan,0.6049402,Nope
380,jc,jc,0.641684,Match
381,jc,alan,0.84078133,Nope
382,jc,bryce,0.69885325,Nope
383,jc,gerald,0.95021796,Nope
384,jonah,jc,0.64728194,Nope
385,jonah,adhy,0.8723856,Nope
386,jonah,jonah,0.99995303,Match
387,jonah,adhy,0.6031643,Nope
388,jonah,chris,0.5518098,Nope
389,jonah,adhy,0.9999788,Nope
390,jonah,jc,0.9246411,Nope
391,jonah,adhy,0.6312368,Nope
392,jonah,jonah,0.99995697,Match
393,jonah,bryce,0.7556493,Nope
394,jonah,chris,0.98661417,Nope
395,jonah,adhy,0.9999511,Nope
396,jonah,bryce,0.937324,Nope
397,jonah,jonah,0.962301,Match
398,jonah,jonah,0.99997604,Match
399,jonah,adhy,0.5838743,Nope
400,jonah,jonah,0.89892846,Match
401,jonah,adhy,0.9994105,Nope
402,jonah,chris,0.5621063,Nope
403,jonah,qk,0.45764545,Nope
404,jonah,jonah,0.9999696,Match
405,jonah,adhy,0.895534,Nope
406,jonah,chris,0.927544,Nope
407,jonah,adhy,0.99997735,Nope
408,jonah,bryce,0.9575634,Nope
409,jonah,bryce,0.88637614,Nope
410,jonah,alan,0.69691956,Nope
411,jonah,cy,0.6168026,Nope
412,jonah,cy,0.7598898,Nope
413,jonah,jonah,0.75814176,Match
414,jonah,chris,0.9065017,Nope
415,jonah,bryce,0.76814026,Nope
416,jonah,jc,0.5426828,Nope
417,jonah,adhy,0.53239304,Nope
418,jonah,chris,0.99382824,Nope
419,jonah,adhy,0.9999813,Nope
420,jonah,chris,0.8986616,Nope
421,jonah,jonah,0.70935744,Match
422,jonah,jc,0.28409353,Nope
423,jonah,adhy,0.72152936,Nope
424,jonah,jonah,0.9999558,Match
425,jonah,adhy,0.61031914,Nope
426,jonah,bryce,0.61357903,Nope
427,jonah,jonah,0.923225,Match
428,jonah,jonah,0.3786522,Match
429,jonah,jonah,0.5628959,Match
430,jonah,jonah,0.99996614,Match
431,jonah,adhy,0.9998872,Nope
432,qk,jonah,0.99959105,Nope
433,qk,jonah,0.8699745,Nope
434,qk,qk,0.7718302,Match
435,qk,qk,0.9998853,Match
436,qk,jonah,0.9999862,Nope
437,qk,bryce,0.99996233,Nope
438,qk,jonah,0.9999051,Nope
439,qk,adhy,0.75876594,Nope
440,qk,qk,0.5092687,Match
441,qk,qk,0.9999155,Match
442,qk,jonah,0.9999484,Nope
443,qk,bryce,0.9999671,Nope
444,qk,adhy,0.30258998,Nope
445,qk,jonah,0.9684344,Nope
446,qk,jonah,0.97442776,Nope
447,qk,qk,0.99982136,Match
448,qk,jonah,0.99994326,Nope
449,qk,bryce,0.9309879,Nope
450,qk,alan,0.7138416,Nope
451,qk,adhy,0.86414355,Nope
452,qk,qk,0.84360594,Match
453,qk,qk,0.99993765,Match
454,qk,jonah,0.99992454,Nope
455,qk,bryce,0.9989636,Nope
456,qk,bryce,0.8819438,Nope
457,qk,chris,0.85233176,Nope
458,qk,jonah,0.9998273,Nope
459,qk,jonah,0.89769495,Nope
460,qk,jonah,0.99998295,Nope
461,qk,bryce,0.9999714,Nope
462,qk,bryce,0.3711499,Nope
463,qk,chris,0.7652786,Nope
464,qk,jonah,0.99962926,Nope
465,qk,jonah,0.76566464,Nope
466,qk,jonah,0.99995434,Nope
467,qk,bryce,0.9999746,Nope
468,qk,jonah,0.6876713,Nope
469,qk,jonah,0.9975986,Nope
470,qk,jonah,0.9999057,Nope
471,qk,jonah,0.5903118,Nope
472,qk,jonah,0.99568933,Nope
473,qk,qk,0.99982053,Match
474,qk,qk,0.3522262,Match
475,qk,chris,0.78054774,Nope
476,qk,jonah,0.9998566,Nope
477,qk,adhy,0.70565414,Nope
478,qk,qk,0.5201584,Match
479,qk,qk,0.99988306,Match
