,Results,Prediction,Accuracy,171/480
0,andy,andy,0.9999949,Match
1,andy,andy,0.9999994,Match
2,andy,andy,0.9999994,Match
3,andy,andy,0.9999993,Match
4,andy,andy,0.9999993,Match
5,andy,andy,0.9999995,Match
6,andy,andy,0.998376,Match
7,andy,andy,0.9999994,Match
8,andy,andy,0.9999993,Match
9,andy,andy,0.9999994,Match
10,andy,andy,0.9999994,Match
11,andy,andy,0.9999995,Match
12,andy,andy,0.99999845,Match
13,andy,andy,0.6296454,Match
14,andy,andy,0.9999405,Match
15,andy,andy,0.999997,Match
16,andy,andy,0.99991286,Match
17,andy,andy,0.9999988,Match
18,andy,andy,0.9999995,Match
19,andy,andy,0.9999993,Match
20,andy,andy,0.9999995,Match
21,andy,andy,0.9999993,Match
22,andy,andy,0.9999994,Match
23,andy,andy,0.9999995,Match
24,andy,andy,0.9999902,Match
25,andy,andy,0.9999101,Match
26,andy,andy,0.9998833,Match
27,andy,andy,0.9999876,Match
28,andy,andy,0.99997735,Match
29,andy,andy,0.9999919,Match
30,andy,andy,0.9999995,Match
31,andy,andy,0.9999995,Match
32,andy,andy,0.9999995,Match
33,andy,andy,0.9999995,Match
34,andy,andy,0.9999995,Match
35,andy,andy,0.9999995,Match
36,andy,andy,0.9999995,Match
37,andy,andy,0.9999994,Match
38,andy,andy,0.9999994,Match
39,andy,andy,0.9999995,Match
40,andy,andy,0.9999995,Match
41,andy,andy,0.9999995,Match
42,andy,andy,0.9999995,Match
43,andy,andy,0.9999995,Match
44,andy,andy,0.9999994,Match
45,andy,andy,0.9999995,Match
46,andy,andy,0.9999995,Match
47,andy,andy,0.9999995,Match
48,cy,qk,0.9012818,Nope
49,cy,cy,0.6995493,Match
50,cy,cy,0.9998549,Match
51,cy,cy,0.963975,Match
52,cy,jonah,0.8002067,Nope
53,cy,cy,0.9189165,Match
54,cy,cy,0.5186404,Match
55,cy,andy,0.9267719,Nope
56,cy,cy,0.9735468,Match
57,cy,andy,0.99102306,Nope
58,cy,jonah,0.50346124,Nope
59,cy,andy,0.99965525,Nope
60,cy,cy,0.94423944,Match
61,cy,cy,0.91175747,Match
62,cy,cy,0.9938985,Match
63,cy,cy,0.93175274,Match
64,cy,jc,0.513098,Nope
65,cy,cy,0.7701047,Match
