Subject,Sequence,D|0,I|0+1,PF|0+1,RF|0+1,G|0+1,D|1,I|1+2,PF|1+2,RF|1+2,G|1+2,D|2,I|2+3,PF|2+3,RF|2+3,G|2+3,D|3,I|3+4,PF|3+4,RF|3+4,G|3+4,D|4,T2-D-S,T2-I-S,T2-PF-S,T2-RF-S,T2-G-S,T2-D-M,T2-I-M,T2-PF-M,T2-RF-M,T2-G-M,T2-D-VAR,T2-I-VAR,T2-PF-VAR,T2-RF-VAR,T2-G-VAR,T2-D-SD,T2-I-SD,T2-PF-SD,T2-RF-SD,T2-G-SD,T3_I|0+2,T3_PF|0+2,T3_RF|0+2,T3_G|0+2,T3_I|1+3,T3_PF|1+3,T3_RF|1+3,T3_G|1+3,T3_I|2+4,T3_PF|2+4,T3_RF|2+4,T3_G|2+4,T3-I-S,T3-PF-S,T3-RF-S,T3-G-S,T3-I-M,T3-PF-M,T3-RF-M,T3-G-M,T3-I-VAR,T3-PF-VAR,T3-RF-VAR,T3-G-VAR,T3-I-SD,T3-PF-SD,T3-RF-SD,T3-G-SD,T4_I|0+3,T4_PF|0+3,T4_RF|0+3,T4_G|0+3,T4_I|1+4,T4_PF|1+4,T4_RF|1+4,T4_G|1+4,T4-I-S,T4-PF-S,T4-RF-S,T4-G-S,T4-I-M,T4-PF-M,T4-RF-M,T4-G-M,T4-I-VAR,T4-PF-VAR,T4-RF-VAR,T4-G-VAR,T4-I-SD,T4-PF-SD,T4-RF-SD,T4-G-SD,T5_I|0+4,T5_PF|0+4,T5_RF|0+4,T5_G|0+4
jc,sappy,0.078990936,0.088567495,0.167558432,0.183555603,0.262546539,0.094988108,0.080279827,0.175267935,0.152442217,0.247430325,0.07216239,0.064260006,0.136422396,0.143467426,0.215629816,0.07920742,0.057030201,0.136237621,0.136025667,0.215233088,0.078995466,0.40434432,0.290137529,0.615486383,0.615490913,0.940839767,0.080868864,0.072534382,0.153871596,0.153872728,0.235209942,7.12E-05,0.000208633,0.000420188,0.000436636,0.000559694,0.008440266,0.014444117,0.020498491,0.020895831,0.023657862,0.26383543,0.342826366,0.33599782,0.414988756,0.216702223,0.311690331,0.295909643,0.390897751,0.200497627,0.272660017,0.279493093,0.351655483,0.68103528,0.927176714,0.911400557,1.15754199,0.22701176,0.309058905,0.303800186,0.38584733,0.001082634,0.001236022,0.000844892,0.001021906,0.032903408,0.035157111,0.029067018,0.031967263,0.400257826,0.479248762,0.479465246,0.558456182,0.352939844,0.447927952,0.43193531,0.526923418,0.75319767,0.927176714,0.911400557,1.085379601,0.376598835,0.463588357,0.455700278,0.5426898,0.001119496,0.000490497,0.001129547,0.000497158,0.033458866,0.022147157,0.03360874,0.022297032,0.536495447,0.615486383,0.615490913,0.69448185
jc,churn,0.087949276,0.056200504,0.14414978,0.175859213,0.263808489,0.119658709,0.024258614,0.143917322,0.111567736,0.231226444,0.087309122,0.031730652,0.119039774,0.112578869,0.199887991,0.080848217,0.047637463,0.12848568,0.143629551,0.224477768,0.095992088,0.471757412,0.159827232,0.535592556,0.543635368,0.919400692,0.094351482,0.039956808,0.133898139,0.135908842,0.229850173,0.000229017,0.000212318,0.000151849,0.000930806,0.000693885,0.015133312,0.014571125,0.012322688,0.030509117,0.026341706,0.200117826,0.288067102,0.287426949,0.375376225,0.143298388,0.262957096,0.224146605,0.343805313,0.160216331,0.247525454,0.25620842,0.343517542,0.503632545,0.798549652,0.767781973,1.06269908,0.167877515,0.266183217,0.255927324,0.354233027,0.000851132,0.000418712,0.00100116,0.000335297,0.029174175,0.020462459,0.031641108,0.018311112,0.3191576,0.407106876,0.400005817,0.487955093,0.271784067,0.391442776,0.367776155,0.487434864,0.590941668,0.798549652,0.767781973,0.975389957,0.295470834,0.399274826,0.383890986,0.487694979,0.001122126,0.000122682,0.000519376,1.35E-07,0.033498147,0.011076192,0.022789813,0.000367858,0.44764328,0.535592556,0.543635368,0.631584644
jc,tubas,0.080541134,0.039180517,0.119721651,0.14329052,0.223831654,0.104110003,0.192773342,0.296883345,0.263803959,0.367913961,0.071030617,0.080167055,0.151197672,0.21667099,0.287701607,0.136503935,-0.048027992,0.088475943,0.088045835,0.22454977,0.136073828,0.528259516,0.264092922,0.65627861,0.711811304,1.103996992,0.105651903,0.066023231,0.164069653,0.177952826,0.275999248,0.000927226,0.00999795,0.00849544,0.006051419,0.004651255,0.030450382,0.099989752,0.092170709,0.077790864,0.068200113,0.336063862,0.416604996,0.407094479,0.487635612,0.343971014,0.448081017,0.480474949,0.584584951,0.168642998,0.239673615,0.304716825,0.375747442,0.848677874,1.104359627,1.192286253,1.447968006,0.282892625,0.368119876,0.397428751,0.482656002,0.009805364,0.012621516,0.007792799,0.010921874,0.099022036,0.112345523,0.088276833,0.104507769,0.487261534,0.567802668,0.623765469,0.704306602,0.432446957,0.536556959,0.568520784,0.672630787,0.91970849,1.104359627,1.192286253,1.376937389,0.459854245,0.552179813,0.596143126,0.688468695,0.001502319,0.000488147,0.001525988,0.000501679,0.038759759,0.022094052,0.039063891,0.022398184,0.575737476,0.65627861,0.711811304,0.792352438
jc,leaps,0.088000774,0.032000065,0.120000839,0.10400033,0.192001104,0.072000265,0.112290859,0.184291124,0.208297253,0.280297518,0.096006393,0.031749249,0.127755642,0.127813816,0.22382021,0.096064568,0.096257925,0.192322493,0.167498827,0.263563395,0.071240902,0.423312902,0.272298098,0.624370098,0.607610226,0.959682226,0.08466258,0.068074524,0.156092525,0.151902556,0.239920557,0.000152577,0.001790094,0.001404453,0.002099499,0.001581593,0.012352192,0.042309497,0.037476038,0.045820287,0.039769242,0.216291189,0.304291964,0.312297583,0.400298357,0.240046501,0.312046766,0.336111069,0.408111334,0.224071741,0.320078135,0.295312643,0.391319036,0.680409431,0.936416864,0.943721294,1.199728727,0.226803144,0.312138955,0.314573765,0.399909576,0.000146674,6.23E-05,0.000420014,7.06E-05,0.01211091,0.007893489,0.020494234,0.008402897,0.344046831,0.432047606,0.440111399,0.528112173,0.432368994,0.504369259,0.503609896,0.575610161,0.776415825,0.936416864,0.943721294,1.103722334,0.388207912,0.468208432,0.471860647,0.551861167,0.003900402,0.002615211,0.00201603,0.001128029,0.0624532,0.051139132,0.044900218,0.033586149,0.536369324,0.624370098,0.607610226,0.695611
jc,whelp,0.079895496,0.14470458,0.224600077,0.231692553,0.311588049,0.086987972,0.080731153,0.167719126,0.159765959,0.246753931,0.079034805,0.081334829,0.160369635,0.168146133,0.247180939,0.086811304,0.088427305,0.175238609,0.176433802,0.263245106,0.088006496,0.420736074,0.395197868,0.727927446,0.736038446,1.068768024,0.084147215,0.098799467,0.181981862,0.184009612,0.267192006,1.86E-05,0.00094878,0.000844099,0.00105682,0.000934915,0.004309152,0.030802266,0.029053386,0.03250877,0.030576376,0.312423706,0.392319202,0.391458511,0.471354008,0.241100788,0.32808876,0.327912092,0.414900064,0.256573439,0.335608244,0.344579935,0.42361474,0.810097933,1.056016207,1.063950539,1.309868813,0.270032644,0.352005402,0.35465018,0.436622938,0.001407602,0.001233038,0.001085594,0.000923672,0.037518027,0.035114634,0.032948357,0.03039197,0.472793341,0.552688837,0.559604645,0.639500141,0.416339397,0.50332737,0.504345894,0.591333866,0.889132738,1.056016207,1.063950539,1.230834007,0.444566369,0.528008103,0.531975269,0.615417004,0.001593524,0.001218277,0.001526765,0.001159995,0.039918966,0.034903828,0.039073837,0.0340587,0.64803195,0.727927446,0.736038446,0.815933943
jc,domes,0.080429554,0.06477952,0.145209074,0.199830294,0.280259848,0.135050774,-0.055977106,0.079073668,0.064832211,0.199882984,0.120809317,0.039047956,0.159857273,0.103216887,0.224026203,0.06416893,0.119943142,0.184112072,0.199951887,0.264120817,0.080008745,0.480467319,0.167793512,0.568252087,0.567831278,0.968289852,0.096093464,0.041948378,0.142063022,0.141957819,0.242072463,0.000912949,0.005400752,0.002020771,0.004720585,0.001350009,0.030215052,0.073489811,0.044952992,0.068706513,0.036742464,0.143853188,0.224282742,0.264662504,0.345092058,0.103880167,0.238930941,0.168049097,0.303099871,0.223160028,0.343969345,0.303168774,0.42397809,0.470893383,0.807183027,0.735880375,1.072170019,0.156964461,0.269061009,0.245293458,0.357390006,0.00368585,0.004262087,0.004845702,0.003766316,0.060711205,0.065284658,0.069611075,0.061370316,0.303710461,0.384140015,0.367879391,0.448308945,0.287992239,0.423043013,0.368000984,0.503051758,0.5917027,0.807183027,0.735880375,0.951360703,0.29585135,0.403591514,0.367940187,0.475680351,0.000123531,0.000756722,7.39E-09,0.001498388,0.011114461,0.027508574,8.60E-05,0.038709014,0.487822533,0.568252087,0.567831278,0.648260832
jc,whale,0.080338955,0.081887484,0.162226439,0.167898417,0.248237371,0.086010933,0.08898592,0.174996853,0.175899029,0.261909962,0.086913109,0.064201355,0.151114464,0.136193275,0.223106384,0.07199192,0.096015215,0.168007135,0.160018444,0.232010365,0.064003229,0.389258146,0.331089973,0.656344891,0.640009165,0.965264082,0.077851629,0.082772493,0.164086223,0.160002291,0.24131602,9.52E-05,0.000186549,0.000102047,0.000293975,0.000296734,0.009759429,0.013658291,0.010101827,0.017145695,0.017225965,0.256884336,0.337223291,0.343797445,0.4241364,0.240100384,0.326111317,0.312092304,0.398103237,0.23220849,0.319121599,0.29621172,0.383124828,0.729193211,0.982456207,0.952101469,1.205364466,0.243064404,0.327485402,0.317367156,0.401788155,0.000158813,8.33E-05,0.000586968,0.000430671,0.012602119,0.00912874,0.02422743,0.02075262,0.4079988,0.488337755,0.479990721,0.560329676,0.408107519,0.494118452,0.472110748,0.558121681,0.816106319,0.982456207,0.952101469,1.118451357,0.40805316,0.491228104,0.476050735,0.559225678,5.91E-09,1.67E-05,3.10E-05,2.44E-06,7.69E-05,0.00408757,0.005571982,0.001561288,0.576005936,0.656344891,0.640009165,0.72034812
jc,colon,0.120996475,0.06300211,0.183998585,0.135001659,0.255998135,0.07199955,0.143998623,0.215998173,0.232057333,0.304056883,0.08805871,0.136104822,0.224163532,0.224104881,0.312163591,0.088000059,0.096000433,0.184000492,0.208000422,0.296000481,0.111999989,0.481054783,0.439105988,0.808160782,0.799164295,1.16821909,0.096210957,0.109776497,0.202040195,0.199791074,0.292054772,0.000395921,0.001413986,0.000445066,0.001965778,0.000621355,0.019897774,0.037603005,0.021096586,0.044337096,0.024926993,0.279000282,0.399996758,0.367058992,0.488055468,0.368162155,0.440161705,0.456162214,0.528161764,0.320105314,0.408164024,0.432105303,0.520164013,0.967267752,1.248322487,1.255326509,1.536381245,0.322422584,0.416107496,0.41844217,0.512127082,0.001991487,0.00045063,0.002124857,0.000450573,0.044626082,0.021228043,0.046096171,0.021226704,0.503163815,0.62416029,0.591163874,0.712160349,0.552162647,0.624162197,0.664162636,0.736162186,1.055326462,1.248322487,1.255326509,1.448322535,0.527663231,0.624161243,0.627663255,0.724161267,0.001200443,1.82E-12,0.00266441,0.000288044,0.034647407,1.35E-06,0.05161792,0.016971862,0.687164307,0.808160782,0.799164295,0.92016077
jc,karat,0.071935892,0.072790146,0.144726038,0.159620762,0.231556654,0.086830616,0.136239529,0.223070145,0.208268642,0.295099258,0.072029114,0.087956667,0.159985781,0.184153795,0.256182909,0.096197128,0.120613813,0.216810942,0.199984074,0.296181202,0.07937026,0.40636301,0.417600155,0.744592905,0.752027273,1.079020023,0.081272602,0.104400039,0.186148226,0.188006818,0.269755006,0.000107467,0.000848736,0.0015679,0.000458203,0.000994664,0.010366631,0.029133082,0.039596723,0.021405686,0.031538288,0.295860291,0.367796183,0.367889404,0.439825296,0.296225309,0.383055925,0.392422438,0.479253054,0.304767609,0.376796722,0.384137869,0.456166983,0.896853209,1.12764883,1.144449711,1.375245333,0.29895107,0.375882943,0.381483237,0.458415111,2.54E-05,5.88E-05,0.000155753,0.000392428,0.005040576,0.007670801,0.012480094,0.019809785,0.455846071,0.527781963,0.5520432,0.623979092,0.513036251,0.599866867,0.592406511,0.679237127,0.968882322,1.12764883,1.144449711,1.303216219,0.484441161,0.563824415,0.572224855,0.651608109,0.001635358,0.002598117,0.000814598,0.001526725,0.040439564,0.050971724,0.028541171,0.039073332,0.672657013,0.744592905,0.752027273,0.823963165
jc,teals,0.079731464,0.136457443,0.216188908,0.200455427,0.280186892,0.063997984,0.112075806,0.17607379,0.207867622,0.271865606,0.095791817,0.031729221,0.127521038,0.120395899,0.216187716,0.088666677,0.031214476,0.119881153,0.111671686,0.200338364,0.080457211,0.408645153,0.311476946,0.639664888,0.640390635,0.968578577,0.081729031,0.077869236,0.159916222,0.160097659,0.242144644,0.000141473,0.002969412,0.002026646,0.002610674,0.001584025,0.011894229,0.054492308,0.045018281,0.05109476,0.039799813,0.312531233,0.392262697,0.40832305,0.488054514,0.239596844,0.303594828,0.328263521,0.392261505,0.151610374,0.247402191,0.232067585,0.327859402,0.703738451,0.943259716,0.968654156,1.208175421,0.234579484,0.314419905,0.322884719,0.40272514,0.006492761,0.005334028,0.007788196,0.006497734,0.080577671,0.073034432,0.088250755,0.080608525,0.440052271,0.519783735,0.528718948,0.608450413,0.359477997,0.423475981,0.439935207,0.503933191,0.799530268,0.943259716,0.968654156,1.112383604,0.399765134,0.471629858,0.484327078,0.556191802,0.003246107,0.004637592,0.003941276,0.005461925,0.056974616,0.068099866,0.062779585,0.073904836,0.559933424,0.639664888,0.640390635,0.720122099
