Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
adhy,a_p,1_16,1,16,0.17662382125854492,-0.08123517036437988,0.09538865089416504,0.05418753623962402,0.23081135749816895,0.1354227066040039
adhy,p_i,16_9,16,9,0.1354227066040039,-0.07905769348144531,0.056365013122558594,0.10466837882995605,0.24009108543395996,0.18372607231140137
adhy,i_s,9_19,9,19,0.18372607231140137,-0.03948831558227539,0.14423775672912598,0.0720975399017334,0.25582361221313477,0.11158585548400879
adhy,s_h,19_8,19,8,0.11158585548400879,-0.04767298698425293,0.06391286849975586,0.040199995040893555,0.15178585052490234,0.08787298202514648
adhy,a_a,1_1,1,1,0.12037420272827148,0.0721123218536377,0.19248652458190918,0.23921489715576172,0.3595890998840332,0.16710257530212402
adhy,a_r,1_18,1,18,0.16710257530212402,-0.032173871994018555,0.13492870330810547,0.08833694458007812,0.25543951988220215,0.12051081657409668
adhy,r_g,18_7,18,7,0.12051081657409668,0.15254998207092285,0.27306079864501953,0.2965390682220459,0.4170498847961426,0.14398908615112305
adhy,g_h,7_8,7,8,0.14398908615112305,-0.055994272232055664,0.08799481391906738,0.04723811149597168,0.19122719764709473,0.10323238372802734
adhy,t_e,20_5,20,5,0.10340261459350586,-0.01597905158996582,0.08742356300354004,0.15200281143188477,0.2554054260253906,0.16798186302185059
adhy,e_r,5_18,5,18,0.16798186302185059,-0.032004356384277344,0.13597750663757324,0.04000234603881836,0.20798420906066895,0.0720067024230957
adhy,r_r,18_18,18,18,0.0720067024230957,0.0639958381652832,0.1360025405883789,0.1764523983001709,0.2484591007232666,0.1124565601348877
adhy,r_y,18_25,18,25,0.1124565601348877,-0.04005551338195801,0.07240104675292969,0.016071796417236328,0.12852835655212402,0.056127309799194336
adhy,d_e,4_5,4,5,0.09577107429504395,0.07956576347351074,0.1753368377685547,0.17546701431274414,0.2712380886077881,0.0959012508392334
adhy,e_c,5_3,5,3,0.0959012508392334,0.12107443809509277,0.21697568893432617,0.22523713111877441,0.3211383819580078,0.10416269302368164
adhy,c_a,3_1,3,1,0.10416269302368164,0.05499768257141113,0.15916037559509277,0.1677565574645996,0.27191925048828125,0.11275887489318848
adhy,a_f,1_6,1,6,0.11275887489318848,-0.04865431785583496,0.06410455703735352,0.0801079273223877,0.19286680221557617,0.12876224517822266
adhy,m_u,13_21,13,21,0.1127932071685791,0.08780312538146973,0.20059633255004883,0.19201397895812988,0.304807186126709,0.10421085357666016
adhy,u_s,21_19,21,19,0.10421085357666016,0.0719611644744873,0.17617201805114746,0.23996567726135254,0.3441765308380127,0.16800451278686523
adhy,s_e,19_5,19,5,0.16800451278686523,-0.11199450492858887,0.05601000785827637,0.05629158020019531,0.22429609298706055,0.16828608512878418
adhy,e_r,5_18,5,18,0.16828608512878418,-0.04001188278198242,0.12827420234680176,0.03137564659118652,0.1996617317199707,0.07138752937316895
adhy,w_h,23_8,23,8,0.12025928497314453,-0.039927005767822266,0.08033227920532227,0.08097267150878906,0.2012319564819336,0.12089967727661133
adhy,h_e,8_5,8,5,0.12089967727661133,-0.03299427032470703,0.0879054069519043,0.08700299263000488,0.2079026699066162,0.11999726295471191
adhy,e_l,5_12,5,12,0.11999726295471191,-0.016986370086669922,0.10301089286804199,0.1120905876159668,0.2320878505706787,0.12907695770263672
adhy,l_k,12_11,12,11,0.12907695770263672,-0.06448101997375488,0.06459593772888184,0.03902292251586914,0.16809988021850586,0.10350394248962402
adhy,k_h,11_8,11,8,0.11987113952636719,0.039765119552612305,0.1596362590789795,0.1435539722442627,0.2634251117706299,0.10378885269165039
adhy,h_a,8_1,8,1,0.10378885269165039,0.016000032424926758,0.11978888511657715,0.12162995338439941,0.2254188060760498,0.10562992095947266
adhy,a_n,1_14,1,14,0.10562992095947266,-0.03406476974487305,0.07156515121459961,0.04626321792602539,0.15189313888549805,0.08032798767089844
adhy,n_s,14_19,14,19,0.08032798767089844,0.03165388107299805,0.11198186874389648,0.10497665405273438,0.1853046417236328,0.07332277297973633
adhy,s_c,19_3,19,3,0.10399770736694336,0.07156825065612793,0.1755659580230713,0.22365808486938477,0.3276557922363281,0.15208983421325684
adhy,c_a,3_1,3,1,0.15208983421325684,-0.01602649688720703,0.1360633373260498,0.1115269660949707,0.26361680030822754,0.12755346298217773
adhy,a_l,1_12,1,12,0.12755346298217773,-0.04821443557739258,0.07933902740478516,0.03192424774169922,0.15947771072387695,0.0801386833190918
adhy,l_d,12_4,12,4,0.0801386833190918,0.02440333366394043,0.10454201698303223,0.12006998062133789,0.2002086639404297,0.09566664695739746
adhy,i_d,9_4,9,4,0.12763476371765137,0.015995264053344727,0.1436300277709961,0.12789487838745117,0.25552964210510254,0.11189961433410645
adhy,d_i,4_9,4,9,0.11189961433410645,-0.06413102149963379,0.047768592834472656,0.05504345893859863,0.16694307327270508,0.11917448043823242
adhy,i_o,9_15,9,15,0.11917448043823242,0.12914562225341797,0.2483201026916504,0.2648155689239502,0.3839900493621826,0.13566994667053223
adhy,o_m,15_13,15,13,0.13566994667053223,-0.04806804656982422,0.08760190010070801,0.04816412925720215,0.18383407592773438,0.09623217582702637
adhy,h_o,8_15,8,15,0.12828445434570312,-0.02416539192199707,0.10411906242370605,0.1275634765625,0.2558479309082031,0.15172886848449707
adhy,o_n,15_14,15,14,0.15172886848449707,0.04031658172607422,0.1920454502105713,0.1352999210357666,0.28702878952026367,0.09498333930969238
adhy,n_e,14_5,14,5,0.09498333930969238,0.024001359939575195,0.11898469924926758,0.14464306831359863,0.23962640762329102,0.12064170837402344
adhy,e_r,5_18,5,18,0.12064170837402344,-0.03972625732421875,0.08091545104980469,0.05613398551940918,0.17677569389343262,0.09586024284362793
adhy,s_n,19_14,19,14,0.10259079933166504,-0.0234830379486084,0.07910776138305664,0.12772727012634277,0.2303180694580078,0.15121030807495117
adhy,n_o,14_15,14,15,0.15121030807495117,-0.05554366111755371,0.09566664695739746,0.08777618408203125,0.23898649215698242,0.14331984519958496
adhy,o_w,15_23,15,23,0.14331984519958496,-0.016732215881347656,0.1265876293182373,0.024183273315429688,0.16750311851501465,0.040915489196777344
adhy,w_s,23_19,23,19,0.040915489196777344,0.1437373161315918,0.18465280532836914,0.23244261741638184,0.2733581066131592,0.08870530128479004
adhy,j_o,10_15,10,15,0.07169866561889648,0.016072988510131836,0.08777165412902832,0.14329910278320312,0.2149977684020996,0.1272261142730713
adhy,o_u,15_21,15,21,0.1272261142730713,-0.06362795829772949,0.0635981559753418,0.07273459434509277,0.19996070861816406,0.13636255264282227
adhy,u_l,21_12,21,12,0.13636255264282227,0.02463078498840332,0.16099333763122559,0.14426779747009277,0.28063035011291504,0.11963701248168945
