Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
hr,m_o,13_15,13,15,0.175927877,-0.031914711,0.144013166,0.112183332,0.28811121,0.144098043
hr,o_t,15_20,15,20,0.144098043,0.015957117,0.160055161,0.096197128,0.240295172,0.080240011
hr,t_o,20_15,20,15,0.080240011,0.031050205,0.111290216,0.127741337,0.207981348,0.096691132
hr,o_r,15_18,15,18,0.096691132,0.015957117,0.112648249,0.111766577,0.208457708,0.09580946
hr,f_o,6_15,6,15,0.063859224,0.015926361,0.079785585,0.096711636,0.16057086,0.080785275
hr,o_a,15_1,15,1,0.080785275,0.031913519,0.112698793,0.15957427,0.240359545,0.127660751
hr,a_l,1_12,1,12,0.127660751,-0.015959501,0.11170125,0.112217903,0.239878654,0.128177404
hr,l_s,12_19,12,19,0.128177404,0.015965939,0.144143343,0.095752716,0.22393012,0.079786777
hr,d_o,4_15,4,15,0.096098423,-0.016155005,0.079943419,0.128143549,0.224241972,0.144298553
hr,o_r,15_18,15,18,0.144298553,0.015382767,0.15968132,0.128250837,0.272549391,0.112868071
hr,r_k,18_11,18,11,0.112868071,0.04796195,0.160830021,0.191853046,0.304721117,0.143891096
hr,k_y,11_25,11,25,0.143891096,0.016041994,0.15993309,0.143929958,0.287821054,0.127887964
hr,a_m,1_13,1,13,0.127269745,-0.015315056,0.111954689,0.14410162,0.271371365,0.159416676
hr,m_b,13_2,13,2,0.159416676,0.064044952,0.223461628,0.17657733,0.335994005,0.112532377
hr,b_i,2_9,2,9,0.112532377,-0.01639533,0.096137047,0.08029747,0.192829847,0.096692801
hr,i_t,9_20,9,20,0.096692801,0.031600714,0.128293514,0.11106801,0.207760811,0.079467297
hr,t_r,20_18,20,18,0.096220493,-0.063816071,0.032404423,0.07994628,0.176166773,0.14376235
hr,r_i,18_9,18,9,0.14376235,-0.015914202,0.127848148,0.063872337,0.207634687,0.079786539
hr,i_m,9_13,9,13,0.079786539,0.112153769,0.191940308,0.208496332,0.288282871,0.096342564
hr,m_s,13_19,13,19,0.096342564,-0.016303539,0.080039024,0.095052719,0.191395283,0.111356258
hr,i_c,9_3,9,3,0.095736027,0.048194647,0.143930674,0.127604008,0.223340034,0.079409361
hr,c_o,3_15,3,15,0.079409361,0.001966953,0.081376314,0.080683947,0.160093307,0.078716993
