,Results,Prediction,Accuracy,287/720
0,adhy,bryce,0.99999976,Nope
1,adhy,bryce,0.9999994,Nope
2,adhy,adhy,0.99949086,Match
3,adhy,bryce,0.931109,Nope
4,adhy,bryce,0.9985147,Nope
5,adhy,adhy,0.8208677,Match
6,adhy,bryce,0.90018153,Nope
7,adhy,bryce,0.77612966,Nope
8,adhy,cy,0.941368,Nope
9,adhy,bryce,0.99993217,Nope
10,adhy,bryce,0.99999917,Nope
11,adhy,adhy,0.99789244,Match
12,adhy,bryce,0.62063396,Nope
13,adhy,chris,0.5123575,Nope
14,adhy,bryce,0.68706524,Nope
15,adhy,bryce,0.9981834,Nope
16,adhy,chris,0.9996295,Nope
17,adhy,cy,0.99678934,Nope
18,adhy,bryce,0.9999181,Nope
19,adhy,bryce,0.99999976,Nope
20,adhy,adhy,0.99768543,Match
21,adhy,bryce,0.9798462,Nope
22,adhy,bryce,0.99567336,Nope
23,adhy,adhy,0.7836345,Match
24,adhy,bryce,0.9373546,Nope
25,adhy,bryce,0.88570905,Nope
26,adhy,cy,0.8999769,Nope
27,adhy,adhy,0.9997365,Match
28,adhy,adhy,0.9997912,Match
29,adhy,adhy,0.99961567,Match
30,adhy,adhy,0.99998343,Match
31,adhy,adhy,0.99999404,Match
32,adhy,adhy,0.99993706,Match
33,adhy,adhy,0.9999865,Match
34,adhy,adhy,0.99974674,Match
35,adhy,adhy,0.998669,Match
36,adhy,bryce,0.9073981,Nope
37,adhy,chris,0.9825936,Nope
38,adhy,bryce,0.9981341,Nope
39,adhy,adhy,0.9996315,Match
40,adhy,chris,0.5121119,Nope
41,adhy,adhy,0.9996196,Match
42,adhy,hr,0.70320547,Nope
43,adhy,chris,0.99011457,Nope
44,adhy,chris,0.81042045,Nope
45,adhy,bryce,0.95094305,Nope
46,adhy,chris,0.927917,Nope
47,adhy,bryce,0.9801485,Nope
48,adhy,adhy,0.99993646,Match
49,adhy,chris,0.7724526,Nope
50,adhy,adhy,0.9968117,Match
51,adhy,chris,0.8837025,Nope
52,adhy,chris,0.99985814,Nope
53,adhy,andy,0.5309618,Nope
54,adhy,hr,0.7633069,Nope
