Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
adhy,a_p,1_16,1,16,0.176623821,-0.08123517,0.095388651,0.054187536,0.230811357,0.135422707
adhy,p_i,16_9,16,9,0.135422707,-0.079057693,0.056365013,0.104668379,0.240091085,0.183726072
adhy,i_s,9_19,9,19,0.183726072,-0.039488316,0.144237757,0.07209754,0.255823612,0.111585855
adhy,s_h,19_8,19,8,0.111585855,-0.047672987,0.063912868,0.040199995,0.151785851,0.087872982
adhy,a_a,1_1,1,1,0.120374203,0.072112322,0.192486525,0.239214897,0.3595891,0.167102575
adhy,a_r,1_18,1,18,0.167102575,-0.032173872,0.134928703,0.088336945,0.25543952,0.120510817
adhy,r_g,18_7,18,7,0.120510817,0.152549982,0.273060799,0.296539068,0.417049885,0.143989086
adhy,g_h,7_8,7,8,0.143989086,-0.055994272,0.087994814,0.047238111,0.191227198,0.103232384
adhy,t_e,20_5,20,5,0.103402615,-0.015979052,0.087423563,0.152002811,0.255405426,0.167981863
adhy,e_r,5_18,5,18,0.167981863,-0.032004356,0.135977507,0.040002346,0.207984209,0.072006702
adhy,r_r,18_18,18,18,0.072006702,0.063995838,0.136002541,0.176452398,0.248459101,0.11245656
adhy,r_y,18_25,18,25,0.11245656,-0.040055513,0.072401047,0.016071796,0.128528357,0.05612731
adhy,d_e,4_5,4,5,0.095771074,0.079565763,0.175336838,0.175467014,0.271238089,0.095901251
adhy,e_c,5_3,5,3,0.095901251,0.121074438,0.216975689,0.225237131,0.321138382,0.104162693
adhy,c_a,3_1,3,1,0.104162693,0.054997683,0.159160376,0.167756557,0.27191925,0.112758875
adhy,a_f,1_6,1,6,0.112758875,-0.048654318,0.064104557,0.080107927,0.192866802,0.128762245
adhy,m_u,13_21,13,21,0.112793207,0.087803125,0.200596333,0.192013979,0.304807186,0.104210854
adhy,u_s,21_19,21,19,0.104210854,0.071961164,0.176172018,0.239965677,0.344176531,0.168004513
adhy,s_e,19_5,19,5,0.168004513,-0.111994505,0.056010008,0.05629158,0.224296093,0.168286085
adhy,e_r,5_18,5,18,0.168286085,-0.040011883,0.128274202,0.031375647,0.199661732,0.071387529
adhy,w_h,23_8,23,8,0.120259285,-0.039927006,0.080332279,0.080972672,0.201231956,0.120899677
adhy,h_e,8_5,8,5,0.120899677,-0.03299427,0.087905407,0.087002993,0.20790267,0.119997263
adhy,e_l,5_12,5,12,0.119997263,-0.01698637,0.103010893,0.112090588,0.232087851,0.129076958
adhy,l_k,12_11,12,11,0.129076958,-0.06448102,0.064595938,0.039022923,0.16809988,0.103503942
adhy,k_h,11_8,11,8,0.11987114,0.03976512,0.159636259,0.143553972,0.263425112,0.103788853
adhy,h_a,8_1,8,1,0.103788853,0.016000032,0.119788885,0.121629953,0.225418806,0.105629921
