,key,press_time,release_time
0,'w',1653894981.28239,1653894981.4581652
1,'e',1653894981.3782272,1653894981.6032848
2,'n',1653894981.578602,1653894981.7071114
3,'c',1653894981.8265402,1653894981.9464586
4,'h',1653894981.9064982,1653894982.043201
0,'e',1653894987.1385896,1653894987.3868651
1,'a',1653894987.2991285,1653894987.4665442
2,'r',1653894987.5226276,1653894987.6662047
3,'l',1653894987.8428304,1653894988.010898
4,'y',1653894988.0266423,1653894988.1702762
0,'r',1653894990.4671154,1653894990.6670415
1,'e',1653894990.562472,1653894990.7301748
2,'l',1653894990.70648,1653894990.8670273
3,'a',1653894990.8900142,1653894991.010318
4,'x',1653894991.1704931,1653894991.3302693
0,'q',1653894993.5306458,1653894993.7073362
1,'u',1653894993.7866044,1653894993.89006
2,'i',1653894994.0102956,1653894994.154843
3,'c',1653894994.210285,1653894994.355184
4,'k',1653894994.33013,1653894994.4346
0,'x',1653894997.049901,1653894997.1941266
1,'e',1653894997.3386128,1653894997.4344954
2,'r',1653894997.5541496,1653894997.6985996
3,'u',1653894997.7545776,1653894997.8825924
4,'s',1653894997.8985355,1653894998.0188553
0,'r',1653895000.0350428,1653895000.1946433
1,'i',1653895000.1786857,1653895000.4183233
2,'n',1653895000.3147259,1653895000.4740906
3,'s',1653895000.4343219,1653895000.6827598
4,'e',1653895000.6586368,1653895000.938603
0,'h',1653895003.0743024,1653895003.1945546
1,'e',1653895003.2189243,1653895003.3543732
2,'r',1653895003.2740908,1653895003.4580247
3,'b',1653895003.4982827,1653895003.6192355
4,'s',1653895003.6586118,1653895003.8032513
0,'f',1653895011.299077,1653895011.4186068
1,'o',1653895011.4342353,1653895011.5388212
2,'a',1653895011.578931,1653895011.682817
3,'m',1653895011.6585867,1653895011.7785695
4,'y',1653895011.8185847,1653895011.9622288
0,'y',1653895014.1384387,1653895014.2980528
1,'a',1653895014.4185145,1653895014.5384107
2,'w',1653895014.6826043,1653895014.8187115
3,'n',1653895014.842671,1653895014.9623325
4,'s',1653895014.978289,1653895015.1079519
0,'d',1653895017.0986073,1653895017.2023325
1,'i',1653895017.178459,1653895017.3622608
2,'n',1653895017.2987335,1653895017.442063
3,'g',1653895017.4180703,1653895017.5386012
4,'o',1653895017.56292,1653895017.6820278
0,'d',1653895019.594385,1653895019.7942092
1,'e',1653895019.6985323,1653895019.874323
2,'a',1653895019.7540126,1653895019.954246
3,'t',1653895020.002291,1653895020.1386023
4,'h',1653895020.162144,1653895020.2588909
0,'u',1653895022.6355338,1653895022.8023655
1,'n',1653895022.7222626,1653895022.8827755
2,'z',1653895022.9624937,1653895023.0987258
3,'i',1653895023.0826824,1653895023.178838
4,'p',1653895023.3460433,1653895023.4820619
0,'d',1653895026.0430093,1653895026.1622458
