,key,press_time,release_time
0,'w',1653466114.7082996,1653466114.8041892
1,'e',1653466114.9133115,1653466115.0091896
2,'n',1653466115.0533016,1653466115.1373105
3,'c',1653466115.2693796,1653466115.3663068
4,'h',1653466115.3903117,1653466115.474554
0,'e',1653466117.72105,1653466117.829074
1,'a',1653466117.8852563,1653466117.982299
2,'r',1653466118.0812964,1653466118.1652744
3,'l',1653466118.3195539,1653466118.4166641
4,'y',1653466118.5038636,1653466118.588304
0,'r',1653466120.4983194,1653466120.634302
1,'e',1653466120.5723147,1653466120.6933148
2,'l',1653466120.706318,1653466120.7903128
3,'a',1653466120.8583267,1653466120.9663012
4,'x',1653466121.2703834,1653466121.3712993
0,'q',1653466123.4072978,1653466123.5035717
1,'u',1653466123.547582,1653466123.6706111
2,'i',1653466123.6216006,1653466123.7182982
3,'c',1653466123.8402963,1653466123.9242992
4,'k',1653466124.0773063,1653466124.1745574
0,'x',1653466126.2683156,1653466126.3643355
1,'e',1653466126.4953017,1653466126.5675664
2,'r',1653466126.6985571,1653466126.7825642
3,'u',1653466126.9673052,1653466127.0642965
4,'s',1653466127.1852992,1653466127.282563
0,'r',1653466129.2266073,1653466129.3222995
1,'i',1653466129.4303007,1653466129.5915327
2,'n',1653466129.5173001,1653466129.6653066
3,'s',1653466129.7105722,1653466129.807304
4,'e',1653466129.9163153,1653466130.016495
0,'h',1653466132.0137217,1653466132.085484
1,'e',1653466132.1192923,1653466132.2402973
2,'r',1653466132.359578,1653466132.443301
3,'b',1653466132.520301,1653466132.604518
4,'s',1653466132.7136586,1653466132.8233094
0,'f',1653466134.8073094,1653466134.9173033
1,'o',1653466134.9403088,1653466135.0365765
2,'a',1653466135.0935762,1653466135.1652997
3,'m',1653466135.2093017,1653466135.3305852
4,'y',1653466135.4305747,1653466135.5145948
0,'y',1653466137.5873084,1653466137.6715794
1,'a',1653466137.716585,1653466137.813302
2,'w',1653466137.9863148,1653466138.13259
3,'n',1653466138.2625644,1653466138.3483095
4,'s',1653466138.4693007,1653466138.5773187
0,'d',1653466140.5422337,1653466140.6392896
1,'i',1653466140.7063081,1653466140.8665245
2,'n',1653466140.8053312,1653466140.939541
3,'g',1653466140.9515433,1653466141.0745935
4,'o',1653466141.1096005,1653466141.230627
0,'d',1653466143.227301,1653466143.3242989
1,'e',1653466143.3803499,1653466143.489428
2,'a',1653466143.5230174,1653466143.608313
3,'t',1653466143.7173069,1653466143.8163028
4,'h',1653466143.882317,1653466143.980742
0,'u',1653466146.2463002,1653466146.3185985
1,'n',1653466146.396818,1653466146.5051765
2,'z',1653466146.6666498,1653466146.7623086
3,'i',1653466146.8827467,1653466146.969311
