,Results,Prediction,Accuracy,99/216,45.83%
0,adhy,hr,0.99999964,Nope,
1,adhy,hr,0.99999976,Nope,
2,adhy,hr,0.99999976,Nope,
3,adhy,hr,0.999998,Nope,
4,adhy,hr,0.9999987,Nope,
5,adhy,hr,0.9999994,Nope,
6,adhy,hr,0.9999995,Nope,
7,adhy,hr,0.99999964,Nope,
8,adhy,hr,0.99999964,Nope,
9,adhy,chris,0.99999976,Nope,
10,adhy,chris,0.99999976,Nope,
11,adhy,chris,0.99999976,Nope,
12,adhy,chris,0.99999964,Nope,
13,adhy,chris,0.99999964,Nope,
14,adhy,chris,0.99999964,Nope,
15,adhy,chris,0.99999976,Nope,
16,adhy,chris,0.99999964,Nope,
17,adhy,chris,0.99999964,Nope,
18,adhy,hr,0.9999126,Nope,
19,adhy,hr,0.9999995,Nope,
20,adhy,hr,0.99999964,Nope,
21,adhy,cy,0.9591488,Nope,
22,adhy,hr,0.9992611,Nope,
23,adhy,hr,0.99995005,Nope,
24,adhy,hr,0.85414696,Nope,
25,adhy,hr,0.999998,Nope,
26,adhy,hr,0.9999944,Nope,
27,andy,cy,0.9999989,Nope,
28,andy,cy,0.9999989,Nope,
29,andy,cy,0.9999988,Nope,
30,andy,cy,0.99999905,Nope,
31,andy,cy,0.99999905,Nope,
32,andy,cy,0.9999989,Nope,
33,andy,cy,0.99999905,Nope,
34,andy,cy,0.99999905,Nope,
35,andy,cy,0.99999905,Nope,
36,andy,andy,0.99998975,Match,
37,andy,andy,0.999998,Match,
38,andy,andy,0.99999726,Match,
39,andy,andy,0.9999974,Match,
40,andy,andy,0.9999987,Match,
41,andy,andy,0.99999857,Match,
42,andy,andy,0.99999785,Match,
43,andy,andy,0.9999987,Match,
44,andy,andy,0.99999857,Match,
45,andy,andy,0.99999607,Match,
46,andy,andy,0.9999962,Match,
47,andy,andy,0.9999975,Match,
48,andy,andy,0.99999726,Match,
49,andy,andy,0.9999976,Match,
50,andy,andy,0.99999785,Match,
51,andy,andy,0.9999975,Match,
52,andy,andy,0.9999968,Match,
53,andy,andy,0.9999964,Match,
54,bryce,bryce,0.99999666,Match,
55,bryce,bryce,0.999998,Match,
56,bryce,bryce,0.999998,Match,
57,bryce,bryce,0.999998,Match,
58,bryce,bryce,0.99999833,Match,
59,bryce,bryce,0.99999785,Match,
60,bryce,bryce,0.9999982,Match,
61,bryce,bryce,0.9999987,Match,
62,bryce,bryce,0.99999785,Match,
63,bryce,cy,0.9609451,Nope,
64,bryce,cy,0.7216965,Nope,
65,bryce,cy,0.9999825,Nope,
66,bryce,adhy,0.99998796,Nope,
67,bryce,adhy,0.9999994,Nope,
68,bryce,adhy,0.99999726,Nope,
69,bryce,adhy,0.9998616,Nope,
70,bryce,adhy,0.9999989,Nope,
71,bryce,adhy,0.9999584,Nope,
72,bryce,cy,0.9997501,Nope,
73,bryce,hr,0.92627585,Nope,
74,bryce,cy,0.9986584,Nope,
75,bryce,cy,0.3634182,Nope,
76,bryce,bryce,0.9221212,Match,
77,bryce,andy,0.6204592,Nope,
78,bryce,cy,0.64535034,Nope,
79,bryce,bryce,0.99912685,Match,
80,bryce,andy,0.79598063,Nope,
81,chris,chris,0.9958353,Match,
82,chris,andy,0.55728215,Nope,
83,chris,chris,0.9948447,Match,
84,chris,andy,0.83254933,Nope,
85,chris,andy,0.9515102,Nope,
86,chris,chris,0.4963513,Match,
87,chris,chris,0.8372753,Match,
88,chris,andy,0.83516335,Nope,
89,chris,chris,0.97020143,Match,
90,chris,andy,0.92908335,Nope,
91,chris,andy,0.9841405,Nope,
92,chris,andy,0.95973986,Nope,
93,chris,chris,0.72065455,Match,
94,chris,andy,0.8294914,Nope,
95,chris,andy,0.73351395,Nope,
96,chris,chris,0.52561945,Match,
97,chris,andy,0.9513792,Nope,
98,chris,andy,0.8859372,Nope,
99,chris,hr,0.99999976,Nope,
100,chris,hr,0.99999976,Nope,
101,chris,hr,0.99999976,Nope,
102,chris,hr,0.99999976,Nope,
103,chris,hr,0.99999976,Nope,
104,chris,hr,0.99999964,Nope,
105,chris,hr,0.99999976,Nope,
106,chris,hr,0.99999976,Nope,
107,chris,hr,0.99999976,Nope,
108,cy,ys,0.9903148,Nope,
109,cy,ys,0.9965365,Nope,
110,cy,ys,0.98557425,Nope,
111,cy,ys,0.85907763,Nope,
112,cy,ys,0.98801404,Nope,
113,cy,ys,0.6539624,Nope,
114,cy,ys,0.96729916,Nope,
115,cy,ys,0.99991226,Nope,
116,cy,ys,0.9675812,Nope,
117,cy,hr,0.99574596,Nope,
118,cy,hr,0.9999995,Nope,
119,cy,hr,0.9999993,Nope,
120,cy,hr,0.99999213,Nope,
121,cy,hr,0.9999995,Nope,
