,Results,Prediction,Accuracy,428/540,79.25%
0,adhy,adhy,0.99998546,Match,
1,adhy,adhy,0.99998355,Match,
2,adhy,adhy,0.9999856,Match,
3,adhy,adhy,0.9999757,Match,
4,adhy,adhy,0.99998605,Match,
5,adhy,adhy,0.999984,Match,
6,adhy,adhy,0.9999826,Match,
7,adhy,adhy,0.99998164,Match,
8,adhy,adhy,0.99998474,Match,
9,adhy,chris,0.9996698,Nope,
10,adhy,chris,0.99995196,Nope,
11,adhy,chris,0.9999596,Nope,
12,adhy,chris,0.99558157,Nope,
13,adhy,chris,0.99670154,Nope,
14,adhy,chris,0.9998747,Nope,
15,adhy,chris,0.9999373,Nope,
16,adhy,chris,0.99994063,Nope,
17,adhy,chris,0.999887,Nope,
18,adhy,chris,0.995054,Nope,
19,adhy,chris,0.99997103,Nope,
20,adhy,chris,0.9999503,Nope,
21,adhy,chris,0.9999784,Nope,
22,adhy,chris,0.99982905,Nope,
23,adhy,chris,0.9999652,Nope,
24,adhy,chris,0.9988876,Nope,
25,adhy,chris,0.9999565,Nope,
26,adhy,chris,0.9999645,Nope,
27,adhy,adhy,0.99978584,Match,
28,adhy,adhy,0.9991474,Match,
29,adhy,adhy,0.9992879,Match,
30,adhy,adhy,0.97903067,Match,
31,adhy,adhy,0.9858636,Match,
32,adhy,adhy,0.99825126,Match,
33,adhy,adhy,0.9995142,Match,
34,adhy,adhy,0.9986721,Match,
35,adhy,adhy,0.9983235,Match,
36,adhy,jc,0.9999976,Nope,
37,adhy,jc,0.9999962,Nope,
38,adhy,jc,0.99999774,Nope,
39,adhy,jc,0.99999666,Nope,
40,adhy,jc,0.9999958,Nope,
41,adhy,jc,0.99998546,Nope,
42,adhy,jc,0.99999774,Nope,
43,adhy,jc,0.9999981,Nope,
44,adhy,jc,0.99999475,Nope,
45,adhy,andy,0.99964726,Nope,
46,adhy,andy,0.99995756,Nope,
47,adhy,andy,0.9999093,Nope,
48,adhy,andy,0.9999423,Nope,
49,adhy,andy,0.99968517,Nope,
50,adhy,andy,0.99997115,Nope,
51,adhy,andy,0.999908,Nope,
52,adhy,andy,0.9999467,Nope,
53,adhy,andy,0.99997175,Nope,
54,adhy,adhy,0.9535247,Match,
55,adhy,adhy,0.99967706,Match,
56,adhy,adhy,0.9999702,Match,
57,adhy,adhy,0.99982965,Match,
58,adhy,andy,0.88762367,Nope,
59,adhy,adhy,0.68727857,Match,
60,adhy,adhy,0.8163203,Match,
61,adhy,adhy,0.9102494,Match,
62,adhy,adhy,0.9974726,Match,
63,adhy,jc,0.9278432,Nope,
64,adhy,jc,0.7051135,Nope,
65,adhy,jc,0.81681955,Nope,
66,adhy,jc,0.6215105,Nope,
67,adhy,jc,0.89854926,Nope,
68,adhy,jc,0.7140343,Nope,
69,adhy,bryce,0.529379,Nope,
70,adhy,jc,0.59799963,Nope,
71,adhy,jc,0.83977616,Nope,
72,adhy,adhy,0.5641272,Match,
73,adhy,chris,0.5381205,Nope,
74,adhy,adhy,0.80023634,Match,
75,adhy,adhy,0.85394305,Match,
76,adhy,chris,0.9980233,Nope,
77,adhy,chris,0.97773176,Nope,
78,adhy,adhy,0.64449465,Match,
79,adhy,chris,0.98239213,Nope,
80,adhy,chris,0.73508656,Nope,
81,adhy,andy,0.9999604,Nope,
82,adhy,andy,0.9999689,Nope,
83,adhy,andy,0.9999703,Nope,
84,adhy,andy,0.99997616,Nope,
85,adhy,andy,0.9982394,Nope,
86,adhy,andy,0.9999721,Nope,
87,adhy,andy,0.9999707,Nope,
88,adhy,andy,0.9999604,Nope,
89,adhy,andy,0.9999685,Nope,
90,andy,andy,0.9999827,Match,
91,andy,andy,0.99998224,Match,
92,andy,andy,0.9999826,Match,
93,andy,andy,0.999982,Match,
94,andy,andy,0.9999821,Match,
95,andy,andy,0.99998176,Match,
96,andy,andy,0.9999831,Match,
97,andy,andy,0.9999833,Match,
98,andy,andy,0.9999831,Match,
99,andy,andy,0.9999633,Match,
100,andy,andy,0.9999616,Match,
101,andy,andy,0.99995875,Match,
102,andy,andy,0.9999597,Match,
103,andy,andy,0.9999615,Match,
104,andy,andy,0.9999603,Match,
105,andy,andy,0.99996126,Match,
106,andy,andy,0.99995935,Match,
107,andy,andy,0.99996066,Match,
108,andy,andy,0.99997234,Match,
109,andy,andy,0.9999777,Match,
110,andy,andy,0.9999764,Match,
111,andy,andy,0.9999759,Match,
112,andy,andy,0.99997437,Match,
113,andy,andy,0.9999747,Match,
114,andy,andy,0.9999778,Match,
115,andy,andy,0.9999771,Match,
116,andy,andy,0.99997735,Match,
117,andy,andy,0.9999614,Match,
118,andy,andy,0.9999317,Match,
119,andy,andy,0.9999449,Match,
120,andy,andy,0.9999664,Match,
121,andy,andy,0.99996376,Match,
122,andy,andy,0.99996233,Match,
123,andy,andy,0.9999651,Match,
124,andy,andy,0.99997103,Match,
125,andy,andy,0.9999442,Match,
126,andy,andy,0.99995816,Match,
127,andy,andy,0.999961,Match,
128,andy,andy,0.99996066,Match,
129,andy,andy,0.9999584,Match,
130,andy,andy,0.999967,Match,
131,andy,andy,0.99995553,Match,
132,andy,andy,0.9999554,Match,
133,andy,andy,0.9999653,Match,
134,andy,andy,0.9999268,Match,
135,andy,andy,0.9999815,Match,
136,andy,andy,0.99997735,Match,
