Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
adhy,w_e,23_5,23,5,0.152282238,-0.073435545,0.078846693,0.088479042,0.24076128,0.161914587
adhy,e_n,5_14,5,14,0.161914587,0.102869987,0.264784575,0.248507261,0.410421848,0.145637274
adhy,n_c,14_3,14,3,0.145637274,0.022859812,0.168497086,0.174677372,0.320314646,0.15181756
adhy,c_h,3_8,3,8,0.15181756,-0.06406951,0.087748051,0.063924789,0.21574235,0.127994299
adhy,e_a,5_1,5,1,0.111913443,0.151502371,0.263415813,0.288136005,0.400049448,0.136633635
adhy,a_r,1_18,1,18,0.136633635,-0.016052008,0.120581627,0.119995832,0.256629467,0.13604784
adhy,r_l,18_12,18,12,0.13604784,-0.08032155,0.05572629,0.056243896,0.192291737,0.136565447
adhy,l_y,12_25,12,25,0.136565447,0.048190832,0.184756279,0.144069672,0.280635118,0.095878839
adhy,r_e,18_5,18,5,0.144175053,-0.088620663,0.05555439,0.031520605,0.175695658,0.120141268
adhy,e_l,5_12,5,12,0.120141268,0.024039745,0.144181013,0.136069059,0.256210327,0.112029314
adhy,l_a,12_1,12,1,0.112029314,-0.080635786,0.031393528,0.032416105,0.144445419,0.113051891
adhy,a_x,1_24,1,24,0.113051891,0.143986702,0.257038593,0.264245987,0.377297878,0.120259285
adhy,q_u,17_21,17,21,0.15277648,-0.081123829,0.071652651,0.05498147,0.20775795,0.136105299
adhy,u_i,21_9,21,9,0.136105299,-0.079724073,0.056381226,0.072170973,0.208276272,0.151895046
adhy,i_c,9_3,9,3,0.151895046,0.016159296,0.168054342,0.143191338,0.295086384,0.127032042
adhy,c_k,3_11,3,11,0.127032042,-0.054537058,0.072494984,0.048565149,0.175597191,0.103102207
adhy,x_e,24_5,24,5,0.070740461,0.145027399,0.21576786,0.288192272,0.358932734,0.143164873
adhy,e_r,5_18,5,18,0.143164873,-0.015681267,0.127483606,0.11303854,0.256203413,0.128719807
adhy,r_u,18_21,18,21,0.128719807,-0.048122883,0.080596924,0.056020021,0.184739828,0.104142904
adhy,u_s,21_19,21,19,0.104142904,-0.015893698,0.088249207,0.095749617,0.199892521,0.111643314
adhy,r_i,18_9,18,9,0.136279106,-0.088090181,0.048188925,0.02332449,0.159603596,0.111414671
adhy,i_n,9_14,9,14,0.111414671,0.072463036,0.183877707,0.183372736,0.294787407,0.1109097
adhy,n_s,14_19,14,19,0.1109097,0.112555504,0.223465204,0.264958382,0.375868082,0.152402878
adhy,s_e,19_5,19,5,0.152402878,-0.015091419,0.137311459,0.04771471,0.200117588,0.062806129
adhy,h_e,8_5,8,5,0.102554798,-0.023999453,0.078555346,0.136918306,0.239473104,0.160917759
adhy,e_r,5_18,5,18,0.160917759,-0.08091712,0.080000639,0.03918767,0.200105429,0.12010479
adhy,r_b,18_2,18,2,0.12010479,0.096751451,0.216856241,0.192845106,0.312949896,0.096093655
adhy,b_s,2_19,2,19,0.096093655,0.047929049,0.144022703,0.167943954,0.264037609,0.120014906
adhy,f_o,6_15,6,15,0.128346682,-0.032605648,0.095741034,0.09458828,0.222934961,0.127193928
adhy,o_a,15_1,15,1,0.127193928,-0.023996592,0.103197336,0.088001728,0.215195656,0.11199832
adhy,a_m,1_13,1,13,0.11199832,-0.023999214,0.087999105,0.039995909,0.151994228,0.063995123
adhy,m_y,13_25,13,25,0.063995123,0.121429443,0.185424566,0.176789045,0.240784168,0.055359602
adhy,y_a,25_1,25,1,0.120199203,0.231383562,0.351582766,0.384114027,0.504313231,0.152730465
adhy,a_w,1_23,1,23,0.152730465,0.023789883,0.176520348,0.144100189,0.296830654,0.120310307
adhy,w_n,23_14,23,14,0.120310307,-0.016181469,0.104128838,0.071803093,0.1921134,0.087984562
adhy,n_s,14_19,14,19,0.087984562,0.040293932,0.128278494,0.144832134,0.232816696,0.104538202
adhy,d_i,4_9,4,9,0.176048756,-0.087830544,0.088218212,0.072975159,0.249023914,0.160805702
adhy,i_n,9_14,9,14,0.160805702,-0.048652411,0.112153292,0.119455814,0.280261517,0.168108225
adhy,n_g,14_7,14,7,0.168108225,-0.056047201,0.112061024,0.070983648,0.239091873,0.127030849
adhy,g_o,7_15,7,15,0.127030849,-0.047996283,0.079034567,0.057008982,0.184039831,0.105005264
