,Results,Prediction,Accuracy,"chris, cy, gerald, 131/140"
0,adhy,chris,0.99998915,Nope
1,adhy,chris,0.99352735,Nope
2,adhy,chris,0.9999881,Nope
3,adhy,chris,0.99998724,Nope
4,adhy,chris,0.9999865,Nope
5,adhy,chris,0.9926184,Nope
6,adhy,chris,0.9967313,Nope
7,adhy,chris,0.8980259,Nope
8,adhy,chris,0.999956,Nope
9,adhy,chris,0.9937837,Nope
10,adhy,gerald,0.9999529,Nope
11,adhy,cy,0.77619934,Nope
12,adhy,chris,0.98705345,Nope
13,adhy,cy,0.99616563,Nope
14,adhy,chris,0.6195424,Nope
15,adhy,cy,0.9602725,Nope
16,adhy,cy,0.9280516,Nope
17,adhy,cy,0.99490213,Nope
18,adhy,cy,0.99219984,Nope
19,adhy,cy,0.99993396,Nope
20,adhy,cy,0.98717195,Nope
21,adhy,cy,0.99831533,Nope
22,adhy,cy,0.9999758,Nope
23,adhy,cy,0.99835134,Nope
24,adhy,chris,0.99998724,Nope
25,adhy,chris,0.9999329,Nope
26,adhy,chris,0.99998796,Nope
27,adhy,chris,0.99995875,Nope
28,adhy,chris,0.9999614,Nope
29,adhy,chris,0.998453,Nope
30,adhy,chris,0.9999883,Nope
31,adhy,cy,0.6629546,Nope
32,adhy,chris,0.9964187,Nope
33,adhy,chris,0.8678287,Nope
34,adhy,chris,0.9999465,Nope
35,adhy,chris,0.6845073,Nope
36,adhy,cy,0.99972445,Nope
37,adhy,gerald,0.9943017,Nope
38,adhy,cy,0.9997415,Nope
39,adhy,cy,0.98642,Nope
40,adhy,cy,0.98385346,Nope
41,adhy,cy,0.99633646,Nope
42,adhy,chris,0.9963427,Nope
43,adhy,cy,0.9608881,Nope
44,adhy,chris,0.5943124,Nope
45,adhy,cy,0.96165943,Nope
46,adhy,chris,0.98516697,Nope
47,adhy,chris,0.60731727,Nope
48,alan,gerald,0.99997723,Nope
49,alan,gerald,0.9999764,Nope
50,alan,gerald,0.9999732,Nope
51,alan,gerald,0.9999763,Nope
52,alan,gerald,0.99997485,Nope
53,alan,gerald,0.99997306,Nope
54,alan,gerald,0.9999771,Nope
55,alan,gerald,0.99997604,Nope
56,alan,gerald,0.9999696,Nope
57,alan,gerald,0.9999764,Nope
58,alan,gerald,0.9999746,Nope
59,alan,gerald,0.99996936,Nope
60,alan,gerald,0.9999769,Nope
61,alan,gerald,0.999977,Nope
62,alan,gerald,0.9999763,Nope
63,alan,gerald,0.9999769,Nope
64,alan,gerald,0.999977,Nope
65,alan,gerald,0.9999746,Nope
66,alan,gerald,0.99997663,Nope
67,alan,gerald,0.9999764,Nope
68,alan,gerald,0.9999759,Nope
69,alan,gerald,0.99997663,Nope
70,alan,gerald,0.99997556,Nope
71,alan,gerald,0.99997485,Nope
72,alan,gerald,0.999974,Nope
73,alan,gerald,0.99996865,Nope
74,alan,gerald,0.999977,Nope
75,alan,gerald,0.9999745,Nope
76,alan,gerald,0.9999751,Nope
77,alan,gerald,0.9999676,Nope
78,alan,gerald,0.99997675,Nope
79,alan,gerald,0.9999769,Nope
80,alan,gerald,0.99997723,Nope
81,alan,gerald,0.9999769,Nope
82,alan,gerald,0.999977,Nope
83,alan,gerald,0.99997735,Nope
84,alan,gerald,0.9999738,Nope
85,alan,gerald,0.99997115,Nope
86,alan,gerald,0.99997675,Nope
87,alan,gerald,0.99997413,Nope
88,alan,gerald,0.9999666,Nope
89,alan,gerald,0.99997485,Nope
90,alan,gerald,0.99996924,Nope
91,alan,gerald,0.9999536,Nope
92,alan,gerald,0.99997354,Nope
93,alan,gerald,0.99997056,Nope
94,alan,gerald,0.999908,Nope
95,alan,gerald,0.9999757,Nope
96,andy,chris,0.9999881,Nope
97,andy,chris,0.9999901,Nope
98,andy,chris,0.99712116,Nope
99,andy,chris,0.9938018,Nope
100,andy,chris,0.9999869,Nope
101,andy,chris,0.9999877,Nope
102,andy,chris,0.9973937,Nope
103,andy,chris,0.9930305,Nope
104,andy,chris,0.7251182,Nope
105,andy,cy,0.7357502,Nope
106,andy,chris,0.984812,Nope
107,andy,chris,0.9999728,Nope
108,andy,chris,0.9999887,Nope
109,andy,chris,0.9947218,Nope
110,andy,chris,0.99998987,Nope
111,andy,chris,0.9995913,Nope
