,Results,Prediction,Accuracy,cy jonah qk 108/140
0,adhy,adhy,0.99987173,Match
1,adhy,qk,0.9811608,Nope
2,adhy,adhy,0.99799734,Match
3,adhy,qk,0.99958104,Nope
4,adhy,qk,0.9996296,Nope
5,adhy,adhy,0.6706094,Match
6,adhy,qk,0.999689,Nope
7,adhy,qk,0.9997003,Nope
8,adhy,qk,0.9996915,Nope
9,adhy,qk,0.999705,Nope
10,adhy,qk,0.99969995,Nope
11,adhy,qk,0.9997042,Nope
12,adhy,adhy,0.97850263,Match
13,adhy,qk,0.9997049,Nope
14,adhy,adhy,0.9991509,Match
15,adhy,qk,0.5758555,Nope
16,adhy,qk,0.9962261,Nope
17,adhy,adhy,0.9569006,Match
18,adhy,qk,0.9996761,Nope
19,adhy,qk,0.99969876,Nope
20,adhy,qk,0.99857616,Nope
21,adhy,qk,0.99961215,Nope
22,adhy,cy,0.99377924,Nope
23,adhy,qk,0.9996942,Nope
24,adhy,adhy,0.99985504,Match
25,adhy,qk,0.9996959,Nope
26,adhy,adhy,0.99986434,Match
27,adhy,adhy,0.8726904,Match
28,adhy,qk,0.99962413,Nope
29,adhy,adhy,0.99985313,Match
30,adhy,qk,0.99453604,Nope
31,adhy,qk,0.999713,Nope
32,adhy,adhy,0.97239155,Match
33,adhy,qk,0.9996884,Nope
34,adhy,qk,0.99953794,Nope
35,adhy,qk,0.99576277,Nope
36,adhy,qk,0.99960214,Nope
37,adhy,qk,0.99968946,Nope
38,adhy,qk,0.9989999,Nope
39,adhy,qk,0.92628515,Nope
40,adhy,qk,0.99966264,Nope
41,adhy,qk,0.9996228,Nope
42,adhy,adhy,0.94836617,Match
43,adhy,qk,0.99971336,Nope
44,adhy,adhy,0.9998586,Match
45,adhy,qk,0.9981111,Nope
46,adhy,adhy,0.99986374,Match
47,adhy,qk,0.9997019,Nope
48,alan,qk,0.9997143,Nope
49,alan,qk,0.9997142,Nope
50,alan,qk,0.99971145,Nope
51,alan,qk,0.99971515,Nope
52,alan,qk,0.9997149,Nope
53,alan,qk,0.9996964,Nope
54,alan,qk,0.99971396,Nope
55,alan,qk,0.99971384,Nope
56,alan,qk,0.99971026,Nope
57,alan,qk,0.9997148,Nope
58,alan,qk,0.99971443,Nope
59,alan,qk,0.9996506,Nope
60,alan,qk,0.99971324,Nope
61,alan,qk,0.9997117,Nope
62,alan,qk,0.9997118,Nope
63,alan,qk,0.9997141,Nope
64,alan,qk,0.99971217,Nope
65,alan,qk,0.99971133,Nope
66,alan,qk,0.99971455,Nope
67,alan,qk,0.9997141,Nope
68,alan,qk,0.9997123,Nope
69,alan,qk,0.99971515,Nope
70,alan,qk,0.9997143,Nope
71,alan,qk,0.999708,Nope
72,alan,qk,0.99971265,Nope
73,alan,qk,0.9997098,Nope
74,alan,qk,0.99971384,Nope
75,alan,qk,0.99971384,Nope
76,alan,qk,0.9997116,Nope
77,alan,qk,0.99966776,Nope
78,alan,qk,0.9997142,Nope
79,alan,qk,0.999713,Nope
80,alan,qk,0.9997141,Nope
81,alan,qk,0.99971396,Nope
82,alan,qk,0.99971455,Nope
83,alan,qk,0.9997079,Nope
84,alan,qk,0.9997117,Nope
85,alan,qk,0.99970824,Nope
86,alan,qk,0.99971277,Nope
87,alan,qk,0.9997123,Nope
88,alan,qk,0.99971014,Nope
89,alan,qk,0.99971384,Nope
90,alan,qk,0.9996965,Nope
91,alan,qk,0.9990232,Nope
92,alan,qk,0.9997092,Nope
93,alan,qk,0.999706,Nope
94,alan,qk,0.9996921,Nope
95,alan,qk,0.99971026,Nope
96,andy,adhy,0.9998702,Nope
97,andy,adhy,0.99986625,Nope
98,andy,adhy,0.9998727,Nope
99,andy,adhy,0.99987066,Nope
100,andy,adhy,0.99987054,Nope
101,andy,adhy,0.99986744,Nope
102,andy,adhy,0.99758697,Nope
103,andy,adhy,0.99861634,Nope
104,andy,adhy,0.99986625,Nope
105,andy,adhy,0.9998528,Nope
106,andy,adhy,0.9998661,Nope
107,andy,adhy,0.99984336,Nope
108,andy,adhy,0.9998752,Nope
109,andy,adhy,0.997825,Nope
110,andy,adhy,0.9997112,Nope
111,andy,adhy,0.9950482,Nope
112,andy,adhy,0.99987423,Nope
113,andy,adhy,0.9995882,Nope
114,andy,adhy,0.9998709,Nope
115,andy,adhy,0.9997315,Nope
116,andy,adhy,0.99917006,Nope
117,andy,adhy,0.9893497,Nope
118,andy,adhy,0.99987113,Nope
119,andy,adhy,0.99985003,Nope
120,andy,adhy,0.9998704,Nope
121,andy,adhy,0.9998635,Nope
