,Results,Prediction,Accuracy,"ch, cy, gerald 104/144"
0,andy,cy,0.994785,Nope
1,andy,cy,0.9886253,Nope
2,andy,cy,0.9845595,Nope
3,andy,cy,0.9955161,Nope
4,andy,cy,0.99214387,Nope
5,andy,cy,0.9901314,Nope
6,andy,cy,0.99437296,Nope
7,andy,cy,0.9879084,Nope
8,andy,cy,0.98190844,Nope
9,andy,cy,0.9963289,Nope
10,andy,cy,0.991891,Nope
11,andy,cy,0.98920524,Nope
12,andy,cy,0.98597336,Nope
13,andy,cy,0.9943751,Nope
14,andy,cy,0.98315436,Nope
15,andy,cy,0.99692035,Nope
16,andy,cy,0.99305105,Nope
17,andy,cy,0.99107856,Nope
18,andy,cy,0.98754627,Nope
19,andy,cy,0.99495655,Nope
20,andy,cy,0.986875,Nope
21,andy,cy,0.9957824,Nope
22,andy,cy,0.99333864,Nope
23,andy,cy,0.9909889,Nope
24,andy,cy,0.9865927,Nope
25,andy,cy,0.9944391,Nope
26,andy,cy,0.9946825,Nope
27,andy,cy,0.9894107,Nope
28,andy,cy,0.992312,Nope
29,andy,cy,0.9911692,Nope
30,andy,cy,0.98966306,Nope
31,andy,cy,0.9970108,Nope
32,andy,cy,0.9973673,Nope
33,andy,cy,0.9905487,Nope
34,andy,cy,0.9958448,Nope
35,andy,cy,0.9934463,Nope
36,andy,cy,0.98209757,Nope
37,andy,cy,0.9924838,Nope
38,andy,cy,0.9936625,Nope
39,andy,cy,0.98687,Nope
40,andy,cy,0.9770453,Nope
41,andy,cy,0.99574125,Nope
42,andy,cy,0.9805257,Nope
43,andy,cy,0.9912855,Nope
44,andy,cy,0.9932434,Nope
45,andy,cy,0.9856936,Nope
46,andy,cy,0.97771627,Nope
47,andy,cy,0.9945844,Nope
48,azfar,ch,0.9988882,Nope
49,azfar,ch,0.9989342,Nope
50,azfar,ch,0.92317027,Nope
51,azfar,gerald,0.99996984,Nope
52,azfar,ch,0.8578993,Nope
53,azfar,ch,0.71158963,Nope
54,azfar,cy,0.9035029,Nope
55,azfar,cy,0.90381205,Nope
56,azfar,cy,0.9885107,Nope
57,azfar,gerald,0.9985372,Nope
58,azfar,cy,0.990387,Nope
59,azfar,cy,0.99167633,Nope
60,azfar,ch,0.9981091,Nope
61,azfar,cy,0.8953555,Nope
62,azfar,cy,0.9326263,Nope
63,azfar,gerald,0.9998652,Nope
64,azfar,cy,0.95491254,Nope
65,azfar,cy,0.975255,Nope
66,azfar,ch,0.99751663,Nope
67,azfar,cy,0.9034325,Nope
68,azfar,cy,0.94574034,Nope
69,azfar,gerald,0.99997973,Nope
70,azfar,cy,0.9386837,Nope
71,azfar,cy,0.9708034,Nope
72,azfar,ch,0.85502017,Nope
73,azfar,cy,0.9837271,Nope
74,azfar,cy,0.90972745,Nope
75,azfar,cy,0.902247,Nope
76,azfar,cy,0.99128586,Nope
77,azfar,cy,0.99258065,Nope
78,azfar,gerald,0.99998283,Nope
79,azfar,gerald,0.99998105,Nope
80,azfar,gerald,0.9999826,Nope
81,azfar,gerald,0.99998295,Nope
82,azfar,gerald,0.99998176,Nope
83,azfar,gerald,0.9999813,Nope
84,azfar,ch,0.71903145,Nope
85,azfar,cy,0.98751986,Nope
86,azfar,cy,0.9204695,Nope
87,azfar,cy,0.8990876,Nope
88,azfar,cy,0.9911028,Nope
89,azfar,gerald,0.99986815,Nope
90,azfar,ch,0.6723251,Nope
91,azfar,cy,0.9890497,Nope
92,azfar,cy,0.93955886,Nope
93,azfar,cy,0.9048303,Nope
94,azfar,cy,0.9920582,Nope
95,azfar,gerald,0.9996822,Nope
96,ch,gerald,0.74183816,Nope
97,ch,gerald,0.68409735,Nope
98,ch,gerald,0.58152527,Nope
99,ch,gerald,0.6578028,Nope
100,ch,ch,0.9943558,Match
101,ch,gerald,0.83973014,Nope
102,ch,ch,0.9838271,Match
103,ch,ch,0.87490165,Match
104,ch,ch,0.944174,Match
105,ch,ch,0.9798013,Match
106,ch,ch,0.9974299,Match
107,ch,ch,0.8494965,Match
108,ch,ch,0.843391,Match
109,ch,ch,0.99893683,Match
110,ch,ch,0.9785517,Match
111,ch,ch,0.9767338,Match
112,ch,ch,0.99898154,Match
113,ch,ch,0.8300148,Match
114,ch,gerald,0.9394889,Nope
115,ch,ch,0.9001702,Match
116,ch,gerald,0.7336527,Nope
117,ch,gerald,0.6525113,Nope
118,ch,ch,0.85569495,Match
119,ch,gerald,0.9193558,Nope
120,ch,gerald,0.8006393,Nope
121,ch,ch,0.9981274,Match
122,ch,ch,0.77637494,Match
123,ch,ch,0.7174594,Match
124,ch,ch,0.99055195,Match
125,ch,gerald,0.81722635,Nope
126,ch,gerald,0.772236,Nope
127,ch,ch,0.9986155,Match
128,ch,ch,0.72008544,Match
129,ch,ch,0.8271929,Match
