,key,press_time,release_time
0,'c',1655884507.706528,1655884507.8425233
1,'0',1655884508.122599,1655884508.2600677
2,'5',1655884508.2830565,1655884508.3707924
3,'m',1655884508.4345598,1655884508.5871205
4,'i',1655884508.5072236,1655884508.6595676
5,'c',1655884508.5625615,1655884508.7706692
6,'a',1655884508.682993,1655884508.8516347
7,'l',1655884508.7394364,1655884508.8265634
0,'c',1655884514.507332,1655884514.6346524
1,'0',1655884514.6117148,1655884514.7866473
2,'5',1655884514.7710636,1655884514.9477117
3,'m',1655884514.9637241,1655884515.09928
4,'i',1655884515.027246,1655884515.1550522
5,'c',1655884515.1226742,1655884515.2995987
6,'a',1655884515.2186599,1655884515.458547
7,'l',1655884515.2750406,1655884515.4266636
0,'c',1655884520.9789684,1655884521.132258
1,'0',1655884521.1947563,1655884521.3707466
2,'5',1655884521.5722108,1655884521.7878406
3,'m',1655884521.8277967,1655884521.9227757
4,'i',1655884521.8507476,1655884521.9710793
5,'c',1655884521.9467623,1655884522.1397154
6,'a',1655884522.0431445,1655884522.2276065
7,'l',1655884522.115267,1655884522.2754633
0,'c',1655884524.0592012,1655884524.2027647
1,'0',1655884524.3235145,1655884524.5475607
2,'5',1655884524.5718591,1655884524.7475474
3,'m',1655884524.8196673,1655884525.0109468
4,'i',1655884524.9630194,1655884525.0516105
5,'c',1655884524.987851,1655884525.1475222
6,'a',1655884525.0678463,1655884525.2359352
7,'l',1655884525.2113714,1655884525.3397062
0,'c',1655884533.1236014,1655884533.2749562
1,'0',1655884533.4029276,1655884533.5480402
2,'5',1655884533.6269312,1655884533.819231
3,'m',1655884533.7711926,1655884533.93967
4,'i',1655884533.8671405,1655884534.011152
5,'c',1655884533.9789941,1655884534.1473966
6,'a',1655884534.068192,1655884534.2108605
7,'l',1655884534.1229346,1655884534.1949356
0,'p',1655884555.7400715,1655884555.8435745
1,'l',1655884555.7957253,1655884555.9801662
2,'a',1655884555.89926,1655884556.0512633
3,'y',1655884555.995959,1655884556.0993087
4,'4',1655884556.2677999,1655884556.443003
5,'p',1655884556.4192646,1655884556.5872657
6,'a',1655884556.507694,1655884556.651107
7,'y',1655884556.6756608,1655884556.8277304
0,'p',1655884558.4843512,1655884558.6122835
1,'l',1655884558.556236,1655884558.7162082
2,'a',1655884558.6674986,1655884558.7794585
3,'y',1655884558.7399163,1655884558.8679454
4,'4',1655884559.043264,1655884559.2122664
5,'p',1655884559.1883304,1655884559.3322382
6,'a',1655884559.2764242,1655884559.4353907
7,'y',1655884559.3564491,1655884559.5234861
0,'p',1655884561.1878839,1655884561.3084981
1,'l',1655884561.2839272,1655884561.4278362
2,'a',1655884561.331419,1655884561.4915514
3,'y',1655884561.4042892,1655884561.5076616
4,'4',1655884561.651276,1655884561.7722583
5,'p',1655884561.8598073,1655884562.003675
6,'a',1655884561.9477334,1655884562.116118
7,'y',1655884562.036591,1655884562.188505
0,'p',1655884569.3004148,1655884569.4603207
1,'l',1655884569.412258,1655884569.54853
2,'a',1655884569.4835393,1655884569.6434538
3,'y',1655884569.5715175,1655884569.7403986
4,'4',1655884569.6678667,1655884569.8046536
5,'p',1655884569.8284833,1655884570.01983
6,'a',1655884569.9722137,1655884570.1403348
7,'y',1655884570.1077774,1655884570.2678144
0,'p',1655884572.756415,1655884572.9160602
1,'l',1655884572.8915174,1655884573.0204618
2,'a',1655884572.9321127,1655884573.1160543
3,'y',1655884573.0767817,1655884573.267557
4,'4',1655884573.2435558,1655884573.3965166
5,'p',1655884573.4195082,1655884573.571694
6,'a',1655884573.5155134,1655884573.651975
7,'y',1655884573.5955791,1655884573.7804084
0,'4',1655885095.617014,1655885095.720403
1,'c',1655885095.8089077,1655885095.9529085
2,'h',1655885096.0561848,1655885096.1688852
3,'k',1655885096.488369,1655885096.607868
4,'h',1655885096.744344,1655885096.8638487
5,'1',1655885096.936206,1655885097.0729089
6,'d',1655885097.3204248,1655885097.4489653
7,'l',1655885097.7124774,1655885097.8325434
0,'4',1655885127.4329615,1655885127.5606978
1,'c',1655885127.6407244,1655885127.769427
2,'h',1655885127.8490756,1655885128.0007906
3,'k',1655885128.2646544,1655885128.4009905
4,'h',1655885128.4889722,1655885128.6255069
5,'1',1655885128.6410525,1655885128.7844508
6,'d',1655885128.904599,1655885129.0317323
7,'l',1655885129.2410774,1655885129.3940399
0,'4',1655885145.7531114,1655885145.8811207
1,'c',1655885146.009032,1655885146.176764
2,'h',1655885146.2811108,1655885146.416665
3,'k',1655885146.5606394,1655885146.672464
4,'h',1655885146.7687488,1655885146.88849
5,'1',1655885146.8563075,1655885146.9444737
6,'d',1655885147.0641906,1655885147.104452
7,'l',1655885147.7289321,1655885147.8420992
0,'4',1655885154.2886205,1655885154.424585
1,'c',1655885154.521391,1655885154.6885424
2,'h',1655885154.9855893,1655885155.1131496
3,'k',1655885155.3211007,1655885155.4080613
4,'h',1655885155.5370758,1655885155.6732934
5,'1',1655885155.6572936,1655885155.7930973
6,'d',1655885155.8486574,1655885155.9608788
7,'l',1655885156.008654,1655885156.0966678
0,'4',1655885157.6806326,1655885157.8084555
1,'c',1655885157.9203298,1655885158.0090425
2,'h',1655885158.1931138,1655885158.3045075
3,'k',1655885158.593145,1655885158.7046359
4,'h',1655885158.8165245,1655885158.9289331
5,'1',1655885158.8805256,1655885159.0008483
6,'d',1655885159.176621,1655885159.3210917
7,'l',1655885159.4330332,1655885159.5366342
0,'a',1655885166.0006523,1655885166.1766794
1,'1',1655885166.2650514,1655885166.3932488
2,'r',1655885166.4570622,1655885166.6000943
3,'c',1655885166.7369776,1655885166.8800893
4,'r',1655885167.087761,1655885167.184194
5,'2',1655885167.3837323,1655885167.5443642
6,'f',1655885167.5604596,1655885167.6966953
7,'t',1655885167.7850394,1655885167.912085
0,'a',1655885169.0403287,1655885169.1854665
1,'1',1655885169.2644668,1655885169.4245627
2,'r',1655885169.448608,1655885169.5854325
3,'c',1655885169.7368283,1655885169.8738956
4,'r',1655885170.1847441,1655885170.4252653
5,'2',1655885170.4013615,1655885170.5691092
6,'f',1655885170.8813899,1655885171.0011919
7,'t',1655885171.096715,1655885171.240123
0,'a',1655885172.6411884,1655885172.8008413
1,'1',1655885172.9280665,1655885173.0729542
2,'r',1655885173.0883977,1655885173.2569885
3,'c',1655885173.632919,1655885173.7839463
4,'r',1655885173.9053545,1655885174.0648131
5,'2',1655885174.0255308,1655885174.2081137
6,'f',1655885174.3359408,1655885174.4401155
7,'t',1655885174.5443501,1655885174.6801116
0,'a',1655885185.77697,1655885185.8885882
1,'1',1655885186.0087214,1655885186.1924999
2,'r',1655885186.1532102,1655885186.3128674
3,'c',1655885186.6247852,1655885186.8012364
4,'r',1655885187.1369839,1655885187.2959113
5,'2',1655885187.3212023,1655885187.4731643
6,'f',1655885187.6487565,1655885187.8172212
7,'t',1655885187.9125676,1655885188.0957508
0,'a',1655885189.353136,1655885189.4887166
1,'1',1655885189.624444,1655885189.8092012
2,'r',1655885189.944576,1655885190.0889823
3,'c',1655885190.7365167,1655885190.8488607
4,'r',1655885190.9537823,1655885191.0885365
5,'2',1655885191.16844,1655885191.3291776
6,'f',1655885191.5838501,1655885191.6728117
7,'t',1655885191.7692685,1655885191.8967352
0,'w',1655885214.2179222,1655885214.409246
1,'a',1655885214.3057392,1655885214.5214617
2,'n',1655885214.4407253,1655885214.5846512
3,'g',1655885214.5455465,1655885214.6967702
4,'1',1655885214.664576,1655885214.9203205
5,'2',1655885214.8008275,1655885215.0001843
6,'3',1655885215.0164983,1655885215.176653
7,'4',1655885215.2565238,1655885215.44874
0,'w',1655885219.7937553,1655885219.9853234
1,'a',1655885219.8890493,1655885220.080222
2,'n',1655885220.0487561,1655885220.1932077
3,'g',1655885220.1122427,1655885220.2737374
4,'1',1655885220.2971773,1655885220.4884706
5,'2',1655885220.3771067,1655885220.5609288
6,'3',1655885220.5447373,1655885220.641323
