,key,press_time,release_time
0,'c',1656318841.7484667,1656318841.8834655
1,'0',1656318842.3414576,1656318842.4504855
2,'5',1656318842.5924678,1656318842.6894765
3,'m',1656318842.765465,1656318842.8744688
4,'i',1656318842.928481,1656318843.0264661
5,'c',1656318843.1034331,1656318843.2404876
6,'a',1656318843.2274852,1656318843.3374681
7,'l',1656318843.3814619,1656318843.4684823
0,'c',1656318845.7034724,1656318845.8514686
1,'0',1656318846.2694724,1656318846.353466
2,'5',1656318846.5154858,1656318846.6125076
3,'m',1656318846.668519,1656318846.7544682
4,'i',1656318846.8514752,1656318846.9474785
5,'c',1656318847.0044909,1656318847.1414685
6,'a',1656318847.128466,1656318847.2514727
7,'l',1656318847.2544732,1656318847.3475597
0,'c',1656318849.3084671,1656318849.4314656
1,'0',1656318849.768471,1656318849.8774953
2,'5',1656318850.029482,1656318850.1384842
3,'m',1656318850.1834643,1656318850.294468
4,'i',1656318850.380401,1656318850.4524758
5,'c',1656318850.5319602,1656318850.6544
6,'a',1656318850.6413968,1656318850.7654703
7,'l',1656318850.7274685,1656318850.8124712
0,'c',1656318852.857481,1656318853.003514
1,'0',1656318853.414466,1656318853.5234764
2,'5',1656318853.6234639,1656318853.7334685
3,'m',1656318853.790481,1656318853.8874655
4,'i',1656318853.9654655,1656318854.0504758
5,'c',1656318854.1175451,1656318854.2404811
6,'a',1656318854.2414813,1656318854.3385034
7,'l',1656318854.3405046,1656318854.4105191
0,'c',1656318856.3624728,1656318856.5214689
1,'0',1656318856.9564788,1656318857.0414665
2,'5',1656318857.18347,1656318857.2794704
3,'m',1656318857.367469,1656318857.4684677
4,'i',1656318857.558488,1656318857.6434717
5,'c',1656318857.719954,1656318857.853467
6,'a',1656318857.8564682,1656318858.0014744
7,'l',1656318857.9764683,1656318858.0734723
0,'p',1656318865.8904653,1656318866.0384872
1,'l',1656318865.9774725,1656318866.0884974
2,'a',1656318866.0754943,1656318866.2104673
3,'y',1656318866.2334738,1656318866.3424973
4,'4',1656318866.8064885,1656318866.8914676
5,'p',1656318867.0894694,1656318867.1884794
6,'a',1656318867.267496,1656318867.3764684
7,'y',1656318867.4954755,1656318867.5829449
0,'p',1656318869.5054808,1656318869.6284752
1,'l',1656318869.5914664,1656318869.689466
2,'a',1656318869.7124665,1656318869.8334742
3,'y',1656318869.879465,1656318869.9764683
4,'4',1656318870.4234629,1656318870.5084708
5,'p',1656318870.7264738,1656318870.8354704
6,'a',1656318870.8594654,1656318870.968942
7,'y',1656318871.0904791,1656318871.177498
0,'p',1656318872.9674797,1656318873.1145768
1,'l',1656318873.0535634,1656318873.1629398
2,'a',1656318873.3174648,1656318873.4644732
3,'y',1656318873.4674742,1656318873.5494757
4,'4',1656318874.0014784,1656318874.098529
5,'p',1656318874.28547,1656318874.383466
6,'a',1656318874.4384677,1656318874.54747
7,'y',1656318874.6454778,1656318874.7194655
0,'p',1656318876.7794757,1656318876.915483
1,'l',1656318876.854469,1656318876.9639363
2,'a',1656318877.3213208,1656318877.4304762
3,'y',1656318877.5504718,1656318877.6474757
4,'4',1656318877.9734654,1656318878.0714931
5,'p',1656318878.2664738,1656318878.3624694
6,'a',1656318878.451468,1656318878.5854712
7,'y',1656318878.693464,1656318878.765476
0,'p',1656318880.5694642,1656318880.6934733
1,'l',1656318880.6564658,1656318880.7404664
2,'a',1656318881.0657136,1656318881.187466
3,'y',1656318881.2964668,1656318881.3684833
4,'4',1656318881.778475,1656318881.8754706
5,'p',1656318881.9954698,1656318882.0809317
6,'a',1656318882.1694689,1656318882.2904816
7,'y',1656318882.4012988,1656318882.4873204
0,'4',1656318894.9914675,1656318895.1134715
1,'c',1656318895.933561,1656318896.0444677
2,'h',1656318896.5604677,1656318896.671478
3,'k',1656318897.8874698,1656318897.984374
4,'h',1656318898.7314734,1656318898.8154657
5,'1',1656318899.346466,1656318899.4314668
6,'d',1656318900.8444674,1656318900.9284863
7,'l',1656318901.3794289,1656318901.5034661
0,'4',1656318904.5684667,1656318904.665472
1,'c',1656318905.6816866,1656318905.8034685
2,'h',1656318906.764494,1656318906.8744717
3,'k',1656318908.19947,1656318908.296468
4,'h',1656318908.416495,1656318908.500465
5,'1',1656318909.918467,1656318910.0024643
6,'d',1656318910.5414655,1656318910.6264648
7,'l',1656318910.9354637,1656318911.0714655
0,'4',1656318913.8624945,1656318913.9475172
1,'c',1656318914.4989038,1656318914.6074674
2,'h',1656318915.4454684,1656318915.5564678
3,'k',1656318917.2434757,1656318917.3164775
4,'h',1656318917.5204952,1656318917.6055143
5,'1',1656318919.5584872,1656318919.6444778
6,'d',1656318920.1854813,1656318920.282503
7,'l',1656318920.6684742,1656318920.8034663
0,'4',1656318923.4164734,1656318923.513469
1,'c',1656318923.8894627,1656318923.9985695
2,'h',1656318924.5354874,1656318924.647516
3,'k',1656318926.816466,1656318926.9004667
4,'h',1656318927.537477,1656318927.647478
5,'1',1656318929.242889,1656318929.3394732
6,'d',1656318929.7824686,1656318929.866468
7,'l',1656318930.3344388,1656318930.4334662
0,'4',1656318933.1036568,1656318933.1754797
1,'c',1656318933.5394676,1656318933.6365607
2,'h',1656318934.4114761,1656318934.5094674
3,'k',1656318935.4374833,1656318935.5345051
4,'h',1656318935.7214646,1656318935.8184693
5,'1',1656318936.4876513,1656318936.571672
6,'d',1656318936.9614825,1656318937.0464683
7,'l',1656318937.4534671,1656318937.577471
0,'a',1656318940.5984771,1656318940.6954658
1,'1',1656318941.6324859,1656318941.7425106
2,'r',1656318943.2744648,1656318943.395477
3,'c',1656318944.4614666,1656318944.5584662
4,'r',1656318944.8188748,1656318944.9394698
5,'2',1656318945.7064676,1656318945.8034763
6,'f',1656318946.3314695,1656318946.4286516
