Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
sz,c_0,3_90,3,90,0.11104035377502441,0.03214693069458008,0.1431872844696045,0.1329965591430664,0.24403691291809082,0.10084962844848633
sz,0_5,90_95,90,95,0.10084962844848633,0.12799286842346191,0.22884249687194824,0.2496628761291504,0.3505125045776367,0.12167000770568848
sz,5_m,95_13,95,13,0.12167000770568848,0.10030269622802734,0.22197270393371582,0.22257781028747559,0.34424781799316406,0.12227511405944824
sz,m_i,13_9,13,9,0.12227511405944824,0.07086396217346191,0.19313907623291016,0.18317651748657227,0.3054516315460205,0.11231255531311035
sz,i_c,9_3,9,3,0.11231255531311035,-0.005131959915161133,0.10718059539794922,0.14819788932800293,0.2605104446411133,0.15332984924316406
sz,c_a,3_1,3,1,0.15332984924316406,-0.06114792823791504,0.09218192100524902,0.061359405517578125,0.2146892547607422,0.12250733375549316
sz,a_l,1_12,1,12,0.12250733375549316,-0.05836987495422363,0.06413745880126953,0.029914140701293945,0.1524214744567871,0.08828401565551758
sz,c_0,3_90,3,90,0.13091444969177246,0.20144963264465332,0.3323640823364258,0.2931361198425293,0.42405056953430176,0.09168648719787598
sz,0_5,90_95,90,95,0.09168648719787598,0.593801736831665,0.685488224029541,0.6919519901275635,0.7836384773254395,0.09815025329589844
sz,5_m,95_13,95,13,0.09815025329589844,0.182081937789917,0.28023219108581543,0.2940101623535156,0.39216041564941406,0.11192822456359863
sz,m_i,13_9,13,9,0.11192822456359863,0.029343843460083008,0.14127206802368164,0.11114382743835449,0.22307205200195312,0.08179998397827148
sz,i_c,9_3,9,3,0.08179998397827148,0.07652044296264648,0.15832042694091797,0.18900489807128906,0.27080488204956055,0.11248445510864258
sz,c_a,3_1,3,1,0.11248445510864258,-0.042725563049316406,0.06975889205932617,0.07019543647766113,0.1826798915863037,0.11292099952697754
sz,a_l,1_12,1,12,0.11292099952697754,-0.0509648323059082,0.061956167221069336,0.02056145668029785,0.1334824562072754,0.07152628898620605
sz,c_0,3_90,3,90,0.10958003997802734,0.13050580024719238,0.24008584022521973,0.23124313354492188,0.3408231735229492,0.10073733329772949
sz,0_5,90_95,90,95,0.10073733329772949,0.09101104736328125,0.19174838066101074,0.18197107315063477,0.28270840644836426,0.09096002578735352
sz,5_m,95_13,95,13,0.09096002578735352,0.11170339584350586,0.20266342163085938,0.21186447143554688,0.3028244972229004,0.10016107559204102
sz,m_i,13_9,13,9,0.10016107559204102,0.050153255462646484,0.1503143310546875,0.14141058921813965,0.24157166481018066,0.09125733375549316
sz,i_c,9_3,9,3,0.09125733375549316,0.02022528648376465,0.11148262023925781,0.14203453063964844,0.2332918643951416,0.12180924415588379
sz,c_a,3_1,3,1,0.12180924415588379,-0.041222572326660156,0.08058667182922363,0.07070755958557129,0.19251680374145508,0.11193013191223145
sz,a_l,1_12,1,12,0.11193013191223145,-0.05216073989868164,0.059769392013549805,0.003988742828369141,0.11591887474060059,0.05614948272705078
sz,c_0,3_90,3,90,0.11168932914733887,0.12167477607727051,0.23336410522460938,0.22313642501831055,0.3348257541656494,0.10146164894104004
