,key,press_time,release_time
0,'4',1654885058.61,1654885058.7218423
1,'c',1654885059.353842,1654885059.449937
2,'h',1654885060.7459588,1654885060.8740315
3,'k',1654885062.0338383,1654885062.1539018
4,'h',1654885062.8418407,1654885062.937838
5,'1',1654885063.9779074,1654885064.1058369
6,'d',1654885065.0178356,1654885065.1058357
7,'l',1654885065.4018347,1654885065.5459852
0,'4',1654885084.5619433,1654885084.6659853
1,'c',1654885085.497815,1654885085.6018572
2,'h',1654885086.4498246,1654885086.569883
3,'k',1654885087.0418127,1654885087.1378133
4,'h',1654885087.6181831,1654885087.7058125
5,'1',1654885087.817815,1654885087.9378126
6,'d',1654885088.3698115,1654885088.458059
7,'l',1654885088.6178107,1654885088.7299402
0,'4',1654885092.71377,1654885092.817807
1,'c',1654885093.1058068,1654885093.1938071
2,'h',1654885094.1618178,1654885094.2897913
3,'k',1654885095.2978053,1654885095.4095502
4,'h',1654885096.8100188,1654885096.9141626
5,'1',1654885097.0183327,1654885097.1697953
6,'d',1654885097.6897986,1654885097.8019586
7,'l',1654885098.033802,1654885098.1458468
0,'4',1654885100.6740565,1654885100.7937987
1,'c',1654885101.0259068,1654885101.1058047
2,'h',1654885101.3777976,1654885101.4897633
3,'k',1654885101.7217977,1654885101.8577676
4,'h',1654885102.3217967,1654885102.4498153
5,'1',1654885104.4259672,1654885104.561795
6,'d',1654885104.7777948,1654885104.8577943
7,'l',1654885105.489137,1654885105.6417937
0,'4',1654885126.7771761,1654885126.8819096
1,'c',1654885127.0978267,1654885127.1859546
2,'h',1654885127.4418037,1654885127.585771
3,'k',1654885127.8177695,1654885127.9220345
4,'h',1654885130.1617677,1654885130.2577877
5,'1',1654885130.260664,1654885130.4097693
6,'d',1654885130.617736,1654885130.6977444
7,'l',1654885131.3217673,1654885131.4652805
0,'4',1654885134.0578387,1654885134.1779664
1,'c',1654885134.4178534,1654885134.4896548
2,'h',1654885134.8257704,1654885134.9537625
3,'k',1654885135.2419307,1654885135.353763
4,'h',1654885135.609762,1654885135.714119
5,'1',1654885135.761798,1654885135.8821707
6,'d',1654885136.0496128,1654885136.1219194
7,'l',1654885136.4746122,1654885136.6179452
0,'4',1654885139.1786,1654885139.2978086
1,'c',1654885139.5622292,1654885139.6736274
2,'h',1654885139.9939296,1654885140.1377578
3,'k',1654885140.3941178,1654885140.5217576
4,'h',1654885140.777757,1654885140.8816545
5,'1',1654885140.953833,1654885141.0896685
6,'d',1654885141.6738658,1654885141.7777565
7,'l',1654885141.9695966,1654885142.1060417
0,'4',1654885145.9388852,1654885146.0097518
1,'c',1654885146.4417555,1654885146.5138304
2,'h',1654885147.1697423,1654885147.2744353
3,'k',1654885147.513828,1654885147.6178071
4,'h',1654885148.233749,1654885148.33775
5,'1',1654885148.4017487,1654885148.5297546
6,'d',1654885149.249915,1654885149.3377485
7,'l',1654885149.6499784,1654885149.8257473
0,'4',1654885154.4257429,1654885154.5457428
1,'c',1654885154.801743,1654885154.9057436
2,'h',1654885155.5457458,1654885155.6826007
3,'k',1654885155.8977754,1654885156.0349162
4,'h',1654885156.401939,1654885156.5138128
5,'1',1654885156.578398,1654885156.689563
6,'d',1654885156.8897693,1654885156.929652
7,'l',1654885157.585526,1654885157.713624
0,'4',1654885160.5940669,1654885160.7057364
1,'c',1654885160.9297373,1654885161.0417364
2,'h',1654885161.3543847,1654885161.4739137
3,'k',1654885161.777735,1654885161.9059098
4,'h',1654885163.242233,1654885163.3297343
5,'1',1654885163.4019756,1654885163.5138998
6,'d',1654885164.03365,1654885164.1141787
7,'l',1654885164.7057323,1654885164.8337362
0,'4',1654885167.5377288,1654885167.64981
1,'c',1654885167.857783,1654885167.9537325
2,'h',1654885169.0417275,1654885169.177728
3,'k',1654885169.9457266,1654885170.049759
4,'h',1654885170.4975073,1654885170.6095912
5,'1',1654885170.8816288,1654885171.0017266
6,'d',1654885171.2017493,1654885171.281437
7,'l',1654885171.5938933,1654885171.7375715
0,'4',1654885178.097846,1654885178.2022758
1,'c',1654885178.4096296,1654885178.497807
2,'h',1654885178.7458189,1654885178.8737204
3,'k',1654885179.07372,1654885179.1937177
4,'h',1654885179.4184048,1654885179.5057173
5,'1',1654885179.6179757,1654885179.7377613
6,'d',1654885179.9137034,1654885179.9937167
7,'l',1654885180.2817712,1654885180.3937156
0,'4',1654885182.489723,1654885182.6097386
1,'c',1654885183.3457134,1654885183.4337509
2,'h',1654885184.4977117,1654885184.6180606
3,'k',1654885184.833712,1654885184.937712
4,'h',1654885185.3217103,1654885185.4257114
5,'1',1654885185.4657145,1654885185.593711
6,'d',1654885185.7376547,1654885185.8257551
7,'l',1654885186.0097098,1654885186.1304157
0,'4',1654885188.3458617,1654885188.4577081
1,'c',1654885188.6816854,1654885188.7777612
2,'h',1654885189.0577104,1654885189.1939142
3,'k',1654885189.4417064,1654885189.545841
4,'h',1654885189.713975,1654885189.8257883
5,'1',1654885189.9777064,1654885190.1217062
6,'d',1654885190.3857052,1654885190.4657753
7,'l',1654885190.7385325,1654885190.8616843
0,'4',1654885219.697675,1654885219.7857103
1,'c',1654885220.105675,1654885220.2016637
2,'h',1654885221.209675,1654885221.3136916
3,'k',1654885222.0898535,1654885222.2096462
4,'h',1654885223.617668,1654885223.7137241
5,'1',1654885223.8095329,1654885223.9376712
6,'d',1654885224.1216705,1654885224.1936746
7,'l',1654885224.514555,1654885224.6496966
0,'4',1654885233.5456612,1654885233.6816003
1,'c',1654885233.9861753,1654885234.0576608
2,'h',1654885234.401727,1654885234.5217874
3,'k',1654885234.777659,1654885234.906206
4,'h',1654885235.2416756,1654885235.3376594
5,'1',1654885235.3936586,1654885235.5379786
6,'d',1654885235.7136846,1654885235.8182676
7,'l',1654885236.1056583,1654885236.233975
0,'4',1654885238.754125,1654885238.8334825
1,'c',1654885239.0580373,1654885239.1456559
2,'h',1654885239.4256551,1654885239.5621552
3,'k',1654885239.8177757,1654885239.9456549
4,'h',1654885240.681803,1654885240.7777035
5,'1',1654885240.793807,1654885240.9216535
6,'d',1654885241.065701,1654885241.1375997
7,'l',1654885241.3537233,1654885241.5056522
0,'4',1654885244.681649,1654885244.7854142
1,'c',1654885245.0014637,1654885245.089645
2,'h',1654885245.3936484,1654885245.529648
3,'k',1654885245.833687,1654885245.92956
