,key,press_time,release_time
0,'t',1655135425.604897,1655135425.7518888
1,'w',1655135425.7148888,1655135425.8488927
2,'1',1655135426.5058985,1655135426.589899
3,'n',1655135427.2058864,1655135427.3658977
4,'k',1655135427.3168979,1655135427.4388716
5,'l',1655135427.850898,1655135427.935892
6,'e',1655135427.9909046,1655135428.113891
7,'6',1655135428.7078884,1655135428.8038867
0,'t',1655135432.3978875,1655135432.5447378
1,'w',1655135432.5198877,1655135432.6538932
2,'1',1655135433.1827388,1655135433.278911
3,'n',1655135433.6798859,1655135433.8027387
4,'k',1655135433.7538877,1655135433.8758922
5,'l',1655135434.340912,1655135434.4379005
6,'e',1655135434.4829104,1655135434.5818903
7,'6',1655135435.0899253,1655135435.1739442
0,'t',1655135441.4308941,1655135441.5398889
1,'w',1655135441.8978903,1655135441.9578595
2,'1',1655135442.3148901,1655135442.4118936
3,'n',1655135442.6597602,1655135442.7968931
4,'k',1655135442.7338886,1655135442.8448937
5,'l',1655135442.9968927,1655135443.1058657
6,'e',1655135443.171881,1655135443.2679021
7,'6',1655135443.6448975,1655135443.7168682
0,'t',1655135446.1688921,1655135446.2528925
1,'w',1655135446.5228636,1655135446.6078825
2,'1',1655135447.0168905,1655135447.114889
3,'n',1655135447.589891,1655135447.7127519
4,'k',1655135447.6518867,1655135447.7727518
5,'l',1655135447.9548903,1655135448.0418506
6,'e',1655135448.1188686,1655135448.2148926
7,'6',1655135448.6468875,1655135448.7318869
0,'t',1655135450.8008573,1655135450.8848896
1,'w',1655135451.0807552,1655135451.1898193
2,'1',1655135451.716919,1655135451.812896
3,'n',1655135452.2868917,1655135452.4098885
4,'k',1655135452.3608875,1655135452.4568884
5,'l',1655135452.6758907,1655135452.7858884
6,'e',1655135452.8208883,1655135452.9178934
7,'6',1655135453.9298875,1655135454.0288892
0,'t',1655135456.1548915,1655135456.3018882
1,'w',1655135456.2398899,1655135456.3858924
2,'1',1655135456.6998863,1655135456.7978942
3,'n',1655135456.9498901,1655135457.072761
4,'k',1655135457.0239067,1655135457.1338906
5,'l',1655135457.2978923,1655135457.4308872
6,'e',1655135457.5197651,1655135457.628895
7,'6',1655135457.90889,1655135457.996815
0,'t',1655135459.7969048,1655135459.8818862
1,'w',1655135460.1188884,1655135460.2028975
2,'1',1655135460.513888,1655135460.609888
3,'n',1655135460.93489,1655135461.0328958
4,'k',1655135460.9838886,1655135461.0938885
5,'l',1655135461.3228874,1655135461.408902
6,'e',1655135461.644891,1655135461.768892
7,'6',1655135462.4398901,1655135462.525886
0,'t',1655135464.410889,1655135464.4949043
1,'w',1655135464.679887,1655135464.7773588
2,'1',1655135465.071775,1655135465.1557946
3,'n',1655135465.4178905,1655135465.5538955
4,'k',1655135465.4918883,1655135465.588903
5,'l',1655135465.7628891,1655135465.9079027
6,'e',1655135465.942769,1655135466.0388918
7,'6',1655135466.3348978,1655135466.4228969
0,'t',1655135468.5318966,1655135468.6298928
1,'w',1655135468.5928895,1655135468.714751
2,'1',1655135469.221902,1655135469.3058918
3,'n',1655135469.5669,1655135469.689793
4,'k',1655135469.6287725,1655135469.7378035
5,'l',1655135469.8898892,1655135470.0107732
6,'e',1655135470.6918876,1655135470.8019087
7,'6',1655135471.1698952,1655135471.2799544
0,'t',1655135473.185897,1655135473.245895
1,'w',1655135473.4618914,1655135473.5458927
2,'1',1655135473.827891,1655135473.9258897
3,'n',1655135474.1868596,1655135474.3108945
4,'k',1655135474.2608795,1655135474.359899
5,'l',1655135474.5238855,1655135474.6088996
6,'e',1655135474.7538857,1655135474.838897
7,'6',1655135475.164901,1655135475.237894
0,'t',1655135477.0799544,1655135477.1778977
1,'w',1655135477.3938935,1655135477.4788933
2,'1',1655135477.7719092,1655135477.8679073
3,'n',1655135478.1388981,1655135478.2847953
4,'k',1655135478.188899,1655135478.285797
5,'l',1655135478.4928896,1655135478.6018867
6,'e',1655135478.7099001,1655135478.805901
7,'6',1655135479.0868924,1655135479.1747003
0,'t',1655135481.03089,1655135481.1029058
1,'w',1655135481.4629056,1655135481.5478952
2,'1',1655135481.8829083,1655135481.9669175
3,'n',1655135482.2052822,1655135482.3538873
4,'k',1655135482.292784,1655135482.377888
5,'l',1655135482.5088897,1655135482.6298919
6,'e',1655135482.750713,1655135482.8498914
7,'6',1655135483.5734887,1655135483.6588895
0,'t',1655135485.4649706,1655135485.537987
1,'w',1655135485.785913,1655135485.8708966
2,'1',1655135486.1318893,1655135486.2527883
3,'n',1655135486.5038881,1655135486.62789
4,'k',1655135486.5658896,1655135486.674899
5,'l',1655135486.8608034,1655135486.9698863
6,'e',1655135487.0678928,1655135487.1648932
7,'6',1655135487.9329073,1655135488.0038948
0,'t',1655135489.9098985,1655135489.994892
1,'w',1655135490.2649057,1655135490.3368928
2,'1',1655135490.6298969,1655135490.71391
3,'n',1655135490.930888,1655135491.078891
4,'k',1655135491.0178883,1655135491.1158903
5,'l',1655135491.2898962,1655135491.3858867
6,'e',1655135491.4618907,1655135491.5698862
7,'6',1655135492.1338983,1655135492.232893
0,'t',1655135499.6748888,1655135499.7599018
1,'w',1655135500.019898,1655135500.0918915
2,'1',1655135500.3408904,1655135500.4368904
3,'n',1655135500.6528885,1655135500.7758985
4,'k',1655135500.7265978,1655135500.8359118
5,'l',1655135500.9468875,1655135501.0558882
6,'e',1655135501.1204467,1655135501.2058966
7,'6',1655135501.4238865,1655135501.4979181
0,'t',1655135503.2008717,1655135503.284897
1,'w',1655135503.5458949,1655135503.6298926
2,'1',1655135503.943907,1655135504.0169141
3,'n',1655135504.26889,1655135504.3918924
4,'k',1655135504.3178985,1655135504.426895
5,'l',1655135504.5599153,1655135504.6448052
6,'e',1655135505.0439105,1655135505.141889
7,'6',1655135505.4558883,1655135505.5438972
0,'t',1655135507.446899,1655135507.5196714
1,'w',1655135507.8668928,1655135507.9507027
2,'1',1655135508.2428987,1655135508.3528895
3,'n',1655135508.61489,1655135508.7388961
4,'k',1655135508.6768904,1655135508.773888
5,'l',1655135508.9288092,1655135509.0258594
6,'e',1655135509.123886,1655135509.2218904
7,'6',1655135509.5034473,1655135509.5888896
0,'t',1655135511.398895,1655135511.4838908
