,Results,Prediction,Accuracy,
0,andy,andy,0.99400914,Match
1,andy,andy,0.9999536,Match
2,andy,chris,0.8902069,Nope
3,andy,ken,0.46278697,Nope
4,andy,ken,0.41179198,Nope
5,azfar,azfar,0.9995254,Match
6,azfar,azfar,0.9996105,Match
7,azfar,azfar,0.9995639,Match
8,azfar,azfar,0.99955577,Match
9,azfar,azfar,0.9995939,Match
10,bryce,chris,0.9073191,Nope
11,bryce,bryce,0.9597866,Match
12,bryce,chris,0.5156209,Nope
13,bryce,bryce,0.26386964,Match
14,bryce,ye,0.5409318,Nope
15,chris,ye,0.55393714,Nope
16,chris,chris,0.8222071,Match
17,chris,ye,0.71401066,Nope
18,chris,ye,0.7774784,Nope
19,chris,chris,0.80908674,Match
20,cy,azfar,0.9993167,Nope
21,cy,qk,0.4606132,Nope
22,cy,qk,0.6342289,Nope
23,cy,qk,0.88700044,Nope
24,cy,qk,0.9315351,Nope
25,gerald,bryce,0.5162972,Nope
26,gerald,bryce,0.63727254,Nope
27,gerald,qk,0.6901465,Nope
28,gerald,chris,0.9952282,Nope
29,gerald,chris,0.96277,Nope
30,ken,azfar,0.711816,Nope
31,ken,chris,0.6004591,Nope
32,ken,azfar,0.45619324,Nope
33,ken,qk,0.370892,Nope
34,ken,ken,0.3687035,Match
35,qk,chris,0.79370683,Nope
36,qk,chris,0.639069,Nope
37,qk,qk,0.5455618,Match
38,qk,qk,0.7963809,Match
39,qk,qk,0.57959574,Match
40,sz,chris,0.42752716,Nope
41,sz,qk,0.58237964,Nope
42,sz,qk,0.68312943,Nope
43,sz,qk,0.59932685,Nope
44,sz,qk,0.7368252,Nope
45,vale,azfar,0.9996025,Nope
46,vale,azfar,0.9994997,Nope
47,vale,azfar,0.9994868,Nope
48,vale,azfar,0.9995347,Nope
49,vale,azfar,0.99956983,Nope
50,ye,azfar,0.39181226,Nope
51,ye,chris,0.99567634,Nope
52,ye,azfar,0.62524396,Nope
53,ye,chris,0.9312412,Nope
54,ye,chris,0.9926952,Nope
55,ys,bryce,0.9708329,Nope
56,ys,bryce,0.9671801,Nope
57,ys,chris,0.5604095,Nope
58,ys,chris,0.5270883,Nope
59,ys,chris,0.9637663,Nope
