,Results,Prediction,Accuracy,
0,andy,ye,0.71770257,Nope
1,andy,ye,0.7026773,Nope
2,andy,gerald,0.7787427,Nope
3,andy,andy,0.9501514,Match
4,andy,ken,0.42587554,Nope
5,azfar,vale,0.48295835,Nope
6,azfar,azfar,0.9617208,Match
7,azfar,qk,0.29287153,Nope
8,azfar,vale,0.9337456,Nope
9,azfar,vale,0.99969053,Nope
10,bryce,ye,0.7631841,Nope
11,bryce,bryce,0.97462195,Match
12,bryce,ye,0.78579634,Nope
13,bryce,ye,0.76669616,Nope
14,bryce,ye,0.965947,Nope
15,chris,ye,0.99320483,Nope
16,chris,bryce,0.90991694,Nope
17,chris,ye,0.77289426,Nope
18,chris,ye,0.7487079,Nope
19,chris,bryce,0.9731156,Nope
20,cy,qk,0.9406251,Nope
21,cy,qk,0.6446329,Nope
22,cy,qk,0.96774507,Nope
23,cy,qk,0.9859541,Nope
24,cy,qk,0.9075007,Nope
25,gerald,qk,0.99052,Nope
26,gerald,qk,0.824095,Nope
27,gerald,qk,0.98987216,Nope
28,gerald,qk,0.98991174,Nope
29,gerald,qk,0.9897278,Nope
30,ken,gerald,0.8469566,Nope
31,ken,ken,0.9991229,Match
32,ken,ye,0.99791795,Nope
33,ken,ken,0.5133953,Match
34,ken,ye,0.9989058,Nope
35,qk,qk,0.8402703,Match
36,qk,qk,0.98942846,Match
37,qk,qk,0.9894729,Match
38,qk,qk,0.9806404,Match
39,qk,qk,0.5662027,Match
40,sz,qk,0.98986804,Nope
41,sz,qk,0.9890348,Nope
42,sz,qk,0.9895242,Nope
43,sz,qk,0.98975897,Nope
44,sz,qk,0.9894048,Nope
45,vale,andy,0.99996436,Nope
46,vale,andy,0.9999472,Nope
47,vale,andy,0.9999633,Nope
48,vale,andy,0.9996953,Nope
49,vale,andy,0.9999647,Nope
50,ye,ye,0.7406455,Match
51,ye,ye,0.9943275,Match
52,ye,ye,0.9991253,Match
53,ye,ken,0.9997223,Nope
54,ye,ken,0.998259,Nope
55,ys,ye,0.25353086,Nope
56,ys,vale,0.4309714,Nope
57,ys,bryce,0.98222685,Nope
58,ys,qk,0.95584613,Nope
59,ys,ye,0.72999555,Nope
