,key,press_time,release_time
0,'d',1654846376.5444617,1654846376.6783063
1,'e',1654846376.9589994,1654846377.0850182
2,'c',1654846377.8704517,1654846378.0244522
3,'i',1654846377.9974506,1654846378.085104
4,'s',1654846378.8655264,1654846378.988427
5,'i',1654846379.0557816,1654846379.2412815
6,'0',1654846379.242282,1654846379.3887212
7,'n',1654846379.5304596,1654846379.6294878
0,'d',1654846385.140449,1654846385.2614295
1,'e',1654846385.6194656,1654846385.7555375
2,'c',1654846386.5744262,1654846386.6908863
3,'i',1654846386.7089016,1654846386.8049424
4,'s',1654846386.947537,1654846387.0919762
5,'i',1654846387.1307726,1654846387.2577856
6,'0',1654846387.297977,1654846387.4334788
7,'n',1654846387.6134272,1654846387.7150733
0,'d',1654846389.3632476,1654846389.4668145
1,'e',1654846389.7344267,1654846389.8544242
2,'c',1654846390.1546285,1654846390.2716289
3,'i',1654846390.291629,1654846390.3933015
4,'s',1654846390.4432788,1654846390.5934126
5,'i',1654846390.6462877,1654846390.8018024
6,'0',1654846390.9163346,1654846391.036446
7,'n',1654846391.5844917,1654846391.6875348
0,'d',1654846403.5386515,1654846403.6444993
1,'e',1654846403.925811,1654846404.0352256
2,'c',1654846404.174865,1654846404.3030963
3,'i',1654846404.3131185,1654846404.4149458
4,'s',1654846404.4784439,1654846404.5804636
5,'i',1654846404.6237984,1654846404.7960615
6,'0',1654846404.814078,1654846404.9354594
7,'n',1654846405.0890212,1654846405.181485
0,'d',1654846415.240031,1654846415.3355374
1,'e',1654846415.503604,1654846415.6247733
2,'c',1654846415.8034194,1654846415.924513
3,'i',1654846415.94353,1654846416.0630183
4,'s',1654846416.1804204,1654846416.3123808
5,'i',1654846416.7909684,1654846416.9877975
6,'0',1654846417.0404286,1654846417.1574194
7,'n',1654846417.4684458,1654846417.563442
0,'d',1654846423.8349643,1654846423.9374511
1,'e',1654846424.0834775,1654846424.2054198
2,'c',1654846424.3389783,1654846424.4574459
3,'i',1654846424.4754424,1654846424.5525334
4,'s',1654846424.5595336,1654846424.690475
5,'i',1654846424.7334523,1654846424.8784835
6,'0',1654846424.8184433,1654846424.9757986
7,'n',1654846425.0934422,1654846425.1814141
0,'d',1654846430.9290318,1654846431.024979
1,'e',1654846431.2800798,1654846431.3860412
2,'c',1654846431.5304694,1654846431.6355379
3,'i',1654846431.6715963,1654846431.7406852
4,'s',1654846431.7777407,1654846431.9089422
5,'i',1654846432.413978,1654846432.5559452
6,'0',1654846432.5165,1654846432.6367497
7,'n',1654846432.761047,1654846432.8599644
0,'d',1654846434.4439554,1654846434.5831006
1,'e',1654846434.7766762,1654846434.915906
2,'c',1654846435.1239626,1654846435.24379
3,'i',1654846435.2853863,1654846435.3544211
4,'s',1654846435.374444,1654846435.4965765
5,'i',1654846435.529969,1654846435.7014334
6,'0',1654846435.6444173,1654846435.8194954
7,'n',1654846435.9176362,1654846436.0384881
0,'d',1654846438.503965,1654846438.617409
1,'e',1654846438.8034647,1654846438.912941
2,'c',1654846439.0480475,1654846439.1541173
3,'i',1654846439.1691375,1654846439.2447562
4,'s',1654846439.2345474,1654846439.3594108
5,'i',1654846439.4207568,1654846439.5838616
6,'0',1654846439.551964,1654846439.6639671
7,'n',1654846439.7879646,1654846439.8892074
0,'d',1654846441.582412,1654846441.6856842
1,'e',1654846441.908418,1654846442.0435638
2,'c',1654846442.230158,1654846442.349941
3,'i',1654846442.394755,1654846442.4860744
4,'s',1654846442.5077374,1654846442.6324158
5,'i',1654846442.7745929,1654846442.9394383
6,'0',1654846442.8810132,1654846443.023459
7,'n',1654846443.1264038,1654846443.2174075
0,'d',1654846445.2163522,1654846445.320451
1,'e',1654846445.5910308,1654846445.7156303
