,key,press_time,release_time
0,'d',1655564877.2850442,1655564877.4089427
1,'e',1655564878.0683548,1655564878.209428
2,'c',1655564878.4410357,1655564878.5347703
3,'i',1655564878.6444266,1655564878.8330362
4,'s',1655564879.061707,1655564879.1873786
5,'i',1655564879.892972,1655564880.0089023
6,'0',1655564880.1805806,1655564880.3168344
7,'n',1655564880.6716537,1655564880.734134
0,'d',1655564896.440971,1655564896.628784
1,'e',1655564897.271829,1655564897.4124413
2,'c',1655564898.1626391,1655564898.2718954
3,'i',1655564898.256393,1655564898.381716
4,'s',1655564898.3344972,1655564898.4598382
5,'i',1655564899.0605264,1655564899.1550832
6,'0',1655564899.3112779,1655564899.3905244
7,'n',1655564899.5332735,1655564899.6157615
0,'d',1655564901.1602273,1655564901.285355
1,'e',1655564901.7427313,1655564901.8956792
2,'c',1655564902.2313864,1655564902.3288424
3,'i',1655564902.3757193,1655564902.4850912
4,'s',1655564902.4537354,1655564902.5632002
5,'i',1655564902.805147,1655564902.88329
6,'0',1655564903.1088014,1655564903.2164757
7,'n',1655564903.872474,1655564903.9350884
0,'d',1655564917.746626,1655564917.8717165
1,'e',1655564918.416639,1655564918.5415246
2,'c',1655564918.7603643,1655564918.869742
3,'i',1655564918.963462,1655564919.074556
4,'s',1655564919.074556,1655564919.1824386
5,'i',1655564919.1980615,1655564919.3073804
6,'0',1655564919.7294574,1655564919.8076642
7,'n',1655564920.0263863,1655564920.089233
0,'d',1655564922.1588311,1655564922.2680693
1,'e',1655564922.5828083,1655564922.7078044
2,'c',1655564922.957733,1655564923.0515275
3,'i',1655564923.145245,1655564923.2389746
4,'s',1655564923.2389746,1655564923.3490806
5,'i',1655564923.3808477,1655564923.458964
6,'0',1655564923.8185558,1655564923.896659
7,'n',1655564924.106628,1655564924.1692905
0,'d',1655564926.5049655,1655564926.6057537
1,'e',1655564927.427407,1655564927.5211334
2,'c',1655564928.288512,1655564928.398554
3,'i',1655564928.4922829,1655564928.5704029
4,'s',1655564928.7891428,1655564928.8984914
5,'i',1655564928.9453585,1655564929.0547338
6,'0',1655564929.3195922,1655564929.4288352
7,'n',1655564929.6010332,1655564929.6946769
0,'d',1655564931.3464305,1655564931.451356
1,'e',1655564931.8094108,1655564931.9343185
2,'c',1655564932.1724184,1655564932.281782
3,'i',1655564932.4536316,1655564932.5630043
4,'s',1655564932.6287014,1655564932.7386546
5,'i',1655564932.7855086,1655564932.8948836
6,'0',1655564933.098269,1655564933.20761
7,'n',1655564933.3601515,1655564933.4382575
0,'d',1655564934.9286492,1655564935.0378783
1,'e',1655564935.3191686,1655564935.428579
2,'c',1655564935.705099,1655564935.7965472
3,'i',1655564935.95339,1655564936.047269
4,'s',1655564936.0628767,1655564936.1566222
5,'i',1655564936.190249,1655564936.284605
6,'0',1655564936.4252353,1655564936.5189657
7,'n',1655564936.7064335,1655564936.7845278
0,'d',1655564938.241141,1655564938.3505013
1,'e',1655564938.598007,1655564938.707359
2,'c',1655564938.9780262,1655564939.098829
3,'i',1655564939.183094,1655564939.2769485
4,'s',1655564939.2613404,1655564939.37072
5,'i',1655564939.3863199,1655564939.4803264
6,'0',1655564939.6209445,1655564939.7148387
7,'n',1655564939.9198055,1655564939.9885795
0,'d',1655564941.5486667,1655564941.6606584
1,'e',1655564942.3697264,1655564942.468805
2,'c',1655564942.6722353,1655564942.7665362
3,'i',1655564942.9072905,1655564942.9855082
4,'s',1655564943.0167747,1655564943.1260884
5,'i',1655564943.1417458,1655564943.252334
6,'0',1655564943.5066164,1655564943.60036
7,'n',1655564943.7570758,1655564943.835193
0,'d',1655564945.342706,1655564945.4365747
1,'e',1655564945.706382,1655564945.8157685
2,'c',1655564946.0037282,1655564946.0916219
3,'i',1655564946.16695,1655564946.2715318
4,'s',1655564946.2485433,1655564946.3629942
5,'i',1655564946.379268,1655564946.4851623
6,'0',1655564946.5817256,1655564946.6754413
7,'n',1655564946.8021197,1655564946.8958626
0,'d',1655564948.5037746,1655564948.6002593
1,'e',1655564948.8469777,1655564948.971951
2,'c',1655564949.18314,1655564949.2794957
3,'i',1655564949.342115,1655564949.442529
4,'s',1655564949.4106777,1655564949.50502
5,'i',1655564949.5362682,1655564949.629993
6,'0',1655564949.7556179,1655564949.8337152
7,'n',1655564950.021208,1655564950.1157722
0,'d',1655564951.8132126,1655564951.9227204
1,'e',1655564952.1729496,1655564952.3310738
2,'c',1655564952.5867763,1655564952.68179
3,'i',1655564952.762415,1655564952.8561413
4,'s',1655564952.8717313,1655564952.9205766
5,'i',1655564952.9518394,1655564953.045578
6,'0',1655564953.1630754,1655564953.2568152
7,'n',1655564953.4266288,1655564953.489242
0,'d',1655564954.9917426,1655564955.1042302
1,'e',1655564955.4331703,1655564955.5582557
2,'c',1655564955.7258167,1655564955.8197482
3,'i',1655564955.8587286,1655564955.9524577
4,'s',1655564955.9211931,1655564956.0305681
5,'i',1655564956.0461924,1655564956.1318126
6,'0',1655564956.7655537,1655564956.8442712
7,'n',1655564956.9851258,1655564957.0476336
0,'d',1655564958.59183,1655564958.7064936
1,'e',1655564959.05465,1655564959.1796284
2,'c',1655564959.41952,1655564959.5288897
3,'i',1655564959.5757422,1655564959.6693878
4,'s',1655564959.6382518,1655564959.748527
5,'i',1655564959.7645833,1655564959.858347
6,'0',1655564960.030509,1655564960.1400678
7,'n',1655564960.2667243,1655564960.3449593
0,'d',1655564961.8338935,1655564961.9534125
1,'e',1655564962.2176301,1655564962.3427703
2,'c',1655564962.511608,1655564962.6123652
3,'i',1655564962.6626985,1655564962.7610335
4,'s',1655564962.7297945,1655564962.8262813
5,'i',1655564962.8579125,1655564962.9545617
6,'0',1655564963.1108148,1655564963.2045288
7,'n',1655564963.3298242,1655564963.4235702
0,'d',1655564964.9571567,1655564965.0547862
1,'e',1655564965.3797278,1655564965.4906454
2,'c',1655564965.7080157,1655564965.78729
3,'i',1655564965.818446,1655564965.9290922
4,'s',1655564965.8978665,1655564966.0072289
5,'i',1655564966.0228531,1655564966.1165724
6,'0',1655564966.2939227,1655564966.387651
7,'n',1655564966.512654,1655564966.5907698
0,'d',1655564968.025394,1655564968.1347556
1,'e',1655564968.4159813,1655564968.5287848
2,'c',1655564968.7162588,1655564968.8024561
3,'i',1655564968.840831,1655564968.9261084
4,'s',1655564968.9261084,1655564969.019957
5,'i',1655564969.035595,1655564969.1251533
6,'0',1655564969.2933295,1655564969.3607383
7,'n',1655564969.5013332,1655564969.5797813
0,'d',1655564971.0523767,1655564971.1313915
1,'e',1655564971.3050053,1655564971.4143624
2,'c',1655564971.601858,1655564971.679328
3,'i',1655564971.7419443,1655564971.845885
4,'s',1655564971.8050282,1655564971.9015958
5,'i',1655564971.932855,1655564972.0138175
6,'0',1655564972.123177,1655564972.2169275
7,'n',1655564972.320847,1655564972.3798783
0,'d',1655564973.7893124,1655564973.8674035
1,'e',1655564974.0745816,1655564974.2157624
2,'c',1655564974.4096322,1655564974.5038967
3,'i',1655564974.5794697,1655564974.6544
4,'s',1655564974.6165328,1655564974.7013295
5,'i',1655564974.7418876,1655564974.820044
6,'0',1655564974.913805,1655564974.9762857
7,'n',1655564975.0700307,1655564975.1325295
0,'d',1655564976.4946651,1655564976.5884044
1,'e',1655564976.7765577,1655564976.886378
2,'c',1655564977.0428908,1655564977.1366308
3,'i',1655564977.1834977,1655564977.2776313
4,'s',1655564977.2307725,1655564977.324975
5,'i',1655564977.3492625,1655564977.4439695
6,'0',1655564977.52619,1655564977.588813
7,'n',1655564977.6813865,1655564977.7440946
0,'d',1655564979.078147,1655564979.1875103
1,'e',1655564979.3766918,1655564979.4813669
2,'c',1655564979.668846,1655564979.7469656
3,'i',1655564979.7938378,1655564979.8896837
4,'s',1655564979.8644392,1655564979.9629924
5,'i',1655564979.980912,1655564980.0599353
6,'0',1655564980.1517746,1655564980.2079356
7,'n',1655564980.3017013,1655564980.3641791
0,'d',1655564981.809347,1655564981.8880944
1,'e',1655564982.0443225,1655564982.1849344
2,'c',1655564982.3206496,1655564982.3987556
3,'i',1655564982.4618897,1655564982.542294
4,'s',1655564982.5108707,1655564982.6047857
5,'i',1655564982.6204195,1655564982.7144663
6,'0',1655564982.7769768,1655564982.8550665
