Subject,Char_Total_Str,Char_Total_Int,Char_Init,Char_End,Current_Dwell,Interval,Press_Flight,Release_Flight,Digraph,Later_Dwell
ys,d_e,4_5,4,5,0.120471001,0.452046394,0.572517395,0.563523293,0.683994293,0.111476898
ys,e_c,5_3,5,3,0.111476898,0.740003109,0.851480007,0.860511065,0.971987963,0.120507956
ys,c_i,3_9,3,9,0.120507956,0.079481125,0.19998908,0.175966501,0.296474457,0.096485376
ys,i_s,9_19,9,19,0.096485376,0.121526718,0.218012094,0.231491566,0.327976942,0.109964848
ys,s_i,19_9,19,9,0.109964848,0.516034365,0.625999212,0.638501644,0.748466492,0.122467279
ys,i_0,9_90,9,90,0.122467279,0.132526398,0.254993677,0.265524864,0.387992144,0.132998466
ys,0_n,90_14,90,14,0.132998466,0.237494946,0.370493412,0.360015869,0.493014336,0.122520924
ys,d_e,4_5,4,5,0.12099576,0.699005604,0.820001364,0.823109388,0.944105148,0.124103785
ys,e_c,5_3,5,3,0.124103785,0.666885138,0.790988922,0.77589798,0.900001764,0.109012842
ys,c_i,3_9,3,9,0.109012842,0.174993038,0.28400588,0.285001516,0.394014359,0.110008478
ys,i_s,9_19,9,19,0.110008478,0.110072374,0.220080853,0.218486309,0.328494787,0.108413935
ys,s_i,19_9,19,9,0.108413935,0.185514688,0.293928623,0.294525623,0.402939558,0.109010935
ys,i_0,9_90,9,90,0.109010935,0.260978937,0.369989872,0.344516516,0.453527451,0.083537579
ys,0_n,90_14,90,14,0.083537579,0.260455608,0.343993187,0.358962297,0.442499876,0.098506689
ys,d_e,4_5,4,5,0.10899806,0.348980188,0.457978249,0.458984613,0.567982674,0.110004425
ys,e_c,5_3,5,3,0.110004425,0.477011681,0.587016106,0.598005772,0.708010197,0.120994091
ys,c_i,3_9,3,9,0.120994091,0.044010639,0.16500473,0.169000387,0.289994478,0.124989748
ys,i_s,9_19,9,19,0.124989748,0.066999912,0.19198966,0.175008297,0.299998045,0.108008385
ys,s_i,19_9,19,9,0.108008385,0.108984709,0.216993093,0.23099041,0.338998795,0.122005701
ys,i_0,9_90,9,90,0.122005701,0.402507305,0.524513006,0.523535252,0.645540953,0.121027946
ys,0_n,90_14,90,14,0.121027946,0.229459286,0.350487232,0.338459015,0.459486961,0.108999729
ys,d_e,4_5,4,5,0.121505976,0.195480585,0.316986561,0.317997456,0.439503431,0.12251687
ys,e_c,5_3,5,3,0.12251687,0.584012508,0.706529379,0.69351244,0.81602931,0.109499931
ys,c_i,3_9,3,9,0.109499931,0.034172058,0.143671989,0.143491507,0.252991438,0.109319448
ys,i_s,9_19,9,19,0.109319448,0.045001745,0.154321194,0.142993689,0.252313137,0.097991943
ys,s_i,19_9,19,9,0.097991943,0.09950614,0.197498083,0.223007917,0.320999861,0.123501778
ys,i_0,9_90,9,90,0.123501778,0.140011072,0.26351285,0.286002398,0.409504175,0.145991325
ys,0_n,90_14,90,14,0.145991325,0.193999529,0.339990854,0.290029049,0.436020374,0.09602952
ys,d_e,4_5,4,5,0.107993603,0.252507687,0.360501289,0.389007092,0.497000694,0.136499405
ys,e_c,5_3,5,3,0.136499405,0.20942378,0.345923185,0.330519438,0.467018843,0.121095657
ys,c_i,3_9,3,9,0.121095657,0.208473921,0.329569578,0.305062771,0.426158428,0.09658885
ys,i_s,9_19,9,19,0.09658885,0.068299294,0.164888144,0.191417694,0.288006544,0.123118401
ys,s_i,19_9,19,9,0.123118401,0.184999943,0.308118343,0.293501854,0.416620255,0.108501911
ys,i_0,9_90,9,90,0.108501911,0.293492556,0.401994467,0.403014183,0.511516094,0.109521627
ys,0_n,90_14,90,14,0.109521627,0.236052752,0.345574379,0.347476006,0.456997633,0.111423254
ys,d_e,4_5,4,5,0.132933617,0.323558092,0.456491709,0.445586681,0.578520298,0.122028589
ys,e_c,5_3,5,3,0.122028589,0.724484682,0.846513271,0.820471048,0.942499638,0.095986366
ys,c_i,3_9,3,9,0.095986366,0.013094664,0.10908103,0.122513533,0.218499899,0.109418869
ys,i_s,9_19,9,19,0.109418869,0.03449297,0.143911839,0.145025492,0.254444361,0.110532522
ys,s_i,19_9,19,9,0.110532522,0.057310581,0.167843103,0.179475546,0.290008068,0.122164965
ys,i_0,9_90,9,90,0.122164965,0.19599247,0.318157434,0.304997444,0.427162409,0.109004974
ys,0_n,90_14,90,14,0.109004974,0.224009752,0.333014727,0.333999872,0.443004847,0.10999012
ys,d_e,4_5,4,5,0.108995438,0.247998238,0.356993675,0.381955624,0.490951061,0.133957386
ys,e_c,5_3,5,3,0.133957386,0.335050106,0.469007492,0.447050571,0.581007957,0.112000465
ys,c_i,3_9,3,9,0.112000465,-0.012001276,0.099999189,0.097020626,0.209021091,0.109021902
ys,i_s,9_19,9,19,0.109021902,0.033607483,0.142629385,0.144972801,0.253994703,0.111365318
ys,s_i,19_9,19,9,0.111365318,0.013004541,0.12436986,0.146500587,0.257865906,0.133496046
ys,i_0,9_90,9,90,0.133496046,0.175516367,0.309012413,0.272494555,0.405990601,0.096978188
ys,0_n,90_14,90,14,0.096978188,0.163555384,0.260533571,0.261022329,0.358000517,0.097466946
ys,d_e,4_5,4,5,0.158489227,0.308478594,0.466967821,0.430862427,0.589351654,0.122383833
ys,e_c,5_3,5,3,0.122383833,0.785096884,0.907480717,0.884104967,1.0064888,0.099008083
ys,c_i,3_9,3,9,0.099008083,0.001000643,0.100008726,0.095988512,0.194996595,0.094987869
ys,i_s,9_19,9,19,0.094987869,0.034009695,0.128997564,0.117524624,0.212512493,0.083514929
ys,s_i,19_9,19,9,0.083514929,0.013392925,0.096907854,0.135478258,0.218993187,0.122085333
ys,i_0,9_90,9,90,0.122085333,0.129009247,0.25109458,0.238008738,0.36009407,0.108999491
ys,0_n,90_14,90,14,0.108999491,0.180994034,0.289993525,0.279516935,0.388516426,0.098522902
ys,d_e,4_5,4,5,0.109045982,0.214523315,0.323569298,0.323534012,0.432579994,0.109010696
ys,e_c,5_3,5,3,0.109010696,0.355515242,0.464525938,0.439485312,0.548496008,0.08397007
ys,c_i,3_9,3,9,0.08397007,0.046009779,0.129979849,0.153995991,0.237966061,0.107986212
ys,i_s,9_19,9,19,0.107986212,0.055999279,0.163985491,0.139523029,0.247509241,0.08352375
ys,s_i,19_9,19,9,0.08352375,0.035007238,0.118530989,0.193004131,0.276527882,0.157996893
ys,i_0,9_90,9,90,0.157996893,0.280390978,0.438387871,0.415493727,0.57349062,0.135102749
ys,0_n,90_14,90,14,0.135102749,0.19398427,0.329087019,0.302498341,0.437601089,0.108514071
ys,d_e,4_5,4,5,0.121456146,0.336001396,0.457457542,0.456995487,0.578451633,0.120994091
ys,e_c,5_3,5,3,0.120994091,0.366005659,0.48699975,0.464009047,0.585003138,0.098003387
ys,c_i,3_9,3,9,0.098003387,0.001000404,0.099003792,0.09600687,0.194010258,0.095006466
ys,i_s,9_19,9,19,0.095006466,0.067015409,0.162021875,0.162517071,0.257523537,0.095501661
ys,s_i,19_9,19,9,0.095501661,0.046009064,0.141510725,0.179375887,0.274877548,0.133366823
ys,i_0,9_90,9,90,0.133366823,0.229095459,0.362462282,0.338627815,0.471994638,0.109532356
ys,0_n,90_14,90,14,0.109532356,0.314462185,0.423994541,0.411465168,0.520997524,0.097002983
ys,d_e,4_5,4,5,0.096021652,0.275437117,0.371458769,0.396464825,0.492486477,0.121027708
ys,e_c,5_3,5,3,0.121027708,0.198424101,0.319451809,0.307421923,0.428449631,0.108997822
ys,c_i,3_9,3,9,0.108997822,0.012999535,0.121997356,0.134152651,0.243150473,0.121153116
ys,i_s,9_19,9,19,0.121153116,0.044843435,0.165996552,0.128190994,0.24934411,0.083347559
ys,s_i,19_9,19,9,0.083347559,0.046010256,0.129357815,0.154664993,0.238012552,0.108654737
ys,i_0,9_90,9,90,0.108654737,0.237988949,0.346643686,0.358993769,0.467648506,0.12100482
ys,0_n,90_14,90,14,0.12100482,0.251019955,0.372024775,0.361044884,0.482049704,0.110024929
ys,d_e,4_5,4,5,0.109006405,0.227994204,0.337000608,0.339015007,0.448021412,0.111020803
ys,e_c,5_3,5,3,0.111020803,0.218980551,0.330001354,0.326982021,0.438002825,0.108001471
ys,c_i,3_9,3,9,0.108001471,0.013003111,0.121004581,0.108542919,0.21654439,0.095539808
ys,i_s,9_19,9,19,0.095539808,0.046011925,0.141551733,0.143455505,0.238995314,0.097443581
ys,s_i,19_9,19,9,0.097443581,0.033378124,0.130821705,0.168997526,0.266441107,0.135619402
ys,i_0,9_90,9,90,0.135619402,0.131962538,0.26758194,0.253162146,0.388781548,0.121199608
ys,0_n,90_14,90,14,0.121199608,0.109363794,0.230563402,0.229836464,0.351036072,0.12047267
ys,d_e,4_5,4,5,0.121032476,0.329586506,0.450618982,0.437845945,0.558878422,0.108259439
ys,e_c,5_3,5,3,0.108259439,0.227745771,0.336005211,0.313765049,0.422024488,0.086019278
ys,c_i,3_9,3,9,0.086019278,0.044446707,0.130465984,0.140438795,0.226458073,0.095992088
ys,i_s,9_19,9,19,0.095992088,0.055008411,0.1510005,0.140004396,0.235996485,0.084995985
ys,s_i,19_9,19,9,0.084995985,0.033000708,0.117996693,0.153999805,0.23899579,0.120999098
ys,i_0,9_90,9,90,0.120999098,0.15255332,0.273552418,0.261998415,0.382997513,0.109445095
ys,0_n,90_14,90,14,0.109445095,0.149997234,0.259442329,0.246998549,0.356443644,0.097001314
ys,d_e,4_5,4,5,0.13403821,0.318409681,0.452447891,0.440420151,0.574458361,0.122010469
ys,e_c,5_3,5,3,0.122010469,0.233624458,0.355634928,0.357999563,0.480010033,0.124375105
ys,c_i,3_9,3,9,0.124375105,0.034008026,0.158383131,0.131068945,0.25544405,0.097060919
ys,i_s,9_19,9,19,0.097060919,0.044930696,0.141991615,0.141947269,0.239008188,0.097016573
ys,s_i,19_9,19,9,0.097016573,0.012989998,0.110006571,0.13398385,0.231000423,0.120993853
ys,i_0,9_90,9,90,0.120993853,0.121547937,0.24254179,0.230010748,0.351004601,0.108462811
ys,0_n,90_14,90,14,0.108462811,0.132909775,0.241372585,0.230998516,0.339461327,0.098088741
